"Cisplatin_Genes"	"Etoposide_Genes"	"Gemcitabine_Genes"	"Methotrexate_Genes"
"ENSG00000003147"	"ENSG00000006534"	"ENSG00000104998"	"ENSG00000140350"
"ENSG00000006530"	"ENSG00000025293"	"ENSG00000106077"	"ENSG00000142871"
"ENSG00000017483"	"ENSG00000042813"	"ENSG00000120088"	"ENSG00000184613"
"ENSG00000020256"	"ENSG00000054690"	"ENSG00000140830"	"ENSG00000081181"
"ENSG00000020633"	"ENSG00000058799"	"ENSG00000142676"	"ENSG00000137962"
"ENSG00000021645"	"ENSG00000068097"	"ENSG00000172716"	"ENSG00000150938"
"ENSG00000049249"	"ENSG00000075292"	"ENSG00000187109"	NA
"ENSG00000057149"	"ENSG00000075643"	"ENSG00000198513"	NA
"ENSG00000063322"	"ENSG00000082641"	"ENSG00000006534"	NA
"ENSG00000069764"	"ENSG00000099998"	"ENSG00000069667"	NA
"ENSG00000072694"	"ENSG00000102882"	"ENSG00000070770"	NA
"ENSG00000088756"	"ENSG00000104998"	"ENSG00000080854"	NA
"ENSG00000096092"	"ENSG00000106631"	"ENSG00000086189"	NA
"ENSG00000100321"	"ENSG00000107789"	"ENSG00000087116"	NA
"ENSG00000100385"	"ENSG00000110917"	"ENSG00000089006"	NA
"ENSG00000101115"	"ENSG00000112303"	"ENSG00000096092"	NA
"ENSG00000101197"	"ENSG00000112701"	"ENSG00000104371"	NA
"ENSG00000102882"	"ENSG00000120088"	"ENSG00000105202"	NA
"ENSG00000104613"	"ENSG00000120235"	"ENSG00000110660"	NA
"ENSG00000106780"	"ENSG00000122692"	"ENSG00000112237"	NA
"ENSG00000107625"	"ENSG00000124164"	"ENSG00000117691"	NA
"ENSG00000108187"	"ENSG00000124787"	"ENSG00000120158"	NA
"ENSG00000110442"	"ENSG00000127948"	"ENSG00000120675"	NA
"ENSG00000114698"	"ENSG00000128965"	"ENSG00000120889"	NA
"ENSG00000115685"	"ENSG00000129197"	"ENSG00000122042"	NA
"ENSG00000115806"	"ENSG00000134717"	"ENSG00000125977"	NA
"ENSG00000115902"	"ENSG00000135069"	"ENSG00000131203"	NA
"ENSG00000122691"	"ENSG00000138750"	"ENSG00000131370"	NA
"ENSG00000123201"	"ENSG00000140450"	"ENSG00000133641"	NA
"ENSG00000123739"	"ENSG00000140830"	"ENSG00000134318"	NA
"ENSG00000124279"	"ENSG00000144746"	"ENSG00000135956"	NA
"ENSG00000128710"	"ENSG00000145216"	"ENSG00000136938"	NA
"ENSG00000132153"	"ENSG00000145777"	"ENSG00000137876"	NA
"ENSG00000135953"	"ENSG00000146005"	"ENSG00000146731"	NA
"ENSG00000136010"	"ENSG00000150722"	"ENSG00000148204"	NA
"ENSG00000141384"	"ENSG00000153233"	"ENSG00000158445"	NA
"ENSG00000142188"	"ENSG00000158486"	"ENSG00000159216"	NA
"ENSG00000143375"	"ENSG00000158553"	"ENSG00000163618"	NA
"ENSG00000144115"	"ENSG00000159899"	"ENSG00000164070"	NA
"ENSG00000144224"	"ENSG00000162191"	"ENSG00000166233"	NA
"ENSG00000144228"	"ENSG00000163104"	"ENSG00000169231"	NA
"ENSG00000148908"	"ENSG00000163510"	"ENSG00000171763"	NA
"ENSG00000149182"	"ENSG00000164713"	"ENSG00000182612"	NA
"ENSG00000149930"	"ENSG00000167562"	"ENSG00000182944"	NA
"ENSG00000153237"	"ENSG00000168259"	"ENSG00000198015"	NA
"ENSG00000154822"	"ENSG00000169180"	"ENSG00000198216"	NA
"ENSG00000155363"	"ENSG00000172159"	"ENSG00000255717"	NA
"ENSG00000155621"	"ENSG00000172469"	NA	NA
"ENSG00000156860"	"ENSG00000172548"	NA	NA
"ENSG00000159214"	"ENSG00000172716"	NA	NA
"ENSG00000162390"	"ENSG00000173812"	NA	NA
"ENSG00000162576"	"ENSG00000174953"	NA	NA
"ENSG00000162819"	"ENSG00000177301"	NA	NA
"ENSG00000163421"	"ENSG00000178538"	NA	NA
"ENSG00000163946"	"ENSG00000181929"	NA	NA
"ENSG00000164068"	"ENSG00000182944"	NA	NA
"ENSG00000164778"	"ENSG00000183036"	NA	NA
"ENSG00000165105"	"ENSG00000184845"	NA	NA
"ENSG00000165801"	"ENSG00000196396"	NA	NA
"ENSG00000166396"	"ENSG00000197498"	NA	NA
"ENSG00000167183"	"ENSG00000204657"	NA	NA
"ENSG00000167394"	"ENSG00000215712"	NA	NA
"ENSG00000167608"	"ENSG00000137154"	NA	NA
"ENSG00000168101"	"ENSG00000171763"	NA	NA
"ENSG00000168453"	"ENSG00000255717"	NA	NA
"ENSG00000169105"	NA	NA	NA
"ENSG00000169442"	NA	NA	NA
"ENSG00000169515"	NA	NA	NA
"ENSG00000170962"	NA	NA	NA
"ENSG00000170965"	NA	NA	NA
"ENSG00000171357"	NA	NA	NA
"ENSG00000171492"	NA	NA	NA
"ENSG00000171860"	NA	NA	NA
"ENSG00000172716"	NA	NA	NA
"ENSG00000173212"	NA	NA	NA
"ENSG00000174808"	NA	NA	NA
"ENSG00000177606"	NA	NA	NA
"ENSG00000179097"	NA	NA	NA
"ENSG00000182359"	NA	NA	NA
"ENSG00000183092"	NA	NA	NA
"ENSG00000186416"	NA	NA	NA
"ENSG00000188816"	NA	NA	NA
"ENSG00000197641"	NA	NA	NA
"ENSG00000198270"	NA	NA	NA
"ENSG00000198721"	NA	NA	NA
"ENSG00000204604"	NA	NA	NA
"ENSG00000206073"	NA	NA	NA
"ENSG00000253313"	NA	NA	NA
"ENSG00000085831"	NA	NA	NA
"ENSG00000115649"	NA	NA	NA
"ENSG00000129595"	NA	NA	NA
"ENSG00000139055"	NA	NA	NA
"ENSG00000143367"	NA	NA	NA
"ENSG00000143850"	NA	NA	NA
"ENSG00000161958"	NA	NA	NA
"ENSG00000165215"	NA	NA	NA
"ENSG00000165807"	NA	NA	NA
"ENSG00000166377"	NA	NA	NA
"ENSG00000166387"	NA	NA	NA
"ENSG00000171617"	NA	NA	NA
"ENSG00000180891"	NA	NA	NA
"ENSG00000185499"	NA	NA	NA
"ENSG00000198429"	NA	NA	NA
