"","Cell.line.name","Tissue","area_under_curve","most_sensitive","least_sensitive"
"1","5637","urinary_tract",7.0396,1,0
"2","2313287","stomach",10.266,1,0
"3","22RV1","prostate",12.031,0,0
"4","253J","urinary_tract",12.85,0,0
"5","253JBV","urinary_tract",12.995,0,0
"6","42MGBA","central_nervous_system",10.516,1,0
"7","639V","urinary_tract",14.173,0,1
"8","769P","kidney",12.951,0,0
"9","786O","kidney",11.761,0,0
"10","8305C","thyroid",13.548,0,1
"11","8505C","thyroid",12.474,0,0
"12","A172","central_nervous_system",13.661,0,1
"13","A204","soft_tissue",10.267,1,0
"14","A253","salivary_gland",13.296,0,0
"15","A2780","ovary",4.5839,1,0
"16","A375","skin",13.476,0,1
"17","A375","skin",11.643,1,0
"18","A549","lung",14.006,0,1
"19","A549","lung",12.323,0,0
"20","A549","lung",11.651,1,0
"21","A673","bone",11.576,1,0
"22","ACCMESO1","pleura",14.233,0,1
"23","ACHN","kidney",10.032,1,0
"24","AGS","stomach",11.599,1,0
"25","AN3CA","endometrium",13.893,0,1
"26","ASPC1","pancreas",13.735,0,1
"27","AU565","breast",13.86,0,1
"28","BC3C","urinary_tract",11.886,0,0
"29","BCPAP","thyroid",11.423,1,0
"30","BECKER","central_nervous_system",14.111,0,1
"31","BEN","lung",15,0,1
"32","BFTC905","urinary_tract",13.918,0,1
"33","BFTC909","kidney",14.595,0,1
"34","BHT101","thyroid",11.181,1,0
"35","BHY","upper_aerodigestive_tract",11.757,1,0
"36","BICR16","upper_aerodigestive_tract",12.287,0,0
"37","BICR18","upper_aerodigestive_tract",10.586,1,0
"38","BICR22","upper_aerodigestive_tract",7.0511,1,0
"39","BICR31","upper_aerodigestive_tract",11.876,0,0
"40","BICR56","upper_aerodigestive_tract",8.4253,1,0
"41","BICR6","upper_aerodigestive_tract",9.6501,1,0
"42","BT20","breast",13.164,0,0
"43","BT474","breast",15,0,1
"44","BT549","breast",13.439,0,1
"45","BXPC3","pancreas",8.3922,1,0
"46","C2BBE1","large_intestine",13.289,0,0
"47","C32","skin",15.423,0,1
"48","CADOES1","bone",8.8072,1,0
"49","CAKI1","kidney",13.871,0,1
"50","CAKI2","kidney",10.952,1,0
"51","CAL120","breast",15.795,0,1
"52","CAL12T","lung",12.453,0,0
"53","CAL148","breast",10.634,1,0
"54","CAL29","urinary_tract",12.174,0,0
"55","CAL33","upper_aerodigestive_tract",12.02,0,0
"56","CAL51","breast",10.174,1,0
"57","CAL51","breast",9.9735,1,0
"58","CAL54","kidney",8.743,1,0
"59","CAL62","thyroid",13.597,0,1
"60","CAL78","bone",12.455,0,0
"61","CAL851","breast",12.641,0,0
"62","CALU1","lung",13.104,0,0
"63","CALU3","lung",8.0566,1,0
"64","CALU6","lung",14.376,0,1
"65","CAMA1","breast",14.163,0,1
"66","CAOV3","ovary",13.387,0,1
"67","CAPAN1","pancreas",10.618,1,0
"68","CAPAN2","pancreas",11.292,1,0
"69","CAS1","central_nervous_system",12.149,0,0
"70","CCFSTTG1","central_nervous_system",13.791,0,1
"71","CCFSTTG1","central_nervous_system",13.373,0,1
"72","CCK81","large_intestine",8.1786,1,0
"73","CFPAC1","pancreas",13.073,0,0
"74","CGTHW1","thyroid",11.981,0,0
"75","CHAGOK1","lung",13.533,0,1
"76","CHP126","autonomic_ganglia",10.412,1,0
"77","CHP212","autonomic_ganglia",7.6294,1,0
"78","CJM","skin",12.061,0,0
"79","CL11","large_intestine",11.765,0,0
"80","COLO201","large_intestine",12.398,0,0
"81","COLO205","large_intestine",13.147,0,0
"82","COLO320","large_intestine",13.418,0,1
"83","COLO668","lung",12.19,0,0
"84","COLO678","large_intestine",12.225,0,0
"85","COLO680N","oesophagus",12.259,0,0
"86","COLO684","endometrium",13.04,0,0
"87","COLO800","skin",8.9398,1,0
"88","COLO829","skin",10.657,1,0
"89","CORL105","lung",13.305,0,0
"90","CORL279","lung",13.216,0,0
"91","CORL51","lung",12.397,0,0
"92","CORL88","lung",17.923,0,1
"93","CORL95","lung",13.344,0,1
"94","COV362","ovary",12.226,0,0
"95","COV434","ovary",9.489,1,0
"96","COV644","ovary",14.428,0,1
"97","CW2","large_intestine",9.3516,1,0
"98","D283MED","central_nervous_system",10.637,1,0
"99","DANG","pancreas",12.954,0,0
"100","DAOY","central_nervous_system",12.115,0,0
"101","DBTRG05MG","central_nervous_system",13.006,0,0
"102","DETROIT562","upper_aerodigestive_tract",11.895,0,0
"103","DKMG","central_nervous_system",10.21,1,0
"104","DLD1","large_intestine",13.188,0,0
"105","DMS114","lung",9.1173,1,0
"106","DMS273","lung",12.756,0,0
"107","DMS454","lung",13.301,0,0
"108","DMS53","lung",13.907,0,1
"109","DMS79","lung",12.092,0,0
"110","DU145","prostate",13.213,0,0
"111","DU145","prostate",12.922,0,0
"112","DV90","lung",7.8955,1,0
"113","EBC1","lung",13.449,0,1
"114","ECC12","stomach",13.035,0,0
"115","ECGI10","oesophagus",9.7642,1,0
"116","EFE184","endometrium",13.36,0,1
"117","EFM192A","breast",13.069,0,0
"118","EFO21","ovary",12.172,0,0
"119","EFO27","ovary",14.033,0,1
"120","EN","endometrium",13.982,0,1
"121","EPLC272H","lung",10.122,1,0
"122","ES2","ovary",13.372,0,1
"123","ESS1","endometrium",8.2176,1,0
"124","FADU","upper_aerodigestive_tract",14.138,0,1
"125","FTC133","thyroid",12.211,0,0
"126","FU97","stomach",13.907,0,1
"127","FUOV1","ovary",14.072,0,1
"128","G292CLONEA141B1","bone",10.814,1,0
"129","G361","skin",13.176,0,0
"130","G401","soft_tissue",6.5919,1,0
"131","G402","soft_tissue",9.8424,1,0
"132","GAMG","central_nervous_system",13.052,0,0
"133","GB1","central_nervous_system",14.012,0,1
"134","GCT","soft_tissue",12.341,0,0
"135","GI1","central_nervous_system",10.885,1,0
"136","GP2D","large_intestine",11.83,0,0
"137","GSS","stomach",10.365,1,0
"138","GSU","stomach",16.615,0,1
"139","H292","lung",8.8334,1,0
"140","HARA","lung",12.16,0,0
"141","HCC1143","breast",11.395,1,0
"142","HCC1171","lung",14.225,0,1
"143","HCC1395","breast",11.756,1,0
"144","HCC1419","breast",14.269,0,1
"145","HCC1428","breast",12.821,0,0
"146","HCC1438","lung",11.26,1,0
"147","HCC15","lung",10.649,1,0
"148","HCC1500","breast",12.486,0,0
"149","HCC1569","breast",13.54,0,1
"150","HCC1588","lung",9.1317,1,0
"151","HCC1806","breast",8.5116,1,0
"152","HCC1833","lung",13.879,0,1
"153","HCC1937","breast",13.813,0,1
"154","HCC1954","breast",12.146,0,0
"155","HCC202","breast",14.596,0,1
"156","HCC2108","lung",10.702,1,0
"157","HCC2218","breast",11.051,1,0
"158","HCC2279","lung",12.055,0,0
"159","HCC2935","lung",13.619,0,1
"160","HCC366","lung",8.6942,1,0
"161","HCC38","breast",11.805,0,0
"162","HCC4006","lung",14.863,0,1
"163","HCC44","lung",6.7921,1,0
"164","HCC56","large_intestine",14.255,0,1
"165","HCC78","lung",8.194,1,0
"166","HCC827","lung",11.54,1,0
"167","HCC95","lung",12.287,0,0
"168","HCT116","large_intestine",14.932,0,1
"169","HCT15","large_intestine",12.695,0,0
"170","HCT8","large_intestine",13.715,0,1
"171","HDQP1","breast",14.184,0,1
"172","HEC108","endometrium",13.605,0,1
"173","HEC151","endometrium",12.527,0,0
"174","HEC1A","endometrium",14.212,0,1
"175","HEC1B","endometrium",14.65,0,1
"176","HEC251","endometrium",13.072,0,0
"177","HEC265","endometrium",15.56,0,1
"178","HEC50B","endometrium",13.505,0,1
"179","HEC59","endometrium",14.641,0,1
"180","HEC6","endometrium",12.729,0,0
"181","HEP3B217","liver",14.884,0,1
