"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"1",683667,"PFSK-1","nervous_system","medulloblastoma",1.08156515,1
"2",684052,"A673","soft_tissue","rhabdomyosarcoma",1.42122398,1
"3",684055,"ES3","bone","ewings_sarcoma",0.57168253,1
"4",684057,"ES5","bone","ewings_sarcoma",1.75182096,1
"5",684059,"ES7","bone","ewings_sarcoma",-2.11949617,0
"6",684062,"EW-11","bone","ewings_sarcoma",4.70616143,1
"7",684072,"SK-ES-1","bone","ewings_sarcoma",1.81326332,1
"8",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.41852929,1
"9",687448,"COLO-829","skin","melanoma",4.51749125,1
"10",687452,"5637","urogenital_system","Bladder",-0.50431318,1
"11",687455,"RT4","urogenital_system","Bladder",1.71016335,1
"12",687457,"SW780","urogenital_system","Bladder",0.20799477,1
"13",687459,"TCCSUP","urogenital_system","Bladder",2.29513386,1
"14",687505,"C-33-A","urogenital_system","cervix",-0.45773994,1
"15",687506,"C-4-I","urogenital_system","cervix",-1.15706867,1
"16",687514,"ME-180","urogenital_system","cervix",0.30327064,1
"17",687561,"42-MG-BA","nervous_system","glioma",-0.45278622,1
"18",687562,"8-MG-BA","nervous_system","glioma",-0.05852628,1
"19",687563,"A172","nervous_system","glioma",1.57612533,1
"20",687568,"GB-1","nervous_system","glioma",1.93320501,1
"21",687586,"T98G","nervous_system","glioma",-0.39228168,1
"22",687588,"U-118-MG","nervous_system","glioma",1.70699172,1
"23",687590,"U-87-MG","nervous_system","glioma",3.13484416,1
"24",687592,"YKG-1","nervous_system","glioma",0.55391767,1
"25",687596,"ChaGo-K-1","lung_NSCLC","lung_NSCLC_not specified",2.99572621,1
"26",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",5.43415842,1
"27",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.24487048,1
"28",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",0.90897914,1
"29",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-0.57092488,1
"30",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.55757069,1
"31",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.89951446,1
"32",687800,"NCI-H1650","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.5172913,1
"33",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.84275413,1
"34",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",5.08145364,1
"35",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",4.74871721,1
"36",687812,"NCI-H2085","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.9068759,1
"37",687815,"NCI-H2170","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",3.90723571,1
"38",687816,"NCI-H2228","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.43469538,1
"39",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.04194967,1
"40",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.17268055,1
"41",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.78492537,1
"42",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",0.85644939,1
"43",687983,"DMS-114","lung_SCLC","lung_small_cell_carcinoma",0.26613635,1
"44",687985,"DMS-273","lung_SCLC","lung_small_cell_carcinoma",1.69543925,1
"45",687995,"NCI-H1048","lung_SCLC","lung_small_cell_carcinoma",1.00529282,1
"46",687997,"NCI-H1092","lung_SCLC","lung_small_cell_carcinoma",5.57471059,1
"47",688001,"NCI-H1417","lung_SCLC","lung_small_cell_carcinoma",5.24738589,1
"48",688006,"NCI-H1694","lung_SCLC","lung_small_cell_carcinoma",3.48787729,1
"49",688007,"NCI-H187","lung_SCLC","lung_small_cell_carcinoma",5.58719072,1
"50",688011,"NCI-H2029","lung_SCLC","lung_small_cell_carcinoma",4.9091932,1
"51",688013,"NCI-H209","lung_SCLC","lung_small_cell_carcinoma",3.07450986,1
"52",688014,"NCI-H2141","lung_SCLC","lung_small_cell_carcinoma",5.58835262,1
"53",688018,"NCI-H2227","lung_SCLC","lung_small_cell_carcinoma",3.86604565,1
"54",688021,"NCI-H345","lung_SCLC","lung_small_cell_carcinoma",5.39658387,1
"55",688023,"NCI-H446","lung_SCLC","lung_small_cell_carcinoma",3.32853224,1
"56",688025,"NCI-H526","lung_SCLC","lung_small_cell_carcinoma",4.19707286,1
"57",688027,"NCI-H69","lung_SCLC","lung_small_cell_carcinoma",1.38636955,1
"58",688031,"NCI-H82","lung_SCLC","lung_small_cell_carcinoma",3.58703627,1
"59",688086,"SK-N-DZ","neuroblastoma","neuroblastoma",2.05406809,1
"60",688087,"SK-N-FI","neuroblastoma","neuroblastoma",4.18547248,1
"61",688121,"VA-ES-BJ","soft_tissue","soft_tissue_other",0.58468133,1
"62",713869,"VMRC-LCD","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.67899453,1
"63",713878,"LU-139","lung_SCLC","lung_small_cell_carcinoma",4.76896961,1
"64",713880,"SBC-5","lung_SCLC","lung_small_cell_carcinoma",2.31326496,1
"65",713885,"SBC-1","lung_SCLC","lung_small_cell_carcinoma",3.97439132,1
"66",713899,"LU-135","lung_SCLC","lung_small_cell_carcinoma",4.48816093,1
"67",717431,"SK-N-SH","neuroblastoma","neuroblastoma",0.09069075,1
"68",722045,"NCI-H2030","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.91892918,1
"69",722046,"NCI-H2122","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.1518796,1
"70",722066,"NCI-H650","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.61754137,1
"71",724812,"T-24","urogenital_system","Bladder",-1.37048406,1
"72",724828,"SK-N-AS","neuroblastoma","neuroblastoma",3.50776945,1
"73",724831,"NCI-H1299","lung_NSCLC","lung_NSCLC_large cell",0.95745166,1
"74",724834,"NCI-H2087","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.48395209,1
"75",724838,"UM-UC-3","urogenital_system","Bladder",0.32554523,1
"76",724839,"SW756","urogenital_system","cervix",0.72148978,1
"77",724855,"NCI-H727","lung_NSCLC","lung_NSCLC_carcinoid",6.8606013,1
"78",724859,"Calu-6","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.92658577,1
"79",724863,"LU-65","lung_NSCLC","lung_NSCLC_large cell",6.02770739,1
"80",724866,"NCI-H1355","lung_NSCLC","lung_NSCLC_adenocarcinoma",4.29390661,1
"81",724868,"NCI-H1792","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.11109739,1
"82",724869,"HPAF-II","pancreas","pancreas",3.02518286,1
"83",724870,"MIA-PaCa-2","pancreas","pancreas",-1.4301786,1
"84",724872,"SHP-77","lung_SCLC","lung_small_cell_carcinoma",3.74453765,1
"85",724873,"NCI-H2009","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.01272912,1
"86",724874,"NCI-H2291","lung_NSCLC","lung_NSCLC_adenocarcinoma",4.26701633,1
