"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"1",683667,"PFSK-1","nervous_system","medulloblastoma",-4.46108436,1
"2",684057,"ES5","bone","ewings_sarcoma",-6.61541947,0
"3",684059,"ES7","bone","ewings_sarcoma",-7.4028317,0
"4",684062,"EW-11","bone","ewings_sarcoma",-6.04818663,1
"5",684072,"SK-ES-1","bone","ewings_sarcoma",-6.4905947,1
"6",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.53654581,1
"7",687452,"5637","urogenital_system","Bladder",-5.81069818,1
"8",687455,"RT4","urogenital_system","Bladder",-3.87124093,1
"9",687457,"SW780","urogenital_system","Bladder",-3.71212462,1
"10",687505,"C-33-A","urogenital_system","cervix",-6.3795971,1
"11",687506,"C-4-I","urogenital_system","cervix",-3.93768114,1
"12",687514,"ME-180","urogenital_system","cervix",-5.90193646,1
"13",687561,"42-MG-BA","nervous_system","glioma",-5.319114,1
"14",687562,"8-MG-BA","nervous_system","glioma",-6.31824609,1
"15",687568,"GB-1","nervous_system","glioma",-5.24840272,1
"16",687586,"T98G","nervous_system","glioma",-3.91287879,1
"17",687588,"U-118-MG","nervous_system","glioma",-4.04602556,1
"18",687590,"U-87-MG","nervous_system","glioma",-4.89649574,1
"19",687592,"YKG-1","nervous_system","glioma",-5.36044067,1
"20",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",-1.90042786,1
"21",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.86840019,1
"22",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",-4.93701215,1
"23",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-3.49889003,1
"24",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",-6.32847817,1
"25",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.1511625,1
"26",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",-4.07285429,1
"27",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",-1.09910363,1
"28",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.75168548,1
"29",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.96216472,1
"30",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.06768399,1
"31",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.91845123,1
"32",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",-3.5359184,1
"33",687983,"DMS-114","lung_SCLC","lung_small_cell_carcinoma",-2.70488035,1
"34",687985,"DMS-273","lung_SCLC","lung_small_cell_carcinoma",-5.02886006,1
"35",687995,"NCI-H1048","lung_SCLC","lung_small_cell_carcinoma",-6.78001466,0
"36",687997,"NCI-H1092","lung_SCLC","lung_small_cell_carcinoma",-1.5393942,1
"37",688001,"NCI-H1417","lung_SCLC","lung_small_cell_carcinoma",-6.93410238,0
"38",688006,"NCI-H1694","lung_SCLC","lung_small_cell_carcinoma",-5.95579958,1
"39",688007,"NCI-H187","lung_SCLC","lung_small_cell_carcinoma",-6.47473482,1
"40",688010,"NCI-H1963","lung_SCLC","lung_small_cell_carcinoma",-2.40448088,1
"41",688011,"NCI-H2029","lung_SCLC","lung_small_cell_carcinoma",-2.33588766,1
"42",688013,"NCI-H209","lung_SCLC","lung_small_cell_carcinoma",-8.22923694,0
"43",688014,"NCI-H2141","lung_SCLC","lung_small_cell_carcinoma",-2.01054245,1
"44",688018,"NCI-H2227","lung_SCLC","lung_small_cell_carcinoma",-5.85098142,1
"45",688021,"NCI-H345","lung_SCLC","lung_small_cell_carcinoma",-2.25820882,1
"46",688023,"NCI-H446","lung_SCLC","lung_small_cell_carcinoma",-4.09700768,1
"47",688025,"NCI-H526","lung_SCLC","lung_small_cell_carcinoma",-6.81305388,0
"48",688026,"NCI-H64","lung_SCLC","lung_small_cell_carcinoma",-1.89954002,1
"49",688027,"NCI-H69","lung_SCLC","lung_small_cell_carcinoma",-1.68666417,1
"50",688031,"NCI-H82","lung_SCLC","lung_small_cell_carcinoma",-4.25416008,1
"51",688058,"NCI-H2052","lung","mesothelioma",-3.64447589,1
"52",688086,"SK-N-DZ","neuroblastoma","neuroblastoma",-4.03931942,1
"53",688087,"SK-N-FI","neuroblastoma","neuroblastoma",-2.89645959,1
"54",688121,"VA-ES-BJ","soft_tissue","soft_tissue_other",-5.66040598,1
"55",713869,"VMRC-LCD","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.1809406,1
"56",713878,"LU-139","lung_SCLC","lung_small_cell_carcinoma",-4.1064714,1
"57",713880,"SBC-5","lung_SCLC","lung_small_cell_carcinoma",-4.36730936,1
"58",713885,"SBC-1","lung_SCLC","lung_small_cell_carcinoma",-1.93062435,1
"59",713899,"LU-135","lung_SCLC","lung_small_cell_carcinoma",-5.0924955,1
"60",717431,"SK-N-SH","neuroblastoma","neuroblastoma",-6.58477287,0
"61",722046,"NCI-H2122","lung_NSCLC","lung_NSCLC_adenocarcinoma",-4.42436795,1
"62",722058,"NCI-H1734","lung_NSCLC","lung_NSCLC_adenocarcinoma",-5.63746839,1
"63",722066,"NCI-H650","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.41502332,1
"64",724828,"SK-N-AS","neuroblastoma","neuroblastoma",-4.23582648,1
"65",724834,"NCI-H2087","lung_NSCLC","lung_NSCLC_adenocarcinoma",-5.19203688,1
"66",724838,"UM-UC-3","urogenital_system","Bladder",-5.07008174,1
"67",724839,"SW756","urogenital_system","cervix",-5.29497825,1
"68",724855,"NCI-H727","lung_NSCLC","lung_NSCLC_carcinoid",-0.71396443,1
"69",724859,"Calu-6","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.90699062,1
"70",724863,"LU-65","lung_NSCLC","lung_NSCLC_large cell",1.02230722,1
"71",724868,"NCI-H1792","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.38957804,1
"72",724870,"MIA-PaCa-2","pancreas","pancreas",-5.77209541,1
"73",724872,"SHP-77","lung_SCLC","lung_small_cell_carcinoma",-1.1035668,1
"74",724873,"NCI-H2009","lung_NSCLC","lung_NSCLC_adenocarcinoma",-5.02751151,1
"75",724874,"NCI-H2291","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.85783297,1
"76",724878,"SW1573","lung_NSCLC","lung_NSCLC_adenocarcinoma",-5.85895941,1
"77",735784,"TE-5","aero_dig_tract","oesophagus",-4.70728957,1
"78",749709,"HCC1954","breast","breast",-0.21876041,1
"79",749710,"HCC1143","breast","breast",-1.93669734,1
"80",749711,"HCC1187","breast","breast",-2.29173437,1
