"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",13.043,1,0
"2","2313287","stomach",15.317,0,1
"3","253J","urinary_tract",14.537,0,0
"4","253JBV","urinary_tract",17.002,0,1
"5","42MGBA","central_nervous_system",17.068,0,1
"6","5637","urinary_tract",13.826,1,0
"7","639V","urinary_tract",14.584,0,0
"8","647V","urinary_tract",15.023,0,0
"9","769P","kidney",14.384,0,0
"10","786O","kidney",15.167,0,0
"11","8305C","thyroid",15.514,0,1
"12","8505C","thyroid",14.4,0,0
"13","8MGBA","central_nervous_system",14.777,0,0
"14","A101D","skin",15.516,0,1
"15","A172","central_nervous_system",15.696,0,1
"16","A204","soft_tissue",14.43,0,0
"17","A2058","skin",15.104,0,0
"18","A253","salivary_gland",14.489,0,0
"19","A2780","ovary",13.864,1,0
"20","A375","skin",14.241,1,0
"22","A498","kidney",16.509,0,1
"23","A549","lung",14.7933333333333,0,0
"26","A673","bone",12.519,1,0
"27","ACCMESO1","pleura",15,0,0
"28","ACHN","kidney",14.719,0,0
"29","AGS","stomach",14.267,1,0
"30","AN3CA","endometrium",14.912,0,0
"31","ASPC1","pancreas",14.2705,1,0
"33","BC3C","urinary_tract",14.533,0,0
"34","BCPAP","thyroid",14.914,0,0
"35","BECKER","central_nervous_system",14.777,0,0
"36","BEN","lung",16.388,0,1
"37","BFTC905","urinary_tract",16.138,0,1
"38","BFTC909","kidney",14.753,0,0
"39","BHT101","thyroid",14.769,0,0
"40","BHY","upper_aerodigestive_tract",14.654,0,0
"41","BICR16","upper_aerodigestive_tract",17.217,0,1
"42","BICR18","upper_aerodigestive_tract",14.573,0,0
"43","BICR22","upper_aerodigestive_tract",14.917,0,0
"44","BICR31","upper_aerodigestive_tract",14.714,0,0
"45","BICR56","upper_aerodigestive_tract",13.837,1,0
"46","BICR6","upper_aerodigestive_tract",15.297,0,1
"47","BT20","breast",15.001,0,0
"48","BT474","breast",15,0,0
"49","BT549","breast",15.553,0,1
"50","BXPC3","pancreas",13.793,1,0
"51","C2BBE1","large_intestine",14.232,1,0
"52","C32","skin",14.171,1,0
