"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"1",683667,"PFSK-1","nervous_system","medulloblastoma",1.75755919,1
"2",684057,"ES5","bone","ewings_sarcoma",1.13196674,0
"3",684059,"ES7","bone","ewings_sarcoma",0.87712395,0
"4",684062,"EW-11","bone","ewings_sarcoma",1.34299045,0
"5",684072,"SK-ES-1","bone","ewings_sarcoma",1.31737472,0
"6",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.54805102,1
"7",687452,"5637","urogenital_system","Bladder",1.52337287,1
"8",687455,"RT4","urogenital_system","Bladder",2.71829922,1
"9",687457,"SW780","urogenital_system","Bladder",2.5401121,1
"10",687505,"C-33-A","urogenital_system","cervix",1.38113295,1
"11",687506,"C-4-I","urogenital_system","cervix",2.59882019,1
"12",687514,"ME-180","urogenital_system","cervix",0.81441652,0
"13",687561,"42-MG-BA","nervous_system","glioma",3.08600352,1
"14",687562,"8-MG-BA","nervous_system","glioma",1.68366835,1
"15",687568,"GB-1","nervous_system","glioma",0.71588091,0
"16",687586,"T98G","nervous_system","glioma",3.44000868,1
"17",687588,"U-118-MG","nervous_system","glioma",2.74506187,1
"18",687590,"U-87-MG","nervous_system","glioma",3.10706607,1
"19",687592,"YKG-1","nervous_system","glioma",1.85074466,1
"20",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",3.83159352,1
"21",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.13943131,1
"22",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",1.67761803,1
"23",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",3.31337826,1
"24",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.87391574,1
"25",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.23045419,1
"26",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",4.18066836,1
"27",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",4.43619248,1
"28",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.32799524,1
"29",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.45311657,1
"30",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",4.37171723,1
"31",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.00112258,1
"32",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",2.1913922,1
"33",687983,"DMS-114","lung_SCLC","lung_small_cell_carcinoma",2.79834708,1
"34",687985,"DMS-273","lung_SCLC","lung_small_cell_carcinoma",2.24956747,1
"35",687995,"NCI-H1048","lung_SCLC","lung_small_cell_carcinoma",2.31221079,1
"36",687997,"NCI-H1092","lung_SCLC","lung_small_cell_carcinoma",5.10018036,1
"37",688001,"NCI-H1417","lung_SCLC","lung_small_cell_carcinoma",0.59958668,0
"38",688006,"NCI-H1694","lung_SCLC","lung_small_cell_carcinoma",2.32361203,1
"39",688007,"NCI-H187","lung_SCLC","lung_small_cell_carcinoma",3.32563856,1
"40",688010,"NCI-H1963","lung_SCLC","lung_small_cell_carcinoma",3.21934346,1
"41",688011,"NCI-H2029","lung_SCLC","lung_small_cell_carcinoma",4.77183545,1
"42",688013,"NCI-H209","lung_SCLC","lung_small_cell_carcinoma",-2.11577599,0
"43",688014,"NCI-H2141","lung_SCLC","lung_small_cell_carcinoma",3.82834467,1
"44",688018,"NCI-H2227","lung_SCLC","lung_small_cell_carcinoma",2.65882504,1
"45",688021,"NCI-H345","lung_SCLC","lung_small_cell_carcinoma",4.44092766,1
"46",688023,"NCI-H446","lung_SCLC","lung_small_cell_carcinoma",4.06062382,1
"47",688025,"NCI-H526","lung_SCLC","lung_small_cell_carcinoma",1.45899393,1
"48",688026,"NCI-H64","lung_SCLC","lung_small_cell_carcinoma",2.702504,1
"49",688027,"NCI-H69","lung_SCLC","lung_small_cell_carcinoma",4.35323382,1
"50",688031,"NCI-H82","lung_SCLC","lung_small_cell_carcinoma",1.51187475,1
"51",688058,"NCI-H2052","lung","mesothelioma",4.56030965,1
"52",688086,"SK-N-DZ","neuroblastoma","neuroblastoma",2.45658783,1
"53",688087,"SK-N-FI","neuroblastoma","neuroblastoma",4.19241983,1
"54",688121,"VA-ES-BJ","soft_tissue","soft_tissue_other",0.99295449,0
"55",713869,"VMRC-LCD","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.36139685,1
"56",713878,"LU-139","lung_SCLC","lung_small_cell_carcinoma",3.93267401,1
"57",713880,"SBC-5","lung_SCLC","lung_small_cell_carcinoma",3.0718634,1
"58",713885,"SBC-1","lung_SCLC","lung_small_cell_carcinoma",4.63468696,1
"59",713899,"LU-135","lung_SCLC","lung_small_cell_carcinoma",2.35774076,1
"60",717431,"SK-N-SH","neuroblastoma","neuroblastoma",1.94643231,1
"61",722046,"NCI-H2122","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.41878784,1
"62",722058,"NCI-H1734","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.04665976,1
"63",722066,"NCI-H650","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.84672381,1
"64",724828,"SK-N-AS","neuroblastoma","neuroblastoma",2.40691226,1
"65",724834,"NCI-H2087","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.72346719,1
"66",724838,"UM-UC-3","urogenital_system","Bladder",1.77943929,1
"67",724839,"SW756","urogenital_system","cervix",2.140665,1
"68",724855,"NCI-H727","lung_NSCLC","lung_NSCLC_carcinoid",4.5274113,1
"69",724859,"Calu-6","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.84717612,1
"70",724863,"LU-65","lung_NSCLC","lung_NSCLC_large cell",5.02687594,1
"71",724868,"NCI-H1792","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.39463201,1
"72",724870,"MIA-PaCa-2","pancreas","pancreas",0.40111093,0
"73",724872,"SHP-77","lung_SCLC","lung_small_cell_carcinoma",4.6436579,1
"74",724873,"NCI-H2009","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.65137431,1
"75",724874,"NCI-H2291","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.55132644,1
"76",724878,"SW1573","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.81771975,1
"77",735784,"TE-5","aero_dig_tract","oesophagus",2.99764162,1
"78",749709,"HCC1954","breast","breast",4.21137121,1
"79",749710,"HCC1143","breast","breast",3.92654645,1
"80",749711,"HCC1187","breast","breast",2.44111727,1
"81",749712,"HCC1395","breast","breast",2.30756028,1
"82",749714,"HCC1937","breast","breast",3.0271833,1
"83",749715,"HCC2157","breast","breast",3.25929986,1
"84",749716,"HCC2218","breast","breast",5.05328721,1
"85",749717,"HCC38","breast","breast",4.32138863,1
"86",753531,"BB30-HNC","aero_dig_tract","head and neck",1.7649038,1
"87",753532,"BB49-HNC","aero_dig_tract","head and neck",4.16625801,1
"88",753533,"BB65-RCC","kidney","kidney",1.14203318,0
"89",753538,"Ca9-22","aero_dig_tract","head and neck",2.14052485,1
"90",753539,"CADO-ES1","bone","ewings_sarcoma",2.05918957,1
"91",753540,"CAL-12T","lung_NSCLC","lung_NSCLC_not specified",4.96982067,1
"92",753541,"CAL-33","aero_dig_tract","head and neck",1.84473376,1
"93",753545,"CP50-MEL-B","skin","melanoma",3.62189722,1
"94",753546,"CP66-MEL","skin","melanoma",3.50895149,1
"95",753547,"CPC-N","lung_SCLC","lung_small_cell_carcinoma",2.83885448,1
"96",753549,"D-542MG","nervous_system","glioma",3.4575885,1
"97",753551,"DMS-79","lung_SCLC","lung_small_cell_carcinoma",3.08682194,1
"98",753552,"DSH1","urogenital_system","Bladder",3.8393146,1
"99",753554,"EBC-1","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",3.36243097,1
"100",753555,"EC-GI-10","aero_dig_tract","oesophagus",2.64017622,1
"101",753556,"EPLC-272H","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",2.80210892,1
"102",753558,"HA7-RCC","kidney","kidney",2.23144118,1
"103",753561,"HO-1-u-1","aero_dig_tract","head and neck",2.9469713,1
"104",753562,"HSC-2","aero_dig_tract","head and neck",3.07220819,1
"105",753564,"IST-SL1","lung_SCLC","lung_small_cell_carcinoma",3.53296898,1
"106",753565,"IST-SL2","lung_SCLC","lung_small_cell_carcinoma",3.30712326,1
"107",753569,"KNS-62","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",2.67170269,1
"108",753573,"KYSE-140","aero_dig_tract","oesophagus",0.80851884,0
"109",753574,"KYSE-410","aero_dig_tract","oesophagus",2.82888353,1
"110",753575,"KYSE-520","aero_dig_tract","oesophagus",3.33401055,1
"111",753576,"KYSE-70","aero_dig_tract","oesophagus",3.36139392,1
"112",753577,"LB1047-RCC","kidney","kidney",1.9652189,1
