"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",15.98,0,1
"2","2313287","stomach",15.34,0,0
"3","253J","urinary_tract",15.249,0,0
"4","253JBV","urinary_tract",15,0,0
"5","5637","urinary_tract",14.696,0,0
"6","639V","urinary_tract",14.541,0,0
"7","769P","kidney",14.608,0,0
"8","8305C","thyroid",15.345,0,0
"9","8505C","thyroid",14.304,1,0
"10","A2780","ovary",14.24,1,0
"11","A375","skin",15.0225,0,0
"13","A549","lung",15.1703333333333,0,0
"16","ACCMESO1","pleura",15.112,0,0
"17","AGS","stomach",14.696,0,0
"18","AM38","central_nervous_system",15.175,0,0
"19","BCPAP","thyroid",15.219,0,0
"20","BFTC905","urinary_tract",15,0,0
"21","BFTC909","kidney",15.633,0,1
"22","BHT101","thyroid",15.709,0,1
"23","BHY","upper_aerodigestive_tract",15,0,0
"24","BXPC3","pancreas",14.913,0,0
"25","CAL120","breast",15.012,0,0
"26","CAL12T","lung",13.251,1,0
"27","CAL148","breast",16.431,0,1
"28","CAL29","urinary_tract",16.72,0,1
"29","CAL51","breast",15.3435,0,0
"31","CAL62","thyroid",16.963,0,1
"32","CAL78","bone",14.356,1,0
"33","CALU3","lung",14.457,1,0
"34","CALU6","lung",15.267,0,0
"35","CAMA1","breast",14.697,0,0
"36","CAOV3","ovary",14.955,0,0
"37","CCK81","large_intestine",14.712,0,0
"38","CFPAC1","pancreas",15.027,0,0
"39","CGTHW1","thyroid",15,0,0
"40","CHP126","autonomic_ganglia",16.824,0,1
"41","CL11","large_intestine",13.731,1,0
"42","COLO201","large_intestine",14.921,0,0
"43","COLO205","large_intestine",14.84,0,0
"44","COLO680N","oesophagus",15.007,0,0
"45","COLO741","skin",13.339,1,0
"46","CW2","large_intestine",14.571,0,0
"47","DAOY","central_nervous_system",14.526,0,0
"48","DBTRG05MG","central_nervous_system",14.225,1,0
"49","DETROIT562","upper_aerodigestive_tract",15.031,0,0
"50","DLD1","large_intestine",14.796,0,0
"51","DMS79","lung",14.938,0,0
"52","EBC1","lung",16.197,0,1
"53","ECC10","stomach",14.93,0,0
"54","ECC12","stomach",14.735,0,0
"55","EFE184","endometrium",14.9,0,0
"56","EPLC272H","lung",12.527,1,0
