"","Cell.line.name","Tissue","area_under_curve","most_sensitive","least_sensitive"
"1","5637","urinary_tract",11.905,1,0
"2","2313287","stomach",7.6032,1,0
"3","22RV1","prostate",10.662,1,0
"4","253J","urinary_tract",10.5,1,0
"5","253JBV","urinary_tract",12.171,0,0
"6","42MGBA","central_nervous_system",11.548,1,0
"7","639V","urinary_tract",14.894,0,1
"8","647V","urinary_tract",8.8782,1,0
"9","769P","kidney",11.874,1,0
"10","786O","kidney",14.514,0,1
"11","8305C","thyroid",12.14,0,0
"12","8505C","thyroid",12.579,0,0
"13","8MGBA","central_nervous_system",14.293,0,1
"14","A101D","skin",13.483,0,0
"15","A172","central_nervous_system",11.809,1,0
"16","A204","soft_tissue",7.8022,1,0
"17","A2058","skin",13.321,0,0
"18","A253","salivary_gland",17.566,0,1
"19","A2780","ovary",10.205,1,0
"20","A375","skin",9.8556,1,0
"21","A375","skin",11.155,1,0
"22","A498","kidney",14.734,0,1
"23","A549","lung",13.952,0,1
"24","A549","lung",9.3236,1,0
"25","A549","lung",11.983,0,0
"26","A673","bone",6.8732,1,0
"27","ACCMESO1","pleura",14.907,0,1
"28","ACHN","kidney",11.992,0,0
"29","AGS","stomach",13.168,0,0
"30","AM38","central_nervous_system",4.9943,1,0
"31","AN3CA","endometrium",13.522,0,0
"32","ASPC1","pancreas",13.444,0,0
"33","ASPC1","pancreas",13.298,0,0
"34","AU565","breast",11.953,1,0
"35","BC3C","urinary_tract",14.059,0,1
"36","BCPAP","thyroid",13.589,0,0
"37","BECKER","central_nervous_system",11.969,1,0
"38","BEN","lung",16.306,0,1
"39","BFTC905","urinary_tract",16.975,0,1
"40","BFTC909","kidney",12.648,0,0
"41","BHT101","thyroid",12.235,0,0
"42","BHY","upper_aerodigestive_tract",11.9,1,0
"43","BICR16","upper_aerodigestive_tract",14.15,0,1
"44","BICR18","upper_aerodigestive_tract",11.06,1,0
"45","BICR22","upper_aerodigestive_tract",9.7105,1,0
"46","BICR31","upper_aerodigestive_tract",13.003,0,0
"47","BICR56","upper_aerodigestive_tract",13.769,0,1
"48","BICR6","upper_aerodigestive_tract",13.923,0,1
"49","BT20","breast",15.742,0,1
"50","BT474","breast",16.033,0,1
"51","BT549","breast",13.722,0,1
"52","BXPC3","pancreas",11.682,1,0
"53","C2BBE1","large_intestine",13.309,0,0
"54","CAKI1","kidney",13.165,0,0
"55","CAKI2","kidney",14.183,0,1
"56","CAL120","breast",16.91,0,1
"57","CAL12T","lung",12.35,0,0
"58","CAL148","breast",6.6092,1,0
"59","CAL27","upper_aerodigestive_tract",12.953,0,0
"60","CAL29","urinary_tract",14.119,0,1
"61","CAL33","upper_aerodigestive_tract",11.08,1,0
"62","CAL51","breast",9.6782,1,0
"63","CAL51","breast",15,0,1
"64","CAL54","kidney",11.891,1,0
"65","CAL62","thyroid",12.974,0,0
"66","CAL78","bone",13.359,0,0
"67","CAL851","breast",12.391,0,0
"68","CALU1","lung",13.267,0,0
"69","CALU3","lung",11.231,1,0
"70","CALU6","lung",14.221,0,1
"71","CAMA1","breast",12.944,0,0
"72","CAOV3","ovary",11.665,1,0
"73","CAPAN1","pancreas",12.648,0,0
"74","CAPAN2","pancreas",13.821,0,1
"75","CAS1","central_nervous_system",14.839,0,1
"76","CCFSTTG1","central_nervous_system",14.191,0,1
"77","CCFSTTG1","central_nervous_system",14.321,0,1
"78","CCK81","large_intestine",10.362,1,0
"79","CFPAC1","pancreas",12.704,0,0
"80","CGTHW1","thyroid",11.875,1,0
"81","CHAGOK1","lung",13.341,0,0
"82","CHP126","autonomic_ganglia",13.761,0,1
"83","CHP212","autonomic_ganglia",4.6951,1,0
"84","CJM","skin",13.884,0,1
"85","CL11","large_intestine",10.292,1,0
"86","COLO201","large_intestine",13.981,0,1
"87","COLO205","large_intestine",12.402,0,0
"88","COLO320","large_intestine",12.197,0,0
"89","COLO668","lung",5.3982,1,0
"90","COLO678","large_intestine",13.35,0,0
"91","COLO680N","oesophagus",13.491,0,0
"92","COLO684","endometrium",10.898,1,0
"93","COLO792","skin",12.916,0,0
"94","COLO800","skin",10.898,1,0
"95","COLO829","skin",11.554,1,0
"96","CORL105","lung",13.191,0,0
"97","CORL88","lung",11.016,1,0
"98","CORL95","lung",10.665,1,0
"99","COV362","ovary",14.206,0,1
"100","COV434","ovary",9.3716,1,0
"101","COV644","ovary",13.099,0,0
"102","CW2","large_intestine",9.7037,1,0
"103","D283MED","central_nervous_system",6.3429,1,0
"104","DANG","pancreas",12.137,0,0
"105","DAOY","central_nervous_system",11.506,1,0
"106","DBTRG05MG","central_nervous_system",13.972,0,1
"107","DETROIT562","upper_aerodigestive_tract",12.776,0,0
"108","DKMG","central_nervous_system",13.459,0,0
"109","DLD1","large_intestine",13.388,0,0
"110","DMS114","lung",11.633,1,0
"111","DMS273","lung",11.507,1,0
"112","DMS454","lung",12.155,0,0
"113","DMS53","lung",8.9561,1,0
"114","DU145","prostate",12.61,0,0
"115","DU145","prostate",13.747,0,1
"116","DU4475","breast",5.4352,1,0
"117","DV90","lung",6.1558,1,0
"118","EBC1","lung",9.9402,1,0
"119","ECC10","stomach",11.888,1,0
"120","ECC12","stomach",13.313,0,0
"121","ECGI10","oesophagus",11.29,1,0
"122","EFE184","endometrium",14.464,0,1
"123","EFM192A","breast",12.126,0,0
"124","EFO21","ovary",12.144,0,0
"125","EFO27","ovary",14.891,0,1
"126","EN","endometrium",14.841,0,1
"127","EPLC272H","lung",12.868,0,0
"128","ES2","ovary",12.814,0,0
"129","ESS1","endometrium",12.61,0,0
"130","FADU","upper_aerodigestive_tract",13.449,0,0
"131","FTC133","thyroid",12.581,0,0
"132","FTC238","thyroid",11.762,1,0
"133","FU97","stomach",13.968,0,1
"134","FUOV1","ovary",15.075,0,1
"135","G292CLONEA141B1","bone",11.44,1,0
"136","G361","skin",12.73,0,0
"137","G401","soft_tissue",8.8683,1,0
"138","G402","soft_tissue",8.542,1,0
"139","GAMG","central_nervous_system",14.185,0,1
"140","GB1","central_nervous_system",14.035,0,1
"141","GCT","soft_tissue",12.383,0,0
"142","GI1","central_nervous_system",10.941,1,0
"143","GMS10","central_nervous_system",13.444,0,0
"144","GOS3","central_nervous_system",13.071,0,0
"145","GP2D","large_intestine",12.208,0,0
"146","GSS","stomach",9.1005,1,0
"147","GSU","stomach",13.163,0,0
"148","H292","lung",12.663,0,0
"149","HARA","lung",11.189,1,0
"150","HCC1143","breast",12.897,0,0
"151","HCC1171","lung",11.987,0,0
"152","HCC1195","lung",14.196,0,1
"153","HCC1395","breast",14.343,0,1
"154","HCC1419","breast",14.06,0,1
"155","HCC1428","breast",14.545,0,1
"156","HCC1438","lung",12.492,0,0
"157","HCC15","lung",12.054,0,0
"158","HCC1500","breast",13.713,0,1
"159","HCC1588","lung",8.0912,1,0
"160","HCC1806","breast",11.513,1,0
"161","HCC1833","lung",12.195,0,0
"162","HCC1937","breast",15.228,0,1
"163","HCC1954","breast",12.577,0,0
"164","HCC202","breast",15.428,0,1
"165","HCC2108","lung",14.147,0,1
"166","HCC2218","breast",13.324,0,0
"167","HCC2279","lung",13.543,0,0
"168","HCC2935","lung",14.044,0,1
"169","HCC366","lung",13.369,0,0
