"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"1",683667,"PFSK-1","nervous_system","medulloblastoma",0.20118074,1
"2",684057,"ES5","bone","ewings_sarcoma",-1.56246453,1
"3",684059,"ES7","bone","ewings_sarcoma",-1.30441269,1
"4",684062,"EW-11","bone","ewings_sarcoma",0.32158916,1
"5",684072,"SK-ES-1","bone","ewings_sarcoma",-1.05972999,1
"6",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.83130901,1
"7",687452,"5637","urogenital_system","Bladder",-0.87681109,1
"8",687455,"RT4","urogenital_system","Bladder",1.19165372,1
"9",687457,"SW780","urogenital_system","Bladder",0.33800505,1
"10",687505,"C-33-A","urogenital_system","cervix",-1.59525347,1
"11",687506,"C-4-I","urogenital_system","cervix",-0.92643759,1
"12",687514,"ME-180","urogenital_system","cervix",-0.37408957,1
"13",687561,"42-MG-BA","nervous_system","glioma",0.02062191,1
"14",687562,"8-MG-BA","nervous_system","glioma",-1.02523257,1
"15",687568,"GB-1","nervous_system","glioma",1.3203676,1
"16",687586,"T98G","nervous_system","glioma",0.54692457,1
"17",687588,"U-118-MG","nervous_system","glioma",0.71625496,1
"18",687590,"U-87-MG","nervous_system","glioma",0.49447636,1
"19",687592,"YKG-1","nervous_system","glioma",-1.25327585,1
"20",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",2.45909959,1
"21",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.22582633,1
"22",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",-0.28630662,1
"23",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-0.98026451,1
"24",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.91320817,1
"25",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.521344,1
"26",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.51322441,1
"27",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",3.00937516,1
"28",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.57249976,1
"29",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.61615713,1
"30",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.63441669,1
"31",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.94460157,1
"32",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",-0.34225501,1
