"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",13.365,1,0
"2","2313287","stomach",13.292,1,0
"3","253J","urinary_tract",15.089,0,1
"4","253JBV","urinary_tract",16.312,0,1
"5","42MGBA","central_nervous_system",10.341,1,0
"6","5637","urinary_tract",11.766,1,0
"7","639V","urinary_tract",16.625,0,1
"8","647V","urinary_tract",13.799,0,0
"9","769P","kidney",15.617,0,1
"10","786O","kidney",14.026,0,0
"11","8305C","thyroid",13.765,0,0
"12","8505C","thyroid",13.647,1,0
"13","8MGBA","central_nervous_system",14.565,0,0
"14","A101D","skin",14.321,0,0
"15","A172","central_nervous_system",14.233,0,0
"16","A204","soft_tissue",13.702,1,0
"17","A2058","skin",15.479,0,1
"18","A253","salivary_gland",15.98,0,1
"19","A2780","ovary",14.712,0,0
"20","A375","skin",13.922,0,0
"22","A498","kidney",13.632,1,0
"23","A549","lung",15.1653333333333,0,1
"26","A673","bone",14.659,0,0
"27","ACCMESO1","pleura",14.579,0,0
"28","ACHN","kidney",13.954,0,0
"29","AGS","stomach",15.732,0,1
"30","AN3CA","endometrium",14.902,0,0
"31","ASPC1","pancreas",14.0955,0,0
"33","AU565","breast",14.443,0,0
"34","BC3C","urinary_tract",14.448,0,0
"35","BCPAP","thyroid",13.878,0,0
"36","BECKER","central_nervous_system",13.859,0,0
"37","BEN","lung",17.604,0,1
"38","BFTC905","urinary_tract",17.445,0,1
"39","BFTC909","kidney",14.527,0,0
"40","BHT101","thyroid",14.282,0,0
"41","BHY","upper_aerodigestive_tract",14.842,0,0
"42","BICR16","upper_aerodigestive_tract",15,0,0
"43","BICR18","upper_aerodigestive_tract",14.439,0,0
"44","BICR22","upper_aerodigestive_tract",13.651,1,0
"45","BICR31","upper_aerodigestive_tract",14.52,0,0
"46","BICR56","upper_aerodigestive_tract",15.234,0,1
"47","BICR6","upper_aerodigestive_tract",14.801,0,0
"48","BT20","breast",14.985,0,0
"49","BT474","breast",15,0,0
"50","BT549","breast",16.141,0,1
"51","BXPC3","pancreas",11.912,1,0
"52","C2BBE1","large_intestine",14.206,0,0
"53","C32","skin",16.314,0,1
"54","CAKI1","kidney",13.905,0,0
"55","CAKI2","kidney",14.803,0,0
"56","CAL120","breast",15.934,0,1
"57","CAL12T","lung",12.973,1,0
"58","CAL148","breast",13.703,1,0
"59","CAL27","upper_aerodigestive_tract",13.744,0,0
"60","CAL29","urinary_tract",16.743,0,1
"61","CAL33","upper_aerodigestive_tract",14.67,0,0
"62","CAL51","breast",14.6555,0,0
"64","CAL54","kidney",13.217,1,0
"65","CAL62","thyroid",16.215,0,1
"66","CAL78","bone",14.816,0,0
"67","CAL851","breast",14.022,0,0
"68","CALU1","lung",14.746,0,0
"69","CALU3","lung",14.365,0,0
"70","CALU6","lung",13.635,1,0
"71","CAMA1","breast",13.258,1,0
"72","CAOV3","ovary",16.738,0,1
"73","CAPAN1","pancreas",14.633,0,0
"74","CAPAN2","pancreas",13.079,1,0
"75","CAS1","central_nervous_system",16.026,0,1
"76","CCFSTTG1","central_nervous_system",14.4295,0,0
"78","CCK81","large_intestine",14.466,0,0
"79","CFPAC1","pancreas",14.938,0,0
"80","CGTHW1","thyroid",15.669,0,1
"81","CHAGOK1","lung",13.536,1,0
"82","CHP126","autonomic_ganglia",14.755,0,0
"83","CHP212","autonomic_ganglia",12.864,1,0
"84","CJM","skin",14.648,0,0
"85","CL11","large_intestine",15.333,0,1
"86","COLO201","large_intestine",14.735,0,0
"87","COLO205","large_intestine",14.723,0,0
"88","COLO320","large_intestine",14.524,0,0
"89","COLO668","lung",12.797,1,0
"90","COLO678","large_intestine",14.084,0,0
"91","COLO680N","oesophagus",14.098,0,0
"92","COLO792","skin",14.195,0,0
"93","COLO800","skin",13.624,1,0
"94","COLO829","skin",14.072,0,0
"95","CORL105","lung",14.822,0,0
"96","CORL51","lung",12.788,1,0
"97","CORL95","lung",15.317,0,1
"98","COV362","ovary",14.64,0,0
"99","COV434","ovary",12.523,1,0
"100","COV644","ovary",14.554,0,0
"101","CW2","large_intestine",11.085,1,0
"102","D283MED","central_nervous_system",14.499,0,0
"103","DANG","pancreas",14.62,0,0
"104","DAOY","central_nervous_system",13.181,1,0
"105","DBTRG05MG","central_nervous_system",14.968,0,0
"106","DETROIT562","upper_aerodigestive_tract",13.806,0,0
"107","DKMG","central_nervous_system",13.458,1,0
"108","DLD1","large_intestine",16.448,0,1
"109","DMS114","lung",14.665,0,0
"110","DMS273","lung",14.844,0,0
"111","DMS454","lung",15.883,0,1
"112","DMS53","lung",14.413,0,0
"113","DU145","prostate",13.9455,0,0
"115","DU4475","breast",11.125,1,0
"116","DV90","lung",12.063,1,0
"117","EBC1","lung",14.185,0,0
"118","ECC10","stomach",16.242,0,1
"119","ECC12","stomach",16.253,0,1
"120","ECGI10","oesophagus",16.107,0,1
"121","EFE184","endometrium",14.574,0,0
"122","EFM192A","breast",14.417,0,0
"123","EFO21","ovary",13.763,0,0
"124","EFO27","ovary",14.827,0,0
"125","EN","endometrium",14.73,0,0
"126","EPLC272H","lung",17.491,0,1
"127","ES2","ovary",14.495,0,0
"128","ESS1","endometrium",14.074,0,0
"129","FADU","upper_aerodigestive_tract",14.112,0,0
"130","FTC133","thyroid",14.813,0,0
"131","FTC238","thyroid",14.493,0,0
"132","FU97","stomach",14.98,0,0
"133","FUOV1","ovary",16.041,0,1
"134","G292CLONEA141B1","bone",14.843,0,0
"135","G361","skin",14.527,0,0
"136","G401","soft_tissue",13.963,0,0
"137","G402","soft_tissue",14.142,0,0
"138","GAMG","central_nervous_system",14.687,0,0
"139","GB1","central_nervous_system",13.832,0,0
"140","GCT","soft_tissue",13.536,1,0
"141","GI1","central_nervous_system",13.407,1,0
"142","GMS10","central_nervous_system",14.146,0,0
"143","GOS3","central_nervous_system",13.99,0,0
"144","GP2D","large_intestine",16.205,0,1
"145","GSS","stomach",13.289,1,0
"146","GSU","stomach",16.384,0,1
"147","H292","lung",14.556,0,0
"148","HARA","lung",15.289,0,1
"149","HCC1143","breast",13.74,0,0
"150","HCC1171","lung",13.977,0,0
"151","HCC1195","lung",14.406,0,0
"152","HCC1395","breast",14.282,0,0
"153","HCC1419","breast",15.374,0,1
"154","HCC1428","breast",14.4,0,0
"155","HCC1438","lung",14.587,0,0
"156","HCC15","lung",14.484,0,0
"157","HCC1500","breast",15.534,0,1
"158","HCC1588","lung",13.195,1,0
"159","HCC1806","breast",14.729,0,0
"160","HCC1833","lung",13.974,0,0
"161","HCC1937","breast",14.812,0,0
"162","HCC1954","breast",14.439,0,0
"163","HCC202","breast",16.074,0,1
"164","HCC2108","lung",11.992,1,0
"165","HCC2279","lung",13.108,1,0
"166","HCC2935","lung",14.369,0,0
"167","HCC366","lung",14.638,0,0
"168","HCC38","breast",16.059,0,1
"169","HCC4006","lung",15,0,0
"170","HCC44","lung",12.869,1,0
"171","HCC56","large_intestine",14.843,0,0
"172","HCC78","lung",14.663,0,0
"173","HCC827","lung",13.801,0,0
"174","HCC95","lung",14.861,0,0
"175","HCT116","large_intestine",15.124,0,1
"176","HCT15","large_intestine",14.411,0,0
"177","HCT8","large_intestine",14.952,0,0
"178","HDQP1","breast",17.248,0,1
"179","HEC108","endometrium",14.886,0,0
"180","HEC151","endometrium",13.629,1,0
"181","HEC1A","endometrium",14.735,0,0
"182","HEC1B","endometrium",12.781,1,0
"183","HEC251","endometrium",14.312,0,0
"184","HEC265","endometrium",17.028,0,1
"185","HEC50B","endometrium",14.655,0,0
"186","HEC59","endometrium",14.22,0,0
"187","HEC6","endometrium",14.552,0,0
"188","HEP3B217","liver",14.122,0,0
"189","HEPG2","liver",14.334,0,0
"190","HEYA8","ovary",12.903,1,0
"191","HGC27","stomach",13.657,1,0
"192","HLF","liver",14.637,0,0
"193","HMC18","breast",14.687,0,0
"194","HMCB","skin",14.407,0,0
"195","HOS","bone",14.524,0,0
"196","HPAC","pancreas",15.821,0,1
"197","HPAFII","pancreas",14.609,0,0
"198","HS294T","skin",13.627,1,0
"199","HS683","central_nervous_system",14.327,0,0
"200","HS688AT","skin",16.047,0,1
"201","HS729","soft_tissue",14.087,0,0
"202","HS746T","stomach",14.657,0,0
"203","HS766T","pancreas",14.4,0,0
"204","HS822T","bone",14.036,0,0
"205","HS839T","skin",14.473,0,0
"206","HS852T","skin",14.504,0,0
"207","HS888T","bone",15,0,0
"208","HS895T","skin",14.621,0,0
"209","HS934T","skin",14.12,0,0
"210","HS936T","skin",14.735,0,0
"211","HS940T","skin",14.944,0,0
"212","HS944T","skin",13.534,1,0
"213","HSC2","upper_aerodigestive_tract",14.763,0,0
"214","HSC3","upper_aerodigestive_tract",11.447,1,0
"215","HSC4","upper_aerodigestive_tract",13.755,0,0
"216","HT1080","soft_tissue",13.888,0,0
"217","HT115","large_intestine",12.974,1,0
"218","HT1197","urinary_tract",14.375,0,0
"219","HT1376","urinary_tract",13.806,0,0
"220","HT144","skin",14.742,0,0
"221","HT29","large_intestine",16.379,0,1
"222","HT55","large_intestine",14.125,0,0
"223","HUCCT1","biliary_tract",13.752,0,0
"224","HUG1N","stomach",13.612,1,0
"225","HUH1","liver",14.239,0,0
"226","HUH28","biliary_tract",15.91,0,1
"227","HUH6","liver",14.849,0,0
"228","HUPT3","pancreas",14.576,0,0
"229","HUPT4","pancreas",11.556,1,0
"230","IALM","lung",14.859,0,0
"231","IGR1","skin",14.791,0,0
"232","IGR37","skin",15.465,0,1
"233","IGR39","skin",14.613,0,0
"234","IGROV1","ovary",14.5175,0,0
"236","IM95","stomach",13.653,1,0
"237","IPC298","skin",13.404,1,0
"238","ISHIKAWAHERAKLIO02ER","endometrium",14.03,0,0
"239","ISTMES1","pleura",14.894,0,0
"240","J82","urinary_tract",13.221,1,0
"241","JHH1","liver",13.727,1,0
"242","JHH2","liver",15.366,0,1
"243","JHH4","liver",11.873,1,0
"244","JHH5","liver",15.309,0,1
"245","JHH6","liver",15.746,0,1
"246","JHOC5","ovary",15.138,0,1
"247","JHOM1","ovary",15,0,0
"248","JHOS2","ovary",15,0,0
"249","JHUEM1","endometrium",14.711,0,0
"250","JHUEM2","endometrium",14.489,0,0
"251","JHUEM3","endometrium",14.911,0,0
"252","JIMT1","breast",14.366,0,0
"253","JL1","pleura",14.519,0,0
"254","JMSU1","urinary_tract",11.235,1,0
"255","K029AX","skin",13.966,0,0
"256","KALS1","central_nervous_system",14.103,0,0
"257","KATOIII","stomach",14.764,0,0
"258","KE39","stomach",14.3675,0,0
"260","KELLY","autonomic_ganglia",13.036,1,0
"261","KG1C","central_nervous_system",12.888,1,0
"262","KLE","endometrium",14.747,0,0
"263","KM12","large_intestine",15.738,0,1
"264","KMBC2","urinary_tract",14.976,0,0
"265","KMRC1","kidney",14.579,0,0
"266","KMRC2","kidney",15.221,0,1
"267","KMRC20","kidney",14.919,0,0
"268","KNS42","central_nervous_system",15.06,0,1
"269","KNS60","central_nervous_system",14.792,0,0
"270","KNS62","lung",15.357,0,1
"271","KNS81","central_nervous_system",15.477,0,1
"272","KP2","pancreas",14.77,0,0
"273","KP3","pancreas",14.784,0,0
