"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","most_sensitive","least_sensitive"
"1",683667,"PFSK-1","nervous_system","medulloblastoma",-1.0296149,0,1
"2",684052,"A673","soft_tissue","rhabdomyosarcoma",-1.54576879,0,0
"3",684055,"ES3","bone","ewings_sarcoma",-2.93565597,1,0
"4",684057,"ES5","bone","ewings_sarcoma",-0.15898577,0,1
"5",684059,"ES7","bone","ewings_sarcoma",-3.49532184,1,0
"6",684062,"EW-11","bone","ewings_sarcoma",-1.06077102,0,1
"7",684072,"SK-ES-1","bone","ewings_sarcoma",-3.06661317,1,0
"8",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.12135199,0,1
"9",687448,"COLO-829","skin","melanoma",0.12215871,0,1
"10",687452,"5637","urogenital_system","Bladder",-3.79709982,1,0
"11",687455,"RT4","urogenital_system","Bladder",-0.19393842,0,1
"12",687457,"SW780","urogenital_system","Bladder",2.01860051,0,1
"13",687459,"TCCSUP","urogenital_system","Bladder",-0.51971814,0,1
"14",687505,"C-33-A","urogenital_system","cervix",-3.12837434,1,0
"15",687506,"C-4-I","urogenital_system","cervix",-2.48747777,0,0
"16",687514,"ME-180","urogenital_system","cervix",-1.94659529,0,0
"17",687561,"42-MG-BA","nervous_system","glioma",-1.10344331,0,1
"18",687562,"8-MG-BA","nervous_system","glioma",-3.6147241,1,0
"19",687563,"A172","nervous_system","glioma",-2.61868726,1,0
"20",687568,"GB-1","nervous_system","glioma",-1.32174678,0,0
"21",687586,"T98G","nervous_system","glioma",0.4262797,0,1
"22",687588,"U-118-MG","nervous_system","glioma",-0.13946087,0,1
"23",687590,"U-87-MG","nervous_system","glioma",-1.35335431,0,0
"24",687592,"YKG-1","nervous_system","glioma",-3.69499034,1,0
"25",687596,"ChaGo-K-1","lung_NSCLC","lung_NSCLC_not specified",-2.19187534,0,0
"26",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",1.10171531,0,1
"27",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.04921362,1,0
"28",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",-3.35276317,1,0
"29",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-0.66655939,0,1
"30",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.4695839,0,1
"31",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.26908012,0,0
"32",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.26208853,0,0
"33",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",-2.09043356,0,0
"34",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.87450676,0,1
"35",687812,"NCI-H2085","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.54354534,0,0
"36",687815,"NCI-H2170","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-2.16426742,0,0
"37",687816,"NCI-H2228","lung_NSCLC","lung_NSCLC_adenocarcinoma",-4.57588335,1,0
"38",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.2474934,1,0
"39",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.89571243,0,0
"40",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.43834704,0,0
"41",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",-3.06436983,1,0
"42",687983,"DMS-114","lung_SCLC","lung_small_cell_carcinoma",-0.79011802,0,1
"43",687985,"DMS-273","lung_SCLC","lung_small_cell_carcinoma",-2.77367715,1,0
"44",687995,"NCI-H1048","lung_SCLC","lung_small_cell_carcinoma",-2.27717997,0,0
"45",687997,"NCI-H1092","lung_SCLC","lung_small_cell_carcinoma",-0.40097694,0,1
"46",688001,"NCI-H1417","lung_SCLC","lung_small_cell_carcinoma",-0.97032888,0,1
"47",688006,"NCI-H1694","lung_SCLC","lung_small_cell_carcinoma",-2.05168351,0,0
"48",688007,"NCI-H187","lung_SCLC","lung_small_cell_carcinoma",-0.58314401,0,1
"49",688010,"NCI-H1963","lung_SCLC","lung_small_cell_carcinoma",-0.83698819,0,1
"50",688011,"NCI-H2029","lung_SCLC","lung_small_cell_carcinoma",-0.0952523,0,1
"51",688013,"NCI-H209","lung_SCLC","lung_small_cell_carcinoma",-3.09984674,1,0
"52",688014,"NCI-H2141","lung_SCLC","lung_small_cell_carcinoma",-0.50729164,0,1
"53",688018,"NCI-H2227","lung_SCLC","lung_small_cell_carcinoma",1.08273746,0,1
"54",688021,"NCI-H345","lung_SCLC","lung_small_cell_carcinoma",0.61386887,0,1
"55",688023,"NCI-H446","lung_SCLC","lung_small_cell_carcinoma",0.4859465,0,1
"56",688025,"NCI-H526","lung_SCLC","lung_small_cell_carcinoma",-3.02604946,1,0
"57",688026,"NCI-H64","lung_SCLC","lung_small_cell_carcinoma",-2.0253411,0,0
"58",688027,"NCI-H69","lung_SCLC","lung_small_cell_carcinoma",-0.73671081,0,1
"59",688031,"NCI-H82","lung_SCLC","lung_small_cell_carcinoma",0.30768463,0,1
"60",688058,"NCI-H2052","lung","mesothelioma",-1.78339334,0,0
"61",688086,"SK-N-DZ","neuroblastoma","neuroblastoma",0.02112905,0,1
"62",688087,"SK-N-FI","neuroblastoma","neuroblastoma",1.54936895,0,1
"63",688121,"VA-ES-BJ","soft_tissue","soft_tissue_other",-3.10135468,1,0
"64",713878,"LU-139","lung_SCLC","lung_small_cell_carcinoma",-0.97825031,0,1
"65",713880,"SBC-5","lung_SCLC","lung_small_cell_carcinoma",-3.37438336,1,0
"66",713885,"SBC-1","lung_SCLC","lung_small_cell_carcinoma",-2.2542978,0,0
"67",713899,"LU-135","lung_SCLC","lung_small_cell_carcinoma",-4.00137393,1,0
