"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"1",683667,"PFSK-1","nervous_system","medulloblastoma",-1.0296149,1
"2",684052,"A673","soft_tissue","rhabdomyosarcoma",-1.54576879,1
"3",684055,"ES3","bone","ewings_sarcoma",-2.93565597,1
"4",684057,"ES5","bone","ewings_sarcoma",-0.15898577,1
"5",684059,"ES7","bone","ewings_sarcoma",-3.49532184,1
"6",684062,"EW-11","bone","ewings_sarcoma",-1.06077102,1
"7",684072,"SK-ES-1","bone","ewings_sarcoma",-3.06661317,1
"8",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.12135199,1
"9",687448,"COLO-829","skin","melanoma",0.12215871,1
"10",687452,"5637","urogenital_system","Bladder",-3.79709982,1
"11",687455,"RT4","urogenital_system","Bladder",-0.19393842,1
"12",687457,"SW780","urogenital_system","Bladder",2.01860051,1
"13",687459,"TCCSUP","urogenital_system","Bladder",-0.51971814,1
"14",687505,"C-33-A","urogenital_system","cervix",-3.12837434,1
"15",687506,"C-4-I","urogenital_system","cervix",-2.48747777,1
"16",687514,"ME-180","urogenital_system","cervix",-1.94659529,1
"17",687561,"42-MG-BA","nervous_system","glioma",-1.10344331,1
"18",687562,"8-MG-BA","nervous_system","glioma",-3.6147241,1
"19",687563,"A172","nervous_system","glioma",-2.61868726,1
"20",687568,"GB-1","nervous_system","glioma",-1.32174678,1
"21",687586,"T98G","nervous_system","glioma",0.4262797,1
"22",687588,"U-118-MG","nervous_system","glioma",-0.13946087,1
"23",687590,"U-87-MG","nervous_system","glioma",-1.35335431,1
"24",687592,"YKG-1","nervous_system","glioma",-3.69499034,1
"25",687596,"ChaGo-K-1","lung_NSCLC","lung_NSCLC_not specified",-2.19187534,1
"26",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",1.10171531,1
"27",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.04921362,1
"28",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",-3.35276317,1
"29",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-0.66655939,1
"30",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.4695839,1
"31",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.26908012,1
"32",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.26208853,1
"33",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",-2.09043356,1
"34",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.87450676,1
"35",687812,"NCI-H2085","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.54354534,1
"36",687815,"NCI-H2170","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-2.16426742,1
"37",687816,"NCI-H2228","lung_NSCLC","lung_NSCLC_adenocarcinoma",-4.57588335,0
"38",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.2474934,1
"39",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.89571243,1
"40",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.43834704,1
"41",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",-3.06436983,1
"42",687983,"DMS-114","lung_SCLC","lung_small_cell_carcinoma",-0.79011802,1
"43",687985,"DMS-273","lung_SCLC","lung_small_cell_carcinoma",-2.77367715,1
"44",687995,"NCI-H1048","lung_SCLC","lung_small_cell_carcinoma",-2.27717997,1
"45",687997,"NCI-H1092","lung_SCLC","lung_small_cell_carcinoma",-0.40097694,1
"46",688001,"NCI-H1417","lung_SCLC","lung_small_cell_carcinoma",-0.97032888,1
"47",688006,"NCI-H1694","lung_SCLC","lung_small_cell_carcinoma",-2.05168351,1
"48",688007,"NCI-H187","lung_SCLC","lung_small_cell_carcinoma",-0.58314401,1
"49",688010,"NCI-H1963","lung_SCLC","lung_small_cell_carcinoma",-0.83698819,1
"50",688011,"NCI-H2029","lung_SCLC","lung_small_cell_carcinoma",-0.0952523,1
"51",688013,"NCI-H209","lung_SCLC","lung_small_cell_carcinoma",-3.09984674,1
"52",688014,"NCI-H2141","lung_SCLC","lung_small_cell_carcinoma",-0.50729164,1
"53",688018,"NCI-H2227","lung_SCLC","lung_small_cell_carcinoma",1.08273746,1
"54",688021,"NCI-H345","lung_SCLC","lung_small_cell_carcinoma",0.61386887,1
"55",688023,"NCI-H446","lung_SCLC","lung_small_cell_carcinoma",0.4859465,1
"56",688025,"NCI-H526","lung_SCLC","lung_small_cell_carcinoma",-3.02604946,1
"57",688026,"NCI-H64","lung_SCLC","lung_small_cell_carcinoma",-2.0253411,1
"58",688027,"NCI-H69","lung_SCLC","lung_small_cell_carcinoma",-0.73671081,1
"59",688031,"NCI-H82","lung_SCLC","lung_small_cell_carcinoma",0.30768463,1
"60",688058,"NCI-H2052","lung","mesothelioma",-1.78339334,1
"61",688086,"SK-N-DZ","neuroblastoma","neuroblastoma",0.02112905,1
"62",688087,"SK-N-FI","neuroblastoma","neuroblastoma",1.54936895,1
"63",688121,"VA-ES-BJ","soft_tissue","soft_tissue_other",-3.10135468,1
"64",713878,"LU-139","lung_SCLC","lung_small_cell_carcinoma",-0.97825031,1
"65",713880,"SBC-5","lung_SCLC","lung_small_cell_carcinoma",-3.37438336,1
"66",713885,"SBC-1","lung_SCLC","lung_small_cell_carcinoma",-2.2542978,1
"67",713899,"LU-135","lung_SCLC","lung_small_cell_carcinoma",-4.00137393,0
"68",717431,"SK-N-SH","neuroblastoma","neuroblastoma",-2.81943659,1
"69",722045,"NCI-H2030","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.59120963,1
"70",722046,"NCI-H2122","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.5019475,1
"71",722058,"NCI-H1734","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.91234237,1
"72",722066,"NCI-H650","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.50418979,1
"73",724812,"T-24","urogenital_system","Bladder",-1.23476137,1
"74",724828,"SK-N-AS","neuroblastoma","neuroblastoma",0.52149432,1
"75",724831,"NCI-H1299","lung_NSCLC","lung_NSCLC_large cell",-3.2175458,1
"76",724834,"NCI-H2087","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.97726446,1
"77",724838,"UM-UC-3","urogenital_system","Bladder",-2.36346233,1
"78",724839,"SW756","urogenital_system","cervix",-1.08079272,1
"79",724855,"NCI-H727","lung_NSCLC","lung_NSCLC_carcinoid",-3.43848089,1
"80",724859,"Calu-6","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.18254863,1
"81",724863,"LU-65","lung_NSCLC","lung_NSCLC_large cell",-0.86544918,1
