"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",11.386,1,0
"2","2313287","stomach",10.787,1,0
"3","253J","urinary_tract",11.729,1,0
"4","253JBV","urinary_tract",13.362,0,0
"5","42MGBA","central_nervous_system",12.747,0,0
"6","5637","urinary_tract",11.084,1,0
"7","639V","urinary_tract",13.031,0,0
"8","647V","urinary_tract",10.975,1,0
"9","769P","kidney",14.461,0,1
"10","786O","kidney",14.181,0,1
"11","8305C","thyroid",13.811,0,0
"12","8505C","thyroid",12.08,0,0
"13","8MGBA","central_nervous_system",12.001,0,0
"14","A101D","skin",13.374,0,0
"15","A172","central_nervous_system",13.46,0,0
"16","A204","soft_tissue",9.8489,1,0
"17","A2058","skin",11.407,1,0
"18","A253","salivary_gland",11.935,0,0
"19","A2780","ovary",8.1715,1,0
"20","A375","skin",12.9795,0,0
"22","A498","kidney",16.65,0,1
"23","A549","lung",12.9856666666667,0,0
"26","A673","bone",9.939,1,0
"27","ACCMESO1","pleura",14.094,0,0
"28","ACHN","kidney",13.113,0,0
"29","AGS","stomach",13.926,0,0
"30","AM38","central_nervous_system",3.6129,1,0
"31","AN3CA","endometrium",13.284,0,0
"32","ASPC1","pancreas",13.2555,0,0
"34","AU565","breast",10.181,1,0
"35","BC3C","urinary_tract",13.965,0,0
"36","BCPAP","thyroid",13.404,0,0
"37","BECKER","central_nervous_system",13.354,0,0
"38","BEN","lung",15,0,1
"39","BFTC905","urinary_tract",13.334,0,0
"40","BFTC909","kidney",13.883,0,0
"41","BHT101","thyroid",12.88,0,0
"42","BHY","upper_aerodigestive_tract",13.226,0,0
"43","BICR16","upper_aerodigestive_tract",14.07,0,0
"44","BICR18","upper_aerodigestive_tract",12.838,0,0
"45","BICR22","upper_aerodigestive_tract",9.7045,1,0
"46","BICR31","upper_aerodigestive_tract",11.719,1,0
"47","BICR56","upper_aerodigestive_tract",13.137,0,0
"48","BICR6","upper_aerodigestive_tract",13.181,0,0
"49","BT20","breast",13.735,0,0
"50","BT474","breast",15.465,0,1
"51","BT549","breast",12.437,0,0
"52","BXPC3","pancreas",14.099,0,0
"53","C2BBE1","large_intestine",11.869,0,0
"54","C32","skin",11.579,1,0
"55","CAKI1","kidney",14.439,0,1
"56","CAKI2","kidney",14.775,0,1
"57","CAL120","breast",14.999,0,1
"58","CAL12T","lung",14.557,0,1
"59","CAL27","upper_aerodigestive_tract",11.066,1,0
"60","CAL29","urinary_tract",13.115,0,0
"61","CAL33","upper_aerodigestive_tract",11.899,0,0
"62","CAL51","breast",11.4465,1,0
"64","CAL54","kidney",12.128,0,0
"65","CAL62","thyroid",12.52,0,0
"66","CAL78","bone",11.274,1,0
"67","CAL851","breast",12.903,0,0
"68","CALU1","lung",12.794,0,0
"69","CALU3","lung",8.9197,1,0
"70","CALU6","lung",14.491,0,1
"71","CAMA1","breast",14.592,0,1
"72","CAOV3","ovary",11.458,1,0
"73","CAPAN1","pancreas",12.599,0,0
"74","CAPAN2","pancreas",14.195,0,1
"75","CAS1","central_nervous_system",13.196,0,0
"76","CCFSTTG1","central_nervous_system",14.6345,0,1
"78","CFPAC1","pancreas",14.334,0,1
"79","CGTHW1","thyroid",12.267,0,0
"80","CHAGOK1","lung",12.636,0,0
"81","CHP126","autonomic_ganglia",11.063,1,0
"82","CHP212","autonomic_ganglia",9.4571,1,0
"83","CJM","skin",11.022,1,0
"84","CL11","large_intestine",12.209,0,0
"85","COLO205","large_intestine",12.064,0,0
"86","COLO320","large_intestine",13.608,0,0
"87","COLO668","lung",11.319,1,0
"88","COLO678","large_intestine",12.99,0,0
"89","COLO680N","oesophagus",13.189,0,0
"90","COLO684","endometrium",13.497,0,0
"91","COLO792","skin",13.732,0,0
"92","COLO800","skin",11.967,0,0
"93","COLO829","skin",10.914,1,0
"94","CORL105","lung",14.655,0,1
"95","CORL47","lung",12.062,0,0
"96","CORL51","lung",13.324,0,0
"97","CORL88","lung",14.849,0,1
"98","CORL95","lung",10.788,1,0
"99","COV362","ovary",13.417,0,0
"100","COV434","ovary",9.6549,1,0
"101","COV644","ovary",14.183,0,1
"102","CW2","large_intestine",13.273,0,0
"103","D283MED","central_nervous_system",9.3424,1,0
"104","DANG","pancreas",12.115,0,0
"105","DAOY","central_nervous_system",10.798,1,0
"106","DBTRG05MG","central_nervous_system",12.716,0,0
"107","DETROIT562","upper_aerodigestive_tract",13.87,0,0
"108","DKMG","central_nervous_system",12.949,0,0
"109","DLD1","large_intestine",13.833,0,0
"110","DMS114","lung",13.201,0,0
"111","DMS273","lung",12.485,0,0
"112","DMS454","lung",13.295,0,0
"113","DMS53","lung",11.465,1,0
"114","DU145","prostate",12.711,0,0
"116","DU4475","breast",6.4767,1,0
"117","DV90","lung",9.9949,1,0
"118","EBC1","lung",12.435,0,0
"119","ECC10","stomach",10.885,1,0
"120","ECC12","stomach",12.432,0,0
"121","ECGI10","oesophagus",12.055,0,0
"122","EFE184","endometrium",15.238,0,1
"123","EFO21","ovary",13.597,0,0
"124","EFO27","ovary",14.384,0,1
"125","EN","endometrium",14.459,0,1
"126","EPLC272H","lung",11.567,1,0
"127","ES2","ovary",13.976,0,0
"128","ESS1","endometrium",10.03,1,0
"129","FADU","upper_aerodigestive_tract",11.341,1,0
"130","FTC133","thyroid",11.745,1,0
"131","FTC238","thyroid",10.539,1,0
"132","FU97","stomach",13.658,0,0
"133","FUOV1","ovary",13.683,0,0
"134","G292CLONEA141B1","bone",13.075,0,0
"135","G361","skin",11.762,1,0
"136","G401","soft_tissue",9.5519,1,0
"137","G402","soft_tissue",11.127,1,0
"138","GAMG","central_nervous_system",14.334,0,1
"139","GB1","central_nervous_system",13.454,0,0
"140","GCT","soft_tissue",11.605,1,0
"141","GI1","central_nervous_system",13.02,0,0
"142","GMS10","central_nervous_system",13.19,0,0
"143","GOS3","central_nervous_system",12.748,0,0
"144","GP2D","large_intestine",11.829,0,0
"145","GSS","stomach",7.2705,1,0
"146","GSU","stomach",16.753,0,1
"147","H292","lung",12.684,0,0
"148","HARA","lung",11.76,1,0
"149","HCC1143","breast",14.532,0,1
"150","HCC1171","lung",13.198,0,0
"151","HCC1195","lung",13.773,0,0
"152","HCC1395","breast",13.277,0,0
"153","HCC1419","breast",13.951,0,0
"154","HCC1428","breast",14.843,0,1
"155","HCC1438","lung",12.411,0,0
"156","HCC15","lung",10.295,1,0
"157","HCC1500","breast",13.567,0,0
"158","HCC1569","breast",12.786,0,0
"159","HCC1588","lung",13.232,0,0
"160","HCC1806","breast",13.304,0,0
"161","HCC1833","lung",13.067,0,0
"162","HCC1937","breast",14.519,0,1
"163","HCC1954","breast",12.333,0,0
"164","HCC202","breast",14.785,0,1
"165","HCC2108","lung",13.524,0,0
"166","HCC2218","breast",13.023,0,0
"167","HCC2279","lung",13.781,0,0
"168","HCC2935","lung",13.712,0,0
"169","HCC366","lung",13.069,0,0
"170","HCC38","breast",12.241,0,0
"171","HCC4006","lung",13.914,0,0
"172","HCC44","lung",11.211,1,0
"173","HCC56","large_intestine",14.344,0,1
