"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"1",683667,"PFSK-1","nervous_system","medulloblastoma",3.19152583,1
"2",684052,"A673","soft_tissue","rhabdomyosarcoma",0.89442755,1
"3",684055,"ES3","bone","ewings_sarcoma",-0.34459804,1
"4",684057,"ES5","bone","ewings_sarcoma",2.34549219,1
"5",684059,"ES7","bone","ewings_sarcoma",-0.27374432,1
"6",684062,"EW-11","bone","ewings_sarcoma",1.40042215,1
"7",684072,"SK-ES-1","bone","ewings_sarcoma",-0.24942303,1
"8",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.08759556,1
"9",687448,"COLO-829","skin","melanoma",0.53192103,1
"10",687452,"5637","urogenital_system","Bladder",-0.20938444,1
"11",687455,"RT4","urogenital_system","Bladder",4.04858909,1
"12",687457,"SW780","urogenital_system","Bladder",2.24392921,1
"13",687459,"TCCSUP","urogenital_system","Bladder",2.16906839,1
"14",687505,"C-33-A","urogenital_system","cervix",-0.61883047,1
"15",687506,"C-4-I","urogenital_system","cervix",0.35821687,1
"16",687514,"ME-180","urogenital_system","cervix",0.02189987,1
"17",687561,"42-MG-BA","nervous_system","glioma",2.44486039,1
"18",687562,"8-MG-BA","nervous_system","glioma",-2.38065254,0
"19",687563,"A172","nervous_system","glioma",1.67616915,1
"20",687568,"GB-1","nervous_system","glioma",0.39745239,1
"21",687586,"T98G","nervous_system","glioma",2.20949026,1
"22",687588,"U-118-MG","nervous_system","glioma",5.04799094,1
"23",687590,"U-87-MG","nervous_system","glioma",2.52492077,1
"24",687592,"YKG-1","nervous_system","glioma",0.19853758,1
"25",687596,"ChaGo-K-1","lung_NSCLC","lung_NSCLC_not specified",1.19132014,1
"26",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",5.05029979,1
"27",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.45972317,1
"28",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",1.86910663,1
"29",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",0.38360938,1
"30",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.22305648,1
"31",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.55927661,1
"32",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.43299249,1
"33",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",1.06833427,1
"34",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.12825669,1
"35",687812,"NCI-H2085","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.61485627,1
"36",687815,"NCI-H2170","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",0.56135668,1
"37",687816,"NCI-H2228","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.93744146,1
"38",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.27779773,1
"39",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.23165781,1
"40",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.98520691,1
"41",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",0.87259029,1
"42",687983,"DMS-114","lung_SCLC","lung_small_cell_carcinoma",5.7188813,1
"43",687985,"DMS-273","lung_SCLC","lung_small_cell_carcinoma",-0.51711454,1
"44",687995,"NCI-H1048","lung_SCLC","lung_small_cell_carcinoma",-0.57291272,1
"45",687997,"NCI-H1092","lung_SCLC","lung_small_cell_carcinoma",4.17368642,1
"46",688001,"NCI-H1417","lung_SCLC","lung_small_cell_carcinoma",1.1826218,1
"47",688006,"NCI-H1694","lung_SCLC","lung_small_cell_carcinoma",0.41563336,1
"48",688007,"NCI-H187","lung_SCLC","lung_small_cell_carcinoma",-0.27559112,1
"49",688010,"NCI-H1963","lung_SCLC","lung_small_cell_carcinoma",1.85332013,1
"50",688011,"NCI-H2029","lung_SCLC","lung_small_cell_carcinoma",2.50606319,1
"51",688013,"NCI-H209","lung_SCLC","lung_small_cell_carcinoma",-0.02889229,1
"52",688014,"NCI-H2141","lung_SCLC","lung_small_cell_carcinoma",2.00092146,1
"53",688018,"NCI-H2227","lung_SCLC","lung_small_cell_carcinoma",4.22671025,1
"54",688021,"NCI-H345","lung_SCLC","lung_small_cell_carcinoma",5.03883657,1
"55",688023,"NCI-H446","lung_SCLC","lung_small_cell_carcinoma",3.81086264,1
