"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",11.254,1,0
"2","2313287","stomach",11.81,1,0
"3","253J","urinary_tract",12.734,0,0
"4","253JBV","urinary_tract",14.096,0,0
"5","42MGBA","central_nervous_system",7.85,1,0
"6","5637","urinary_tract",8.6557,1,0
"7","639V","urinary_tract",14.127,0,0
"8","647V","urinary_tract",13.831,0,0
"9","769P","kidney",13.109,0,0
"10","786O","kidney",13.033,0,0
"11","8305C","thyroid",14.339,0,0
"12","8505C","thyroid",13.791,0,0
"13","8MGBA","central_nervous_system",14.706,0,1
"14","A101D","skin",15.802,0,1
"15","A172","central_nervous_system",12.92,0,0
"16","A204","soft_tissue",12.03,1,0
"17","A2058","skin",18.241,0,1
"18","A253","salivary_gland",13.485,0,0
"19","A2780","ovary",11.718,1,0
"20","A375","skin",14.1875,0,0
"22","A498","kidney",16.3,0,1
"23","A549","lung",13.1773333333333,0,0
"26","A673","bone",12.552,0,0
"27","ACCMESO1","pleura",18.097,0,1
"28","ACHN","kidney",14.05,0,0
"29","AGS","stomach",14.488,0,0
"30","AN3CA","endometrium",13.965,0,0
"31","ASPC1","pancreas",14.9765,0,1
"33","AU565","breast",12.015,1,0
"34","BC3C","urinary_tract",12.353,1,0
"35","BCPAP","thyroid",14.312,0,0
"36","BECKER","central_nervous_system",14.195,0,0
"37","BEN","lung",15,0,1
"38","BFTC909","kidney",13.352,0,0
"39","BHT101","thyroid",13.349,0,0
"40","BHY","upper_aerodigestive_tract",13.278,0,0
"41","BICR16","upper_aerodigestive_tract",14.682,0,1
"42","BICR18","upper_aerodigestive_tract",12.607,0,0
"43","BICR22","upper_aerodigestive_tract",10.454,1,0
"44","BICR31","upper_aerodigestive_tract",13.743,0,0
"45","BICR56","upper_aerodigestive_tract",12.466,1,0
"46","BICR6","upper_aerodigestive_tract",13.013,0,0
"47","BT20","breast",14.867,0,1
"48","BT474","breast",15.532,0,1
"49","BT549","breast",14.117,0,0
"50","BXPC3","pancreas",11.74,1,0
"51","C2BBE1","large_intestine",12.691,0,0
"52","C32","skin",14.382,0,0
"53","CAKI1","kidney",14.735,0,1
"54","CAKI2","kidney",15.727,0,1
"55","CAL120","breast",15.113,0,1
"56","CAL12T","lung",12.972,0,0
"57","CAL148","breast",12.399,1,0
"58","CAL27","upper_aerodigestive_tract",12.089,1,0
"59","CAL29","urinary_tract",16.591,0,1
"60","CAL33","upper_aerodigestive_tract",11.218,1,0
"61","CAL51","breast",12.7005,0,0
"63","CAL54","kidney",11.552,1,0
"64","CAL62","thyroid",13.57,0,0
"65","CAL78","bone",14.778,0,1
"66","CAL851","breast",11.406,1,0
"67","CALU1","lung",13.678,0,0
"68","CALU3","lung",13.43,0,0
"69","CALU6","lung",13.588,0,0
"70","CAMA1","breast",14.135,0,0
"71","CAOV3","ovary",12.577,0,0
"72","CAPAN1","pancreas",14.515,0,0
"73","CAPAN2","pancreas",13.968,0,0
"74","CAS1","central_nervous_system",13.897,0,0
"75","CCFSTTG1","central_nervous_system",14.336,0,0
"77","CCK81","large_intestine",12.454,1,0
"78","CFPAC1","pancreas",13.821,0,0
"79","CGTHW1","thyroid",14.082,0,0
"80","CHAGOK1","lung",13.548,0,0
"81","CHP126","autonomic_ganglia",9.8779,1,0
"82","CHP212","autonomic_ganglia",11.908,1,0
"83","CJM","skin",12.566,0,0
"84","CL11","large_intestine",13.686,0,0
"85","COLO201","large_intestine",13.374,0,0
"86","COLO205","large_intestine",12.813,0,0
"87","COLO320","large_intestine",11.567,1,0
"88","COLO668","lung",13.291,0,0
"89","COLO678","large_intestine",13.846,0,0
"90","COLO680N","oesophagus",13.693,0,0
"91","COLO684","endometrium",13.464,0,0
"92","COLO792","skin",14.372,0,0
"93","COLO800","skin",14.103,0,0
"94","COLO829","skin",14.003,0,0
"95","CORL105","lung",13.758,0,0
"96","CORL279","lung",12.303,1,0
"97","CORL51","lung",12.487,1,0
"98","CORL95","lung",14.335,0,0
"99","COV362","ovary",14.267,0,0
"100","COV434","ovary",12.843,0,0
"101","COV644","ovary",15.293,0,1
"102","CW2","large_intestine",12.307,1,0
"103","D283MED","central_nervous_system",11.471,1,0
"104","DANG","pancreas",12.751,0,0
"105","DAOY","central_nervous_system",13.331,0,0
"106","DBTRG05MG","central_nervous_system",14.228,0,0
"107","DETROIT562","upper_aerodigestive_tract",12.436,1,0
"108","DKMG","central_nervous_system",14.153,0,0
"109","DLD1","large_intestine",14.077,0,0
"110","DMS114","lung",12.019,1,0
"111","DMS273","lung",14.35,0,0
"112","DMS454","lung",15.894,0,1
"113","DMS53","lung",13.511,0,0
"114","DU145","prostate",13.871,0,0
"116","DU4475","breast",11.221,1,0
"117","DV90","lung",10.965,1,0
"118","EBC1","lung",13.629,0,0
"119","ECC10","stomach",12.765,0,0
"120","ECC12","stomach",14.528,0,0
"121","ECGI10","oesophagus",13.426,0,0
"122","EFE184","endometrium",14.238,0,0
"123","EFM192A","breast",13.582,0,0
"124","EFO21","ovary",13.81,0,0
"125","EFO27","ovary",14.095,0,0
"126","EN","endometrium",14.388,0,0
"127","EPLC272H","lung",15.469,0,1
"128","ES2","ovary",14.487,0,0
"129","ESS1","endometrium",13.434,0,0
"130","FADU","upper_aerodigestive_tract",13.246,0,0
"131","FTC133","thyroid",14.876,0,1
"132","FTC238","thyroid",13.079,0,0
"133","FU97","stomach",14.205,0,0
"134","FUOV1","ovary",13.416,0,0
"135","G292CLONEA141B1","bone",13.554,0,0
"136","G361","skin",12.324,1,0
"137","G401","soft_tissue",10.708,1,0
"138","G402","soft_tissue",11.716,1,0
"139","GAMG","central_nervous_system",14.797,0,1
"140","GB1","central_nervous_system",13.762,0,0
"141","GCT","soft_tissue",13.238,0,0
"142","GI1","central_nervous_system",14.701,0,1
"143","GMS10","central_nervous_system",15.578,0,1
"144","GOS3","central_nervous_system",13.983,0,0
"145","GP2D","large_intestine",12.823,0,0
"146","GSS","stomach",12.296,1,0
"147","GSU","stomach",13.458,0,0
"148","H292","lung",13.34,0,0
"149","HARA","lung",14.043,0,0
"150","HCC1143","breast",13.621,0,0
"151","HCC1171","lung",14.615,0,1
"152","HCC1195","lung",14.684,0,1
"153","HCC1395","breast",15.47,0,1
"154","HCC1419","breast",15.731,0,1
"155","HCC1428","breast",14.881,0,1
"156","HCC1438","lung",11.939,1,0
"157","HCC15","lung",14.358,0,0
"158","HCC1500","breast",14.068,0,0
"159","HCC1588","lung",9.9375,1,0
"160","HCC1806","breast",12.346,1,0
"161","HCC1833","lung",13.52,0,0
"162","HCC1937","breast",14.799,0,1
"163","HCC1954","breast",12.447,1,0
"164","HCC202","breast",13.691,0,0
"165","HCC2108","lung",14.033,0,0
"166","HCC2279","lung",13.641,0,0
"167","HCC2935","lung",14.239,0,0
"168","HCC366","lung",12.536,1,0
"169","HCC38","breast",14.308,0,0
"170","HCC4006","lung",17.009,0,1
"171","HCC44","lung",13.056,0,0
"172","HCC56","large_intestine",14.702,0,1
"173","HCC78","lung",12.72,0,0
"174","HCC827","lung",13.008,0,0
"175","HCC95","lung",13.869,0,0
"176","HCT116","large_intestine",13.232,0,0
"177","HCT15","large_intestine",13.668,0,0
"178","HCT8","large_intestine",12.979,0,0
"179","HEC108","endometrium",14.023,0,0
"180","HEC151","endometrium",12.836,0,0
"181","HEC1A","endometrium",12.358,1,0
"182","HEC1B","endometrium",11.765,1,0
"183","HEC251","endometrium",13.839,0,0
"184","HEC265","endometrium",13.082,0,0
"185","HEC50B","endometrium",14.046,0,0
"186","HEC59","endometrium",13.218,0,0
"187","HEC6","endometrium",13.58,0,0
"188","HEP3B217","liver",14.363,0,0
"189","HEPG2","liver",13.2,0,0
"190","HEYA8","ovary",12.976,0,0
"191","HGC27","stomach",12.639,0,0
"192","HLF","liver",14.647,0,1
"193","HMC18","breast",13.781,0,0
"194","HMCB","skin",15.534,0,1
"195","HOS","bone",14.766,0,1
"196","HPAC","pancreas",13.594,0,0
"197","HPAFII","pancreas",13.837,0,0
"198","HS294T","skin",13.524,0,0
"199","HS578T","breast",14.843,0,1
"200","HS683","central_nervous_system",14.337,0,0
"201","HS688AT","skin",14.695,0,1
"202","HS729","soft_tissue",14.065,0,0
"203","HS746T","stomach",13.819,0,0
"204","HS766T","pancreas",11.691,1,0
"205","HS822T","bone",14.781,0,1
"206","HS839T","skin",14.397,0,0
"207","HS852T","skin",16.068,0,1
"208","HS888T","bone",14.102,0,0
"209","HS895T","skin",14.732,0,1
"210","HS936T","skin",14.06,0,0
"211","HS940T","skin",13.776,0,0
"212","HS944T","skin",14.301,0,0
"213","HSC2","upper_aerodigestive_tract",14.137,0,0
"214","HSC3","upper_aerodigestive_tract",12.297,1,0
"215","HSC4","upper_aerodigestive_tract",12.469,1,0
"216","HT1080","soft_tissue",13.359,0,0
"217","HT115","large_intestine",12.845,0,0
"218","HT1197","urinary_tract",13.777,0,0
"219","HT1376","urinary_tract",14.711,0,1
"220","HT144","skin",14.608,0,1
"221","HT29","large_intestine",15.418,0,1
"222","HT55","large_intestine",13.093,0,0
"223","HUCCT1","biliary_tract",12.78,0,0
"224","HUG1N","stomach",14.123,0,0
"225","HUH1","liver",14.695,0,1
"226","HUH28","biliary_tract",15.664,0,1
"227","HUH6","liver",15.277,0,1
"228","HUPT3","pancreas",13.989,0,0
"229","HUPT4","pancreas",12.376,1,0
"230","IGR1","skin",14.999,0,1
"231","IGR37","skin",14.643,0,1
"232","IGR39","skin",13.387,0,0
"233","IGROV1","ovary",13.25,0,0
"235","IM95","stomach",13.275,0,0
"236","IMR32","autonomic_ganglia",10.229,1,0
"237","IPC298","skin",12.836,0,0
"238","ISHIKAWAHERAKLIO02ER","endometrium",14.408,0,0
"239","ISTMES1","pleura",14.835,0,1
"240","J82","urinary_tract",12.829,0,0
"241","JHH1","liver",14.55,0,1
"242","JHH2","liver",15.783,0,1
"243","JHH4","liver",14.374,0,0
"244","JHH5","liver",12.894,0,0
"245","JHH6","liver",17.433,0,1
"246","JHOC5","ovary",13.814,0,0
"247","JHOM1","ovary",15,0,1
"248","JHOS2","ovary",14.749,0,1
"249","JHUEM1","endometrium",13.639,0,0
"250","JHUEM2","endometrium",10.998,1,0
"251","JHUEM3","endometrium",16.651,0,1
"252","JIMT1","breast",14.196,0,0
"253","JL1","pleura",14.784,0,1
"254","JMSU1","urinary_tract",13.831,0,0
"255","K029AX","skin",14.544,0,1
"256","KALS1","central_nervous_system",14.481,0,0
"257","KATOIII","stomach",13.88,0,0
"258","KE39","stomach",13.273,0,0
"260","KELLY","autonomic_ganglia",10.782,1,0
"261","KLE","endometrium",14.124,0,0
"262","KM12","large_intestine",13.341,0,0
"263","KMBC2","urinary_tract",15,0,1
"264","KMRC1","kidney",13.714,0,0
"265","KMRC2","kidney",13.949,0,0
"266","KMRC20","kidney",14.579,0,1
"267","KMRC3","kidney",12.396,1,0
"268","KNS42","central_nervous_system",15.052,0,1
"269","KNS60","central_nervous_system",14.646,0,1
"270","KNS62","lung",13.603,0,0
"271","KNS81","central_nervous_system",14.72,0,1
"272","KP2","pancreas",13.677,0,0
"273","KP3","pancreas",11.96,1,0
"274","KP4","pancreas",13.536,0,0
"275","KPL1","breast",14.624,0,1
"276","KPNSI9S","autonomic_ganglia",12.158,1,0
"277","KPNYN","autonomic_ganglia",12.835,0,0
"278","KU1919","urinary_tract",13.646,0,0
"279","KURAMOCHI","ovary",13.874,0,0
"280","KYM1","soft_tissue",12.419,1,0
"281","KYSE140","oesophagus",12.303,1,0
"282","KYSE150","oesophagus",13.977,0,0
"283","KYSE180","oesophagus",11.183,1,0
"284","KYSE30","oesophagus",14.284,0,0
"285","KYSE410","oesophagus",12.979,0,0
"286","KYSE450","oesophagus",14.519,0,0
"287","KYSE510","oesophagus",13.908,0,0
"288","KYSE520","oesophagus",13.307,0,0
"289","KYSE70","oesophagus",11.713,1,0
"290","L33","pancreas",12.663,0,0
"291","LC1F","lung",14.596,0,1
"292","LC1SQSF","lung",14.686,0,1
"293","LCLC103H","lung",15.625,0,1
"294","LCLC97TM1","lung",11.311,1,0
"295","LI7","liver",13.793,0,0
"296","LK2","lung",13.661,0,0
"297","LMSU","stomach",14.241,0,0
"298","LN18","central_nervous_system",14.343,0,0
"299","LN229","central_nervous_system",14.221,0,0
"300","LNCAPCLONEFGC","prostate",12.222,1,0
"301","LOUNH91","lung",13.59,0,0
"302","LOVO","large_intestine",10.885,1,0
"303","LOXIMVI","skin",12.932,0,0
"305","LS1034","large_intestine",12.761,0,0
"306","LS123","large_intestine",14.929,0,1
"307","LS180","large_intestine",11.654,1,0
"308","LS411N","large_intestine",13.881,0,0
"309","LS513","large_intestine",10.117,1,0
"310","LU65","lung",14.647,0,1
"311","LU99","lung",12.488,1,0
"312","LUDLU1","lung",12.919,0,0
"313","LXF289","lung",13.94,0,0
"314","M059K","central_nervous_system",14.656,0,1
"315","MALME3M","skin",13.675,0,0
"316","MCAS","ovary",13.607,0,0
"317","MCF7","breast",13.413,0,0
"318","MDAMB157","breast",9.0606,1,0
"319","MDAMB231","breast",14.035,0,0
"320","MDAMB361","breast",14.063,0,0
"321","MDAMB415","breast",14.739,0,1
"322","MDAMB435S","skin",13.67,0,0
"323","MDAMB453","breast",12.465,1,0
"324","MDAMB468","breast",13.307,0,0
"325","MDST8","large_intestine",14.492,0,0
"326","MELHO","skin",13.688,0,0
"327","MELJUSO","skin",13.101,0,0
"328","MESSA","soft_tissue",13.819,0,0
"329","MEWO","skin",14.17,0,0
"330","MFE296","endometrium",13.89,0,0
"331","MFE319","endometrium",14.579,0,1
"332","MG63","bone",13.48,0,0
"333","MHHES1","bone",12.03,1,0
"334","MHHNB11","autonomic_ganglia",9.7751,1,0
"335","MIAPACA2","pancreas",14.259,0,0
"336","MKN1","stomach",14.459,0,0
"337","MKN45","stomach",14.426,0,0
"338","MKN7","stomach",14.431,0,0
"339","MKN74","stomach",13.965,0,0
"341","ML1","thyroid",14.753,0,1
"342","MORCPR","lung",11.46,1,0
"343","MPP89","pleura",14.693,0,1
"344","MSTO211H","pleura",12.733,0,0
"345","NB1","autonomic_ganglia",13.093,0,0
"346","NCCSTCK140","stomach",11.519,1,0
"347","NCIH1092","lung",14.276,0,0
"348","NCIH1105","lung",12.566,0,0
"349","NCIH1155","lung",13.637,0,0
"350","NCIH1184","lung",14.26,0,0
"351","NCIH1299","lung",13.344,0,0
"353","NCIH1339","lung",14.574,0,1
"354","NCIH1341","lung",13.498,0,0
"355","NCIH1355","lung",14.357,0,0
"356","NCIH1373","lung",14.271,0,0
"357","NCIH1395","lung",12.603,0,0
"358","NCIH1435","lung",13.062,0,0
"359","NCIH1563","lung",14.962,0,1
"360","NCIH1568","lung",11.771,1,0
"361","NCIH1573","lung",13.774,0,0
"362","NCIH1581","lung",14.465,0,0
"363","NCIH1623","lung",12.6,0,0
"364","NCIH1650","lung",12.63,0,0
"365","NCIH1651","lung",13.155,0,0
"366","NCIH1666","lung",11.555,1,0
"367","NCIH1693","lung",14.326,0,0
"368","NCIH1694","lung",13.724,0,0
"369","NCIH1703","lung",13.974,0,0
"370","NCIH1734","lung",14.153,0,0
"371","NCIH1755","lung",15.91,0,1
"372","NCIH1792","lung",13.313,0,0
"373","NCIH1793","lung",12.271,1,0
"374","NCIH1838","lung",13.564,0,0
"375","NCIH1869","lung",14.022,0,0
"377","NCIH1915","lung",14.307,0,0
