"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",6.9161,1,0
"2","2313287","stomach",6.6019,1,0
"3","253J","urinary_tract",8.4346,0,0
"4","253JBV","urinary_tract",9.7056,0,0
"5","42MGBA","central_nervous_system",7.4563,0,0
"6","639V","urinary_tract",7.2754,1,0
"7","647V","urinary_tract",3.8532,1,0
"8","769P","kidney",9.1357,0,0
"9","786O","kidney",8.8088,0,0
"10","8305C","thyroid",9.3168,0,0
"11","8505C","thyroid",6.7354,1,0
"12","8MGBA","central_nervous_system",10.124,0,0
"13","A101D","skin",7.4152,0,0
"14","A172","central_nervous_system",9.5913,0,0
"15","A204","soft_tissue",5.939,1,0
"16","A2058","skin",11.834,0,0
"17","A253","salivary_gland",8.9551,0,0
"18","A2780","ovary",9.9529,0,0
"19","A375","skin",4.2078,1,0
"20","A498","kidney",14.811,0,1
"21","A549","lung",10.906,0,0
"23","A673","bone",3.4898,1,0
"24","ACCMESO1","pleura",14.29,0,1
"25","ACHN","kidney",8.603,0,0
"26","AGS","stomach",8.9698,0,0
"27","AN3CA","endometrium",13.617,0,1
"28","ASPC1","pancreas",12.3765,0,0
"30","AU565","breast",9.0744,0,0
"31","BC3C","urinary_tract",10.211,0,0
"32","BCPAP","thyroid",9.8507,0,0
"33","BECKER","central_nervous_system",12.1,0,0
"34","BEN","lung",14.998,0,1
"35","BFTC905","urinary_tract",10.922,0,0
"36","BFTC909","kidney",9.0982,0,0
"37","BHT101","thyroid",8.3653,0,0
"38","BHY","upper_aerodigestive_tract",7.5248,0,0
"39","BICR16","upper_aerodigestive_tract",13.434,0,1
"40","BICR18","upper_aerodigestive_tract",8.0526,0,0
"41","BICR22","upper_aerodigestive_tract",6.0509,1,0
"42","BICR31","upper_aerodigestive_tract",13.156,0,1
"43","BICR56","upper_aerodigestive_tract",13.223,0,1
"44","BICR6","upper_aerodigestive_tract",13.099,0,1
"45","BT20","breast",13.543,0,1
"46","BT474","breast",17.552,0,1
"47","BT549","breast",13.745,0,1
"48","BXPC3","pancreas",7.8658,0,0
"49","C2BBE1","large_intestine",12.248,0,0
"50","C32","skin",9.962,0,0
"51","CAKI1","kidney",13.971,0,1
"52","CAKI2","kidney",12.912,0,0
"53","CAL12T","lung",13.799,0,1
"54","CAL148","breast",5.1336,1,0
"55","CAL27","upper_aerodigestive_tract",6.8288,1,0
"56","CAL29","urinary_tract",7.3921,1,0
"57","CAL33","upper_aerodigestive_tract",7.1326,1,0
"58","CAL51","breast",6.99035,1,0
"60","CAL54","kidney",7.3768,1,0
"61","CAL62","thyroid",7.5249,0,0
"62","CAL78","bone",12.079,0,0
"63","CAL851","breast",7.2078,1,0
"64","CALU1","lung",12.699,0,0
"65","CALU3","lung",9.4192,0,0
"66","CAMA1","breast",12.825,0,0
"67","CAPAN1","pancreas",10.434,0,0
"68","CAPAN2","pancreas",13.994,0,1
"69","CAS1","central_nervous_system",9.9803,0,0
"70","CCFSTTG1","central_nervous_system",13.7135,0,1
"72","CCK81","large_intestine",8.7368,0,0
"73","CFPAC1","pancreas",8.9992,0,0
"74","CGTHW1","thyroid",5.4025,1,0
"75","CHAGOK1","lung",13.456,0,1
"76","CHP126","autonomic_ganglia",5.0105,1,0
"77","CHP212","autonomic_ganglia",2.9241,1,0
"78","CJM","skin",7.407,1,0
"79","CL11","large_intestine",9.9719,0,0
"80","COLO201","large_intestine",10.526,0,0
"81","COLO205","large_intestine",12.201,0,0
"82","COLO320","large_intestine",11.718,0,0
"83","COLO668","lung",4.7331,1,0
"84","COLO678","large_intestine",11.205,0,0
"85","COLO680N","oesophagus",11.105,0,0
"86","COLO684","endometrium",8.3758,0,0
"87","COLO741","skin",11.667,0,0
"88","COLO792","skin",12.305,0,0
"89","COLO800","skin",8.402,0,0
"90","COLO829","skin",9.2337,0,0
"91","CORL105","lung",9.9924,0,0
"92","CORL51","lung",9.6939,0,0
"93","CORL95","lung",6.9725,1,0
"94","COV362","ovary",12.517,0,0
"95","COV434","ovary",6.4691,1,0
"96","COV644","ovary",14.411,0,1
"97","CW2","large_intestine",10.535,0,0
"98","D283MED","central_nervous_system",2.2819,1,0
"99","DANG","pancreas",8.8908,0,0
"100","DAOY","central_nervous_system",6.2649,1,0
"101","DBTRG05MG","central_nervous_system",11.659,0,0
"102","DETROIT562","upper_aerodigestive_tract",9.2289,0,0
"103","DKMG","central_nervous_system",10.431,0,0
"104","DLD1","large_intestine",12.113,0,0
"105","DMS114","lung",8.7498,0,0
"106","DMS273","lung",7.7831,0,0
"107","DMS454","lung",7.1981,1,0
"108","DMS53","lung",5.5594,1,0
"109","DU145","prostate",9.8995,0,0
"111","DU4475","breast",4.6874,1,0
"112","DV90","lung",3.721,1,0
"113","ECC10","stomach",9.3572,0,0
"114","ECC12","stomach",5.617,1,0
"115","ECGI10","oesophagus",10.611,0,0
"116","EFM192A","breast",9.8694,0,0
"117","EFO21","ovary",10.356,0,0
"118","EFO27","ovary",14.867,0,1
"119","EN","endometrium",14.975,0,1
"120","EPLC272H","lung",11.67,0,0
"121","ES2","ovary",10.158,0,0
"122","ESS1","endometrium",5.3244,1,0
"123","FADU","upper_aerodigestive_tract",6.4131,1,0
"124","FTC133","thyroid",9.9051,0,0
"125","FTC238","thyroid",5.1482,1,0
"126","FU97","stomach",11.898,0,0
"127","FUOV1","ovary",13.692,0,1
"128","G292CLONEA141B1","bone",11.831,0,0
"129","G401","soft_tissue",6.2968,1,0
"130","G402","soft_tissue",5.9317,1,0
"131","GB1","central_nervous_system",8.8626,0,0
"132","GCT","soft_tissue",7.3635,1,0
"133","GI1","central_nervous_system",9.4954,0,0
"134","GMS10","central_nervous_system",11.912,0,0
"135","GOS3","central_nervous_system",9.4641,0,0
"136","GP2D","large_intestine",12.722,0,0
"137","GSS","stomach",4.0817,1,0
"138","GSU","stomach",13.439,0,1
"139","H292","lung",7.3482,1,0
"140","HARA","lung",10.927,0,0
