"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"1",683667,"PFSK-1","nervous_system","medulloblastoma",-0.3997113,1
"2",684052,"A673","soft_tissue","rhabdomyosarcoma",-3.70724402,1
"3",684055,"ES3","bone","ewings_sarcoma",-2.99645017,1
"4",684057,"ES5","bone","ewings_sarcoma",-2.41002246,1
"5",684059,"ES7","bone","ewings_sarcoma",-4.27523311,1
"6",684062,"EW-11","bone","ewings_sarcoma",-1.43773603,1
"7",684072,"SK-ES-1","bone","ewings_sarcoma",-5.78700895,1
"8",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.16085614,1
"9",687448,"COLO-829","skin","melanoma",3.19719894,1
"10",687452,"5637","urogenital_system","Bladder",-1.2320148,1
"11",687455,"RT4","urogenital_system","Bladder",1.86036582,1
"12",687457,"SW780","urogenital_system","Bladder",2.90442625,1
"13",687459,"TCCSUP","urogenital_system","Bladder",0.10590606,1
"14",687505,"C-33-A","urogenital_system","cervix",-5.11480393,1
"15",687506,"C-4-I","urogenital_system","cervix",-3.08553989,1
"16",687514,"ME-180","urogenital_system","cervix",-2.99811337,1
"17",687561,"42-MG-BA","nervous_system","glioma",-2.50641036,1
"18",687562,"8-MG-BA","nervous_system","glioma",-5.07292562,1
"19",687563,"A172","nervous_system","glioma",-3.71100081,1
"20",687568,"GB-1","nervous_system","glioma",-5.33361779,1
"21",687586,"T98G","nervous_system","glioma",-1.19162823,1
"22",687588,"U-118-MG","nervous_system","glioma",-0.32640972,1
"23",687590,"U-87-MG","nervous_system","glioma",-1.28270789,1
"24",687592,"YKG-1","nervous_system","glioma",-5.27065558,1
"25",687596,"ChaGo-K-1","lung_NSCLC","lung_NSCLC_not specified",-1.2584041,1
"26",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",2.08639508,1
"27",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.75973405,1
"28",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",-3.92972642,1
"29",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-0.03895023,1
"30",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.97095109,1
"31",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.41237731,1
"32",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.65649493,1
"33",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",-2.6396512,1
"34",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.44855548,1
"35",687812,"NCI-H2085","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.01346317,1
"36",687815,"NCI-H2170","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-4.86871017,1
"37",687816,"NCI-H2228","lung_NSCLC","lung_NSCLC_adenocarcinoma",-6.33276638,0
"38",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",-5.01756414,1
"39",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.772355,1
"40",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.80395737,1
"41",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",-4.07730785,1
"42",687983,"DMS-114","lung_SCLC","lung_small_cell_carcinoma",2.51396766,1
"43",687985,"DMS-273","lung_SCLC","lung_small_cell_carcinoma",-4.10996822,1
"44",687995,"NCI-H1048","lung_SCLC","lung_small_cell_carcinoma",-4.04790233,1
"45",687997,"NCI-H1092","lung_SCLC","lung_small_cell_carcinoma",0.81814946,1
"46",688001,"NCI-H1417","lung_SCLC","lung_small_cell_carcinoma",-0.90844222,1
"47",688006,"NCI-H1694","lung_SCLC","lung_small_cell_carcinoma",-2.498809,1
"48",688007,"NCI-H187","lung_SCLC","lung_small_cell_carcinoma",1.10622092,1
"49",688010,"NCI-H1963","lung_SCLC","lung_small_cell_carcinoma",-0.21315106,1
"50",688011,"NCI-H2029","lung_SCLC","lung_small_cell_carcinoma",0.78031875,1
"51",688013,"NCI-H209","lung_SCLC","lung_small_cell_carcinoma",-3.04174111,1
"52",688014,"NCI-H2141","lung_SCLC","lung_small_cell_carcinoma",-1.18033572,1
"53",688018,"NCI-H2227","lung_SCLC","lung_small_cell_carcinoma",2.14935187,1
"54",688021,"NCI-H345","lung_SCLC","lung_small_cell_carcinoma",3.13699722,1
"55",688023,"NCI-H446","lung_SCLC","lung_small_cell_carcinoma",0.6560729,1
