"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",6.9909,0,0
"2","2313287","stomach",10.093,0,0
"3","253J","urinary_tract",7.0167,0,0
"4","253JBV","urinary_tract",6.4609,0,0
"5","5637","urinary_tract",6.9067,0,0
"6","639V","urinary_tract",5.769,1,0
"7","647V","urinary_tract",2.6834,1,0
"8","769P","kidney",6.723,0,0
"9","786O","kidney",7.1142,0,0
"10","8305C","thyroid",10.894,0,0
"11","8505C","thyroid",6.3043,0,0
"12","A101D","skin",4.785,1,0
"13","A172","central_nervous_system",4.1756,1,0
"14","A204","soft_tissue",5.1883,1,0
"15","A2058","skin",4.154,1,0
"16","A253","salivary_gland",14.347,0,1
"17","A2780","ovary",6.6783,0,0
"18","A375","skin",14.631,0,1
"19","A498","kidney",8.3677,0,0
"20","A549","lung",9.03155,0,0
"22","A673","bone",3.8532,1,0
"23","ACCMESO1","pleura",14.212,0,1
"24","AGS","stomach",12.973,0,1
"25","AM38","central_nervous_system",3.8557,1,0
"26","ASPC1","pancreas",9.787,0,0
"28","BC3C","urinary_tract",10.575,0,0
"29","BCPAP","thyroid",12.743,0,1
"30","BECKER","central_nervous_system",11.87,0,0
"31","BEN","lung",14.44,0,1
"32","BFTC905","urinary_tract",5.4998,1,0
"33","BFTC909","kidney",6.9028,0,0
"34","BHT101","thyroid",10.375,0,0
"35","BHY","upper_aerodigestive_tract",10.936,0,0
"36","BICR16","upper_aerodigestive_tract",10.461,0,0
"37","BICR18","upper_aerodigestive_tract",9.3061,0,0
"38","BICR22","upper_aerodigestive_tract",8.6381,0,0
"39","BICR31","upper_aerodigestive_tract",14.763,0,1
"40","BICR56","upper_aerodigestive_tract",14.418,0,1
"41","BICR6","upper_aerodigestive_tract",7.9184,0,0
"42","BT20","breast",5.7909,1,0
"43","BT474","breast",12.47,0,0
"44","BT549","breast",9.9726,0,0
"45","BXPC3","pancreas",7.6505,0,0
"46","C2BBE1","large_intestine",7.4144,0,0
"47","C32","skin",8.8645,0,0
"48","CAKI1","kidney",13.871,0,1
"49","CAKI2","kidney",13.99,0,1
"50","CAL120","breast",7.4783,0,0
"51","CAL12T","lung",5.2107,1,0
"52","CAL148","breast",14.128,0,1
"53","CAL29","urinary_tract",7.4301,0,0
"54","CAL33","upper_aerodigestive_tract",4.5366,1,0
"55","CAL51","breast",8.0973,0,0
"57","CAL54","kidney",6.6756,0,0
"58","CAL62","thyroid",7.0406,0,0
"59","CAL78","bone",15.002,0,1
"60","CAL851","breast",6.1338,1,0
"61","CALU1","lung",11.023,0,0
"62","CALU3","lung",10.499,0,0
"63","CALU6","lung",4.7859,1,0
"64","CAMA1","breast",11.328,0,0
"65","CAOV3","ovary",9.5434,0,0
"66","CAPAN1","pancreas",9.7229,0,0
"67","CAPAN2","pancreas",11.124,0,0
"68","CAS1","central_nervous_system",10.846,0,0
