"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"1",683667,"PFSK-1","nervous_system","medulloblastoma",-1.30059452,1
"2",684057,"ES5","bone","ewings_sarcoma",-1.4614708,1
"3",684059,"ES7","bone","ewings_sarcoma",-1.8775494,1
"4",684062,"EW-11","bone","ewings_sarcoma",-0.91298094,1
"5",684072,"SK-ES-1","bone","ewings_sarcoma",-4.32257958,0
"6",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.848672,1
"7",687452,"5637","urogenital_system","Bladder",-1.63878302,1
"8",687455,"RT4","urogenital_system","Bladder",-1.16844661,1
"9",687457,"SW780","urogenital_system","Bladder",-2.33514264,1
"10",687505,"C-33-A","urogenital_system","cervix",0.16596692,1
"11",687506,"C-4-I","urogenital_system","cervix",1.26434134,1
"12",687514,"ME-180","urogenital_system","cervix",-0.25087161,1
"13",687561,"42-MG-BA","nervous_system","glioma",-0.68319683,1
"14",687562,"8-MG-BA","nervous_system","glioma",0.4965157,1
"15",687568,"GB-1","nervous_system","glioma",1.30090839,1
"16",687586,"T98G","nervous_system","glioma",0.61829773,1
"17",687588,"U-118-MG","nervous_system","glioma",0.58144621,1
"18",687590,"U-87-MG","nervous_system","glioma",1.39099457,1
"19",687592,"YKG-1","nervous_system","glioma",0.93227664,1
"20",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",0.33342179,1
"21",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.0471205,1
"22",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",-2.5042448,0
"23",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-1.2757781,1
"24",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.49541259,1
"25",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.7589091,1
"26",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.6258997,1
"27",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",0.65613639,1
"28",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.12875153,1
"29",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.33043165,1
"30",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.17849697,1
"31",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.31295317,1
"32",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",1.27112405,1
"33",687983,"DMS-114","lung_SCLC","lung_small_cell_carcinoma",0.93205134,1
"34",687985,"DMS-273","lung_SCLC","lung_small_cell_carcinoma",0.10194062,1
"35",687995,"NCI-H1048","lung_SCLC","lung_small_cell_carcinoma",-1.23875973,1
"36",687997,"NCI-H1092","lung_SCLC","lung_small_cell_carcinoma",0.89734425,1
"37",688001,"NCI-H1417","lung_SCLC","lung_small_cell_carcinoma",-2.17604234,1
"38",688006,"NCI-H1694","lung_SCLC","lung_small_cell_carcinoma",1.06105122,1
"39",688007,"NCI-H187","lung_SCLC","lung_small_cell_carcinoma",-2.15921628,1
"40",688010,"NCI-H1963","lung_SCLC","lung_small_cell_carcinoma",-2.12278746,1
"41",688011,"NCI-H2029","lung_SCLC","lung_small_cell_carcinoma",0.91714032,1
"42",688013,"NCI-H209","lung_SCLC","lung_small_cell_carcinoma",-2.5589543,0
"43",688014,"NCI-H2141","lung_SCLC","lung_small_cell_carcinoma",0.03876361,1
"44",688018,"NCI-H2227","lung_SCLC","lung_small_cell_carcinoma",-1.70361211,1
"45",688021,"NCI-H345","lung_SCLC","lung_small_cell_carcinoma",1.35894152,1
"46",688023,"NCI-H446","lung_SCLC","lung_small_cell_carcinoma",-1.67456854,1
"47",688025,"NCI-H526","lung_SCLC","lung_small_cell_carcinoma",-3.9711912,0
"48",688026,"NCI-H64","lung_SCLC","lung_small_cell_carcinoma",-1.13813756,1
"49",688027,"NCI-H69","lung_SCLC","lung_small_cell_carcinoma",-1.4253467,1
"50",688031,"NCI-H82","lung_SCLC","lung_small_cell_carcinoma",-3.64634391,0
"51",688058,"NCI-H2052","lung","mesothelioma",0.04790828,1
"52",688086,"SK-N-DZ","neuroblastoma","neuroblastoma",-1.03031026,1
"53",688087,"SK-N-FI","neuroblastoma","neuroblastoma",0.73966744,1
"54",688121,"VA-ES-BJ","soft_tissue","soft_tissue_other",0.42756475,1
"55",713869,"VMRC-LCD","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.31072726,1
"56",713878,"LU-139","lung_SCLC","lung_small_cell_carcinoma",-1.39456422,1
"57",713880,"SBC-5","lung_SCLC","lung_small_cell_carcinoma",-2.6085615,0
"58",713885,"SBC-1","lung_SCLC","lung_small_cell_carcinoma",-1.27469026,1
"59",713899,"LU-135","lung_SCLC","lung_small_cell_carcinoma",-4.58701432,0
"60",717431,"SK-N-SH","neuroblastoma","neuroblastoma",0.8456757,1
"61",722046,"NCI-H2122","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.11446653,1
"62",722058,"NCI-H1734","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.24597503,1
"63",722066,"NCI-H650","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.98767397,1
"64",724828,"SK-N-AS","neuroblastoma","neuroblastoma",0.40189442,1
"65",724834,"NCI-H2087","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.97610481,1
"66",724838,"UM-UC-3","urogenital_system","Bladder",0.67527913,1
"67",724839,"SW756","urogenital_system","cervix",1.50830122,1
"68",724855,"NCI-H727","lung_NSCLC","lung_NSCLC_carcinoid",0.28864389,1
"69",724859,"Calu-6","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.91086239,1
"70",724863,"LU-65","lung_NSCLC","lung_NSCLC_large cell",1.7154544,1
"71",724868,"NCI-H1792","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.34467949,1
"72",724870,"MIA-PaCa-2","pancreas","pancreas",0.08132266,1
"73",724872,"SHP-77","lung_SCLC","lung_small_cell_carcinoma",-0.7096318,1
"74",724873,"NCI-H2009","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.05692233,1
