"","Cell.line.name","Tissue","area_under_curve","most_sensitive","least_sensitive"
"1","5637","urinary_tract",9.6066,1,0
"2","2313287","stomach",8.2554,1,0
"3","22RV1","prostate",9.2566,1,0
"4","253J","urinary_tract",8.9988,1,0
"5","253JBV","urinary_tract",9.6771,1,0
"6","42MGBA","central_nervous_system",11.175,0,0
"7","639V","urinary_tract",9.5104,1,0
"8","647V","urinary_tract",8.5388,1,0
"9","769P","kidney",11.102,0,0
"10","786O","kidney",11.953,0,0
"11","8305C","thyroid",9.7783,1,0
"12","8505C","thyroid",11.175,0,0
"13","8MGBA","central_nervous_system",11.347,0,0
"14","A101D","skin",12.371,0,0
"15","A172","central_nervous_system",11.661,0,0
"16","A204","soft_tissue",8.5597,1,0
"17","A2058","skin",12.398,0,0
"18","A253","salivary_gland",10.083,1,0
"19","A2780","ovary",9.8729,1,0
"20","A375","skin",9.8892,1,0
"21","A375","skin",15.246,0,1
"22","A498","kidney",11.526,0,0
"23","A549","lung",11.19,0,0
"24","A549","lung",12.613,0,1
"25","A549","lung",14.489,0,1
"26","A673","bone",5.8766,1,0
"27","ACCMESO1","pleura",13.511,0,1
"28","ACHN","kidney",11.438,0,0
"29","AGS","stomach",10.529,1,0
"30","AM38","central_nervous_system",11.424,0,0
"31","AN3CA","endometrium",12.155,0,0
"32","ASPC1","pancreas",12.829,0,1
"33","ASPC1","pancreas",12.38,0,0
"34","AU565","breast",14.362,0,1
"35","BC3C","urinary_tract",11.265,0,0
"36","BCPAP","thyroid",11.954,0,0
"37","BECKER","central_nervous_system",12.177,0,0
"38","BEN","lung",13.128,0,1
"39","BFTC905","urinary_tract",11.678,0,0
"40","BFTC909","kidney",9.7947,1,0
"41","BHT101","thyroid",10.482,1,0
"42","BHY","upper_aerodigestive_tract",9.2272,1,0
"43","BICR16","upper_aerodigestive_tract",12.763,0,1
"44","BICR18","upper_aerodigestive_tract",11.508,0,0
"45","BICR22","upper_aerodigestive_tract",7.811,1,0
"46","BICR31","upper_aerodigestive_tract",13.134,0,1
"47","BICR56","upper_aerodigestive_tract",13.629,0,1
"48","BICR6","upper_aerodigestive_tract",12.571,0,1
"49","BT20","breast",12.065,0,0
"50","BT474","breast",12.998,0,1
"51","BT549","breast",13.325,0,1
"52","BXPC3","pancreas",10.506,1,0
"53","C2BBE1","large_intestine",12.97,0,1
"54","C32","skin",8.6457,1,0
"55","CAKI1","kidney",13.101,0,1
"56","CAKI2","kidney",11.633,0,0
"57","CAL12T","lung",13.053,0,1
"58","CAL148","breast",5.9616,1,0
"59","CAL27","upper_aerodigestive_tract",10.414,1,0
"60","CAL29","urinary_tract",10.031,1,0
"61","CAL33","upper_aerodigestive_tract",10.997,0,0
"62","CAL51","breast",8.514,1,0
"63","CAL51","breast",8.0794,1,0
"64","CAL54","kidney",10.835,0,0
"65","CAL62","thyroid",10.325,1,0
"66","CAL78","bone",13.634,0,1
"67","CAL851","breast",10.583,1,0
"68","CALU1","lung",13.415,0,1
"69","CALU3","lung",10.324,1,0
"70","CALU6","lung",14.785,0,1
"71","CAMA1","breast",12.071,0,0
"72","CAOV3","ovary",10.815,0,0
"73","CAPAN1","pancreas",10.915,0,0
"74","CAPAN2","pancreas",13.431,0,1
"75","CAS1","central_nervous_system",11.694,0,0
"76","CCFSTTG1","central_nervous_system",11.683,0,0
"77","CCFSTTG1","central_nervous_system",11.259,0,0
"78","CCK81","large_intestine",9.3186,1,0
"79","CFPAC1","pancreas",10.542,1,0
"80","CGTHW1","thyroid",9.0054,1,0
"81","CHAGOK1","lung",12.118,0,0
"82","CHP126","autonomic_ganglia",6.4137,1,0
"83","CHP212","autonomic_ganglia",4.729,1,0
"84","CJM","skin",11.093,0,0
"85","CL11","large_intestine",10.876,0,0
"86","COLO201","large_intestine",12.586,0,1
"87","COLO205","large_intestine",11.566,0,0
"88","COLO320","large_intestine",14.933,0,1
"89","COLO668","lung",5.7133,1,0
"90","COLO678","large_intestine",11.529,0,0
"91","COLO680N","oesophagus",11.612,0,0
"92","COLO684","endometrium",9.4729,1,0
"93","COLO792","skin",10.524,1,0
"94","COLO800","skin",9.5291,1,0
"95","COLO829","skin",10.826,0,0
"96","CORL105","lung",12.514,0,1
"97","CORL279","lung",5.6908,1,0
"98","CORL51","lung",11.428,0,0
"99","CORL88","lung",7.9569,1,0
"100","CORL95","lung",7.7719,1,0
"101","COV362","ovary",11.658,0,0
"102","COV434","ovary",9.1988,1,0
"103","COV644","ovary",11.89,0,0
"104","CW2","large_intestine",10.511,1,0
"105","D283MED","central_nervous_system",4.7028,1,0
"106","DANG","pancreas",11.698,0,0
"107","DAOY","central_nervous_system",10.651,0,0
"108","DBTRG05MG","central_nervous_system",13.832,0,1
"109","DETROIT562","upper_aerodigestive_tract",10.339,1,0
"110","DKMG","central_nervous_system",12.938,0,1
"111","DLD1","large_intestine",12.25,0,0
"112","DMS114","lung",11.158,0,0
"113","DMS273","lung",8.7845,1,0
"114","DMS454","lung",10.252,1,0
"115","DMS53","lung",7.5835,1,0
"116","DMS79","lung",8.194,1,0
"117","DU145","prostate",10.699,0,0
"118","DU145","prostate",10.689,0,0
"119","DU4475","breast",5.2697,1,0
"120","DV90","lung",4.6566,1,0
"121","EBC1","lung",12.058,0,0
"122","ECC10","stomach",11.731,0,0
"123","ECC12","stomach",8.5814,1,0
"124","ECGI10","oesophagus",13.039,0,1
"125","EFE184","endometrium",15,0,1
"126","EFM192A","breast",10.698,0,0
"127","EFO21","ovary",12.733,0,1
"128","EFO27","ovary",12.974,0,1
"129","EN","endometrium",14.359,0,1
"130","ES2","ovary",11.442,0,0
"131","ESS1","endometrium",9.6198,1,0
"132","FADU","upper_aerodigestive_tract",8.9471,1,0
"133","FTC133","thyroid",9.9914,1,0
"134","FTC238","thyroid",10.841,0,0
"135","FU97","stomach",10.97,0,0
"136","FUOV1","ovary",13.608,0,1
"137","G292CLONEA141B1","bone",13.388,0,1
"138","G361","skin",13.95,0,1
"139","G401","soft_tissue",7.1402,1,0
"140","G402","soft_tissue",7.703,1,0
"141","GAMG","central_nervous_system",15.038,0,1
"142","GB1","central_nervous_system",11.444,0,0
"143","GCT","soft_tissue",12.099,0,0
"144","GI1","central_nervous_system",10.911,0,0
"145","GMS10","central_nervous_system",13.635,0,1
"146","GOS3","central_nervous_system",10.563,1,0
"147","GP2D","large_intestine",10.895,0,0
"148","GSS","stomach",6.6751,1,0
"149","H292","lung",10.62,1,0
"150","HARA","lung",10.979,0,0
"151","HCC1143","breast",15.472,0,1
"152","HCC1171","lung",14.501,0,1
"153","HCC1195","lung",13.103,0,1
"154","HCC1395","breast",10.862,0,0
