"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"1",683667,"PFSK-1","nervous_system","medulloblastoma",1.56660998,1
"2",684052,"A673","soft_tissue","rhabdomyosarcoma",-0.26299198,1
"3",684055,"ES3","bone","ewings_sarcoma",-3.491516,0
"4",684057,"ES5","bone","ewings_sarcoma",0.30313011,1
"5",684059,"ES7","bone","ewings_sarcoma",-3.87096668,0
"6",684062,"EW-11","bone","ewings_sarcoma",-0.79275344,1
"7",684072,"SK-ES-1","bone","ewings_sarcoma",-3.31924904,0
"8",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.78605712,1
"9",687448,"COLO-829","skin","melanoma",0.63516561,1
"10",687452,"5637","urogenital_system","Bladder",-2.81787949,1
"11",687455,"RT4","urogenital_system","Bladder",0.4033456,1
"12",687457,"SW780","urogenital_system","Bladder",2.00968206,1
"13",687459,"TCCSUP","urogenital_system","Bladder",-0.72467878,1
"14",687505,"C-33-A","urogenital_system","cervix",-0.70762868,1
"15",687506,"C-4-I","urogenital_system","cervix",-1.78680547,1
"16",687514,"ME-180","urogenital_system","cervix",-2.75580258,1
"17",687561,"42-MG-BA","nervous_system","glioma",0.98607327,1
"18",687562,"8-MG-BA","nervous_system","glioma",-2.1103345,1
"19",687563,"A172","nervous_system","glioma",-0.70999056,1
"20",687568,"GB-1","nervous_system","glioma",-0.53351125,1
"21",687586,"T98G","nervous_system","glioma",-0.66480199,1
"22",687588,"U-118-MG","nervous_system","glioma",0.97480224,1
"23",687590,"U-87-MG","nervous_system","glioma",0.29031986,1
"24",687592,"YKG-1","nervous_system","glioma",-0.50515461,1
"25",687596,"ChaGo-K-1","lung_NSCLC","lung_NSCLC_not specified",0.36538252,1
"26",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",0.68822939,1
"27",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.29109523,1
"28",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",-1.37102857,1
"29",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-0.72431143,1
"30",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",0.07409419,1
"31",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.90127603,1
"32",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.08704323,1
"33",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",-1.40988937,1
"34",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.7869728,1
"35",687812,"NCI-H2085","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.26927783,1
"36",687815,"NCI-H2170","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-4.06018657,0
"37",687816,"NCI-H2228","lung_NSCLC","lung_NSCLC_adenocarcinoma",-4.21726187,0
"38",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.93709056,1
"39",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.1336982,1
"40",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.99889699,1
"41",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",-0.63165001,1
"42",687983,"DMS-114","lung_SCLC","lung_small_cell_carcinoma",0.51020947,1
"43",687985,"DMS-273","lung_SCLC","lung_small_cell_carcinoma",-1.89092856,1
"44",687995,"NCI-H1048","lung_SCLC","lung_small_cell_carcinoma",-1.89716347,1
"45",687997,"NCI-H1092","lung_SCLC","lung_small_cell_carcinoma",0.80707484,1
"46",688001,"NCI-H1417","lung_SCLC","lung_small_cell_carcinoma",-1.29158604,1
"47",688006,"NCI-H1694","lung_SCLC","lung_small_cell_carcinoma",-0.8266886,1
"48",688007,"NCI-H187","lung_SCLC","lung_small_cell_carcinoma",-0.05330934,1
"49",688010,"NCI-H1963","lung_SCLC","lung_small_cell_carcinoma",-0.04936995,1
"50",688011,"NCI-H2029","lung_SCLC","lung_small_cell_carcinoma",2.00282672,1
"51",688013,"NCI-H209","lung_SCLC","lung_small_cell_carcinoma",-3.68962925,0
"52",688014,"NCI-H2141","lung_SCLC","lung_small_cell_carcinoma",-0.06817862,1
"53",688018,"NCI-H2227","lung_SCLC","lung_small_cell_carcinoma",2.06172326,1
"54",688021,"NCI-H345","lung_SCLC","lung_small_cell_carcinoma",1.71715088,1
