"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",14.573,0,0
"2","2313287","stomach",14.849,0,0
"3","253J","urinary_tract",13.048,1,0
"4","253JBV","urinary_tract",14.227,0,0
"5","42MGBA","central_nervous_system",14.841,0,0
"6","5637","urinary_tract",15.769,0,1
"7","639V","urinary_tract",14.769,0,0
"8","647V","urinary_tract",14.975,0,1
"9","769P","kidney",14.61,0,0
"10","786O","kidney",14.949,0,0
"11","8305C","thyroid",14.623,0,0
"12","8505C","thyroid",14.23,0,0
"13","8MGBA","central_nervous_system",14.991,0,1
"14","A101D","skin",15,0,1
"15","A172","central_nervous_system",12.133,1,0
"16","A204","soft_tissue",12.106,1,0
"17","A2058","skin",17.236,0,1
"18","A253","salivary_gland",13.533,1,0
"19","A375","skin",14.332,0,0
"21","A549","lung",14.178,0,0
"24","A673","bone",12.661,1,0
"25","ACCMESO1","pleura",14.879,0,0
"26","ACHN","kidney",14.693,0,0
"27","AGS","stomach",14.732,0,0
"28","AM38","central_nervous_system",14.326,0,0
"29","AN3CA","endometrium",13.703,0,0
"30","ASPC1","pancreas",14.5605,0,0
"32","AU565","breast",14.454,0,0
"33","BC3C","urinary_tract",13.881,0,0
"34","BCPAP","thyroid",14.539,0,0
"35","BECKER","central_nervous_system",14.784,0,0
"36","BEN","lung",15,0,1
"37","BFTC909","kidney",14.636,0,0
"38","BHT101","thyroid",16.409,0,1
"39","BHY","upper_aerodigestive_tract",14.533,0,0
"40","BICR16","upper_aerodigestive_tract",14.415,0,0
"41","BICR18","upper_aerodigestive_tract",13.75,0,0
"42","BICR22","upper_aerodigestive_tract",14.569,0,0
"43","BICR31","upper_aerodigestive_tract",14.195,0,0
"44","BICR56","upper_aerodigestive_tract",15.829,0,1
"45","BICR6","upper_aerodigestive_tract",15.629,0,1
"46","BT20","breast",14.974,0,1
"47","BT474","breast",14.364,0,0
"48","BT549","breast",14.409,0,0
"49","BXPC3","pancreas",13.953,0,0
"50","C2BBE1","large_intestine",12.347,1,0
"51","C32","skin",14.591,0,0
"52","CAKI1","kidney",14.507,0,0
"53","CAKI2","kidney",14.462,0,0
"54","CAL120","breast",15.316,0,1
"55","CAL12T","lung",15.846,0,1
"56","CAL148","breast",12.826,1,0
"57","CAL27","upper_aerodigestive_tract",15.382,0,1
"58","CAL29","urinary_tract",14.602,0,0
"59","CAL33","upper_aerodigestive_tract",14.514,0,0
"60","CAL51","breast",14.535,0,0
"62","CAL54","kidney",12.535,1,0
"63","CAL62","thyroid",14.472,0,0
"64","CAL78","bone",15.664,0,1
"65","CAL851","breast",13.512,1,0
"66","CALU1","lung",13.894,0,0
"67","CALU3","lung",13.141,1,0
"68","CALU6","lung",13.881,0,0
"69","CAMA1","breast",14.809,0,0
"70","CAOV3","ovary",15.203,0,1
