"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",7.66,0,0
"2","2313287","stomach",3.4545,1,0
"3","253J","urinary_tract",6.2694,0,0
"4","253JBV","urinary_tract",8.6047,0,0
"5","42MGBA","central_nervous_system",8.4573,0,0
"6","5637","urinary_tract",1.588,1,0
"7","639V","urinary_tract",8.0854,0,0
"8","647V","urinary_tract",4.1232,1,0
"9","769P","kidney",11.969,0,1
"10","786O","kidney",10.071,0,0
"11","8305C","thyroid",6.1396,0,0
"12","8505C","thyroid",6.8652,0,0
"13","8MGBA","central_nervous_system",8.901,0,0
"14","A101D","skin",14.324,0,1
"15","A172","central_nervous_system",6.6445,0,0
"16","A204","soft_tissue",5.9491,0,0
"17","A2058","skin",4.033,1,0
"18","A253","salivary_gland",9.7021,0,0
"19","A2780","ovary",3.4824,1,0
"20","A375","skin",9.60465,0,0
"22","A498","kidney",14.673,0,1
"23","A549","lung",9.00313333333333,0,0
"26","A673","bone",0.8224,1,0
"27","ACCMESO1","pleura",13.754,0,1
"28","ACHN","kidney",12.904,0,1
"29","AGS","stomach",9.0658,0,0
"30","AM38","central_nervous_system",8.1352,0,0
"31","AN3CA","endometrium",6.6043,0,0
"32","ASPC1","pancreas",9.5202,0,0
"34","AU565","breast",5.9769,0,0
"35","BC3C","urinary_tract",5.5856,0,0
"36","BCPAP","thyroid",3.4579,1,0
"37","BECKER","central_nervous_system",2.6509,1,0
"38","BEN","lung",17.709,0,1
"39","BFTC905","urinary_tract",7.9894,0,0
"40","BFTC909","kidney",8.6528,0,0
"41","BHT101","thyroid",12.054,0,1
"42","BHY","upper_aerodigestive_tract",7.1537,0,0
"43","BICR16","upper_aerodigestive_tract",7.9685,0,0
"44","BICR18","upper_aerodigestive_tract",7.8336,0,0
"45","BICR22","upper_aerodigestive_tract",3.0343,1,0
"46","BICR31","upper_aerodigestive_tract",8.0144,0,0
"47","BICR56","upper_aerodigestive_tract",5.5914,0,0
"48","BICR6","upper_aerodigestive_tract",3.5698,1,0
"49","BT20","breast",6.0207,0,0
"50","BT474","breast",7.9037,0,0
"51","BT549","breast",5.3596,0,0
"52","BXPC3","pancreas",4.4415,1,0
"53","C2BBE1","large_intestine",10.101,0,0
"54","C32","skin",9.1511,0,0
"55","CAKI1","kidney",13.514,0,1
"56","CAKI2","kidney",9.3201,0,0
"57","CAL120","breast",10.209,0,0
"58","CAL12T","lung",6.7265,0,0
"59","CAL148","breast",4.9649,0,0
"60","CAL27","upper_aerodigestive_tract",1.7685,1,0
"61","CAL29","urinary_tract",7.0937,0,0
"62","CAL33","upper_aerodigestive_tract",3.4528,1,0
"63","CAL51","breast",7.3603,0,0
"65","CAL54","kidney",8.578,0,0
"66","CAL62","thyroid",5.0481,0,0
"67","CAL78","bone",10.012,0,0
"68","CAL851","breast",5.3352,0,0
"69","CALU1","lung",11.614,0,1
"70","CALU3","lung",9.3723,0,0
"71","CALU6","lung",7.705,0,0
"72","CAMA1","breast",10.746,0,0
"73","CAOV3","ovary",6.557,0,0
"74","CAPAN1","pancreas",8.8429,0,0
"75","CAPAN2","pancreas",11.198,0,1
"76","CAS1","central_nervous_system",10.56,0,0
"77","CCFSTTG1","central_nervous_system",7.22295,0,0
"79","CFPAC1","pancreas",10.156,0,0
"80","CGTHW1","thyroid",7.4535,0,0
"81","CHAGOK1","lung",6.8209,0,0
"82","CHP126","autonomic_ganglia",4.1741,1,0
"83","CHP212","autonomic_ganglia",2.451,1,0
"84","CJM","skin",2.4275,1,0
"85","CL11","large_intestine",7.2617,0,0
"86","COLO201","large_intestine",10.067,0,0
"87","COLO205","large_intestine",6.2616,0,0
"88","COLO320","large_intestine",10.756,0,0
"89","COLO668","lung",4.4144,1,0
"90","COLO678","large_intestine",8.5303,0,0
"91","COLO680N","oesophagus",9.7942,0,0
"92","COLO684","endometrium",6.6223,0,0
"93","COLO741","skin",10.657,0,0
"94","COLO792","skin",10.244,0,0
"95","COLO800","skin",8.7365,0,0
"96","COLO829","skin",9.7935,0,0
"97","CORL105","lung",10.774,0,0
"98","CORL279","lung",3.7869,1,0
"99","CORL47","lung",9.02,0,0
"100","CORL51","lung",1.6448,1,0
"101","CORL88","lung",7.2672,0,0
"102","CORL95","lung",7.197,0,0
"103","COV362","ovary",7.3347,0,0
"104","COV434","ovary",7.8044,0,0
"105","COV644","ovary",6.3662,0,0
"106","CW2","large_intestine",10.162,0,0
"107","D283MED","central_nervous_system",4.5664,1,0
"108","DANG","pancreas",6.3925,0,0
"109","DAOY","central_nervous_system",4.7751,1,0
"110","DBTRG05MG","central_nervous_system",8.9355,0,0
"111","DETROIT562","upper_aerodigestive_tract",6.6743,0,0
"112","DKMG","central_nervous_system",4.262,1,0
"113","DLD1","large_intestine",8.5683,0,0
"114","DMS114","lung",4.3009,1,0
"115","DMS273","lung",4.3314,1,0
"116","DMS454","lung",9.9284,0,0
"117","DMS53","lung",9.1762,0,0
