"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",14.662,0,0
"2","2313287","stomach",14.383,1,0
"3","253J","urinary_tract",15,0,0
"4","253JBV","urinary_tract",16.859,0,1
"5","42MGBA","central_nervous_system",15,0,0
"6","5637","urinary_tract",14.387,1,0
"7","639V","urinary_tract",15,0,0
"8","647V","urinary_tract",14.699,0,0
"9","769P","kidney",14.782,0,0
"10","786O","kidney",15.113,0,0
"11","8305C","thyroid",15.185,0,0
"12","8505C","thyroid",14.587,0,0
"13","8MGBA","central_nervous_system",15.131,0,0
"14","A101D","skin",14.615,0,0
"15","A172","central_nervous_system",15.739,0,0
"16","A204","soft_tissue",14.611,0,0
"17","A2058","skin",14.781,0,0
"18","A253","salivary_gland",15.844,0,0
"19","A2780","ovary",14.456,1,0
"20","A375","skin",15.579,0,0
"22","A498","kidney",18.624,0,1
"23","A549","lung",15.305,0,0
"26","A673","bone",15.271,0,0
"27","ACCMESO1","pleura",15.256,0,0
"28","ACHN","kidney",14.007,1,0
"29","AGS","stomach",14.28,1,0
"30","AN3CA","endometrium",15.962,0,0
"31","ASPC1","pancreas",15.369,0,0
"33","BC3C","urinary_tract",14.858,0,0
"34","BCPAP","thyroid",15.465,0,0
"35","BECKER","central_nervous_system",14.996,0,0
"36","BEN","lung",11.518,1,0
"37","BFTC905","urinary_tract",15,0,0
"38","BFTC909","kidney",16.819,0,1
"39","BHT101","thyroid",15.824,0,0
"40","BHY","upper_aerodigestive_tract",15,0,0
"41","BICR16","upper_aerodigestive_tract",17.434,0,1
"42","BICR18","upper_aerodigestive_tract",16.53,0,1
"43","BICR22","upper_aerodigestive_tract",14.993,0,0
"44","BICR31","upper_aerodigestive_tract",16.763,0,1
"45","BICR56","upper_aerodigestive_tract",14.781,0,0
"46","BICR6","upper_aerodigestive_tract",14.845,0,0
"47","BT20","breast",16.178,0,1
"48","BT474","breast",16.329,0,1
"49","BXPC3","pancreas",17.021,0,1
"50","C2BBE1","large_intestine",18.241,0,1
"51","C32","skin",16.174,0,1
"52","CAKI1","kidney",15.206,0,0
"53","CAKI2","kidney",15.949,0,0
"54","CAL120","breast",15.697,0,0
"55","CAL12T","lung",10.028,1,0
"56","CAL27","upper_aerodigestive_tract",14.677,0,0
"57","CAL29","urinary_tract",16.397,0,1
"58","CAL33","upper_aerodigestive_tract",16.054,0,0
"59","CAL51","breast",14.648,0,0
"61","CAL54","kidney",15.598,0,0
"62","CAL62","thyroid",17.705,0,1
"63","CAL78","bone",15,0,0
"64","CAL851","breast",15.576,0,0
"65","CALU1","lung",16.461,0,1
"66","CALU3","lung",16.305,0,1
"67","CALU6","lung",14.893,0,0
"68","CAMA1","breast",15.312,0,0
"69","CAOV3","ovary",14.746,0,0
"70","CAPAN1","pancreas",15.361,0,0
"71","CAPAN2","pancreas",17.52,0,1
"72","CAS1","central_nervous_system",13.223,1,0
"73","CCFSTTG1","central_nervous_system",17.664,0,1
"75","CFPAC1","pancreas",13.549,1,0
"76","CGTHW1","thyroid",15.342,0,0
"77","CHAGOK1","lung",15,0,0
"78","CHP126","autonomic_ganglia",14.864,0,0
"79","CHP212","autonomic_ganglia",17.244,0,1
"80","CJM","skin",15,0,0
"81","CL11","large_intestine",14.728,0,0
"82","COLO205","large_intestine",14.378,1,0
"83","COLO680N","oesophagus",15.113,0,0
"84","COLO684","endometrium",18.241,0,1
"85","COLO741","skin",15,0,0
"86","COLO792","skin",15,0,0
"87","COLO800","skin",15.89,0,0
"88","COLO829","skin",14.672,0,0
"89","CORL105","lung",15.353,0,0
"90","CORL47","lung",14.944,0,0
"91","CORL95","lung",15.989,0,0
"92","COV362","ovary",17.103,0,1
"93","COV434","ovary",15.42,0,0
"94","COV644","ovary",16.6,0,1
"95","CW2","large_intestine",14.773,0,0
"96","D283MED","central_nervous_system",15,0,0
"97","DANG","pancreas",12.199,1,0
"98","DAOY","central_nervous_system",14.876,0,0
"99","DBTRG05MG","central_nervous_system",14.914,0,0
"100","DETROIT562","upper_aerodigestive_tract",15.079,0,0
"101","DKMG","central_nervous_system",17.888,0,1
"102","DLD1","large_intestine",13.444,1,0
"103","DMS114","lung",15,0,0
"104","DMS273","lung",17.34,0,1
"105","DMS454","lung",17.05,0,1
"106","DMS53","lung",18.33,0,1
"107","DU145","prostate",15.5855,0,0
"109","DU4475","breast",16.39,0,1
"110","EBC1","lung",15.116,0,0
"111","ECC10","stomach",14.367,1,0
"112","ECC12","stomach",15.546,0,0
"113","ECGI10","oesophagus",18.142,0,1
"114","EFE184","endometrium",14.568,0,0
"115","EFM192A","breast",13.686,1,0
"116","EFO21","ovary",15,0,0
"117","EFO27","ovary",15.359,0,0
"118","EN","endometrium",15.993,0,0
"119","EPLC272H","lung",14.912,0,0
"120","ES2","ovary",14.736,0,0
"121","ESS1","endometrium",15,0,0
"122","FADU","upper_aerodigestive_tract",14.197,1,0
"123","FTC133","thyroid",15,0,0
"124","FTC238","thyroid",16.568,0,1
"125","FU97","stomach",14.917,0,0
"126","FUOV1","ovary",14.129,1,0
"127","G292CLONEA141B1","bone",15.411,0,0
"128","G361","skin",15.214,0,0
"129","G401","soft_tissue",17.215,0,1
"130","G402","soft_tissue",15.331,0,0
"131","GAMG","central_nervous_system",14.841,0,0
"132","GB1","central_nervous_system",14.245,1,0
"133","GCT","soft_tissue",16.949,0,1
"134","GI1","central_nervous_system",15,0,0
"135","GMS10","central_nervous_system",16.317,0,1
