"","Cell.line.name","Tissue","area_under_curve","most_sensitive","least_sensitive"
"1","5637","urinary_tract",8.8102,1,0
"2","2313287","stomach",8.655,1,0
"3","22RV1","prostate",9.1752,1,0
"4","253J","urinary_tract",12.58,0,0
"5","253JBV","urinary_tract",11.252,0,0
"6","42MGBA","central_nervous_system",8.2463,1,0
"7","639V","urinary_tract",8.9666,1,0
"8","647V","urinary_tract",3.8469,1,0
"9","769P","kidney",13.378,0,1
"10","786O","kidney",11.263,0,0
"11","8305C","thyroid",11.028,0,0
"12","8505C","thyroid",9.0983,1,0
"13","A101D","skin",13.007,0,1
"14","A172","central_nervous_system",12.076,0,0
"15","A204","soft_tissue",8.3972,1,0
"16","A253","salivary_gland",13.361,0,1
"17","A2780","ovary",5.601,1,0
"18","A375","skin",10.695,0,0
"19","A375","skin",10.373,0,0
"20","A498","kidney",10.58,0,0
"21","A549","lung",12.59,0,1
"22","A549","lung",11.168,0,0
"23","A549","lung",10.432,0,0
"24","ACCMESO1","pleura",15.501,0,1
"25","ACHN","kidney",9.8277,1,0
"26","AGS","stomach",12.716,0,1
"27","AN3CA","endometrium",13.397,0,1
"28","ASPC1","pancreas",13.826,0,1
"29","ASPC1","pancreas",14.204,0,1
"30","AU565","breast",10.088,1,0
"31","BC3C","urinary_tract",13.494,0,1
"32","BCPAP","thyroid",9.7583,1,0
"33","BEN","lung",15.494,0,1
"34","BFTC909","kidney",12.218,0,0
"35","BHT101","thyroid",11.463,0,0
"36","BHY","upper_aerodigestive_tract",9.9677,1,0
"37","BICR16","upper_aerodigestive_tract",12.77,0,1
"38","BICR18","upper_aerodigestive_tract",13.391,0,1
"39","BICR22","upper_aerodigestive_tract",8.4088,1,0
"40","BICR31","upper_aerodigestive_tract",13.914,0,1
"41","BICR56","upper_aerodigestive_tract",9.202,1,0
"42","BICR6","upper_aerodigestive_tract",9.5614,1,0
"43","BT20","breast",12.474,0,0
"44","BT474","breast",15.677,0,1
"45","BT549","breast",9.954,1,0
"46","BXPC3","pancreas",10.866,0,0
"47","C2BBE1","large_intestine",13.478,0,1
"48","C32","skin",10.822,0,0
"49","CADOES1","bone",6.8926,1,0
"50","CAKI1","kidney",13.379,0,1
"51","CAKI2","kidney",15.568,0,1
"52","CAL120","breast",15.543,0,1
"53","CAL12T","lung",12.639,0,1
"54","CAL148","breast",8.1866,1,0
"55","CAL29","urinary_tract",7.4848,1,0
"56","CAL33","upper_aerodigestive_tract",8.8694,1,0
"57","CAL51","breast",10.542,0,0
"58","CAL51","breast",8.3437,1,0
"59","CAL54","kidney",10.13,1,0
"60","CAL62","thyroid",7.9834,1,0
"61","CAL78","bone",10.298,1,0
"62","CALU1","lung",13.145,0,1
"63","CALU3","lung",9.1459,1,0
"64","CALU6","lung",12.983,0,1
"65","CAMA1","breast",13.358,0,1
"66","CAPAN1","pancreas",8.597,1,0
"67","CAPAN2","pancreas",13.091,0,1
"68","CAS1","central_nervous_system",12.364,0,0
"69","CCFSTTG1","central_nervous_system",14.897,0,1
"70","CCFSTTG1","central_nervous_system",14.712,0,1
"71","CFPAC1","pancreas",12.281,0,0
"72","CGTHW1","thyroid",8.2632,1,0
"73","CHAGOK1","lung",13.611,0,1
"74","CHP212","autonomic_ganglia",6.359,1,0
"75","CJM","skin",8.8438,1,0
"76","CL11","large_intestine",9.536,1,0
"77","COLO201","large_intestine",11.908,0,0
"78","COLO205","large_intestine",12.783,0,1
"79","COLO320","large_intestine",12.971,0,1
"80","COLO668","lung",6.0656,1,0
"81","COLO678","large_intestine",13.22,0,1
"82","COLO680N","oesophagus",11.912,0,0
"83","COLO684","endometrium",10.916,0,0
"84","COLO741","skin",13.162,0,1
"85","COLO800","skin",9.2265,1,0
"86","COLO829","skin",10.312,0,0
"87","CORL105","lung",12.773,0,1
"88","CORL279","lung",4.7,1,0
"89","CORL95","lung",6.7137,1,0
"90","COV362","ovary",13.053,0,1
"91","COV434","ovary",9.2296,1,0
"92","COV644","ovary",14.409,0,1
"93","CW2","large_intestine",10.293,1,0
"94","DANG","pancreas",9.417,1,0
"95","DAOY","central_nervous_system",8.8424,1,0
"96","DBTRG05MG","central_nervous_system",10.798,0,0
"97","DETROIT562","upper_aerodigestive_tract",10.418,0,0
"98","DKMG","central_nervous_system",12.381,0,0
"99","DLD1","large_intestine",13.898,0,1
"100","DMS114","lung",10.703,0,0
"101","DMS454","lung",9.8922,1,0
"102","DMS53","lung",8.4495,1,0
"103","DMS79","lung",9.8391,1,0
"104","DU145","prostate",8.8468,1,0
"105","DU145","prostate",10.483,0,0
"106","DU4475","breast",3.4561,1,0
"107","DV90","lung",7.0235,1,0
"108","ECC12","stomach",9.2818,1,0
"109","ECGI10","oesophagus",9.0661,1,0
"110","EFE184","endometrium",13.489,0,1
"111","EFM192A","breast",13.708,0,1
"112","EFO21","ovary",10.76,0,0
"113","EFO27","ovary",12.898,0,1
"114","EN","endometrium",15.239,0,1
"115","EPLC272H","lung",9.5302,1,0
"116","ES2","ovary",11.155,0,0
"117","ESS1","endometrium",3.8262,1,0
"118","FADU","upper_aerodigestive_tract",6.1225,1,0
"119","FTC133","thyroid",7.3535,1,0
"120","FU97","stomach",12.08,0,0
"121","FUOV1","ovary",13.638,0,1
"122","G292CLONEA141B1","bone",11.45,0,0
"123","G361","skin",9.8343,1,0
"124","G401","soft_tissue",9.1285,1,0
"125","GAMG","central_nervous_system",12.289,0,0
"126","GB1","central_nervous_system",8.9988,1,0
"127","GCT","soft_tissue",7.5323,1,0
"128","GI1","central_nervous_system",10.111,1,0
"129","GMS10","central_nervous_system",12.313,0,0
"130","GOS3","central_nervous_system",11.297,0,0
"131","GP2D","large_intestine",10.181,1,0
"132","GSS","stomach",9.2189,1,0
"133","GSU","stomach",15.949,0,1
"134","H292","lung",10.382,0,0
"135","HARA","lung",9.3687,1,0
"136","HCC1143","breast",10.299,0,0
"137","HCC1171","lung",13.902,0,1
"138","HCC1395","breast",11.386,0,0
"139","HCC1419","breast",12.71,0,1
"140","HCC1428","breast",13.706,0,1
"141","HCC1438","lung",7.9232,1,0
"142","HCC15","lung",10.577,0,0
"143","HCC1500","breast",10.873,0,0
"144","HCC1569","breast",11.284,0,0
"145","HCC1588","lung",11.164,0,0
"146","HCC1806","breast",10.611,0,0
"147","HCC1833","lung",12.334,0,0
"148","HCC1937","breast",13.318,0,1
"149","HCC1954","breast",12.921,0,1
"150","HCC202","breast",17.814,0,1
"151","HCC2108","lung",12.743,0,1
"152","HCC2279","lung",15.86,0,1
"153","HCC2935","lung",12.333,0,0
"154","HCC366","lung",12.446,0,0
"155","HCC38","breast",9.1373,1,0
"156","HCC4006","lung",13.557,0,1
"157","HCC44","lung",12.502,0,0
"158","HCC56","large_intestine",12.725,0,1
"159","HCC78","lung",7.8079,1,0
"160","HCC827","lung",13.385,0,1
"161","HCC95","lung",13.254,0,1
"162","HCT116","large_intestine",13.682,0,1
"163","HCT15","large_intestine",11.709,0,0
"164","HCT8","large_intestine",13.953,0,1
"165","HDQP1","breast",14.127,0,1
"166","HEC108","endometrium",13.461,0,1
"167","HEC151","endometrium",11.705,0,0
"168","HEC1A","endometrium",13.227,0,1
"169","HEC1B","endometrium",14.163,0,1
"170","HEC251","endometrium",12.765,0,1
"171","HEC265","endometrium",13.202,0,1
"172","HEC50B","endometrium",10.711,0,0
"173","HEC59","endometrium",13.577,0,1
"174","HEC6","endometrium",11.925,0,0
"175","HEP3B217","liver",15.329,0,1
"176","HEPG2","liver",12.197,0,0
"177","HGC27","stomach",10.256,1,0
"178","HLF","liver",8.4383,1,0
"179","HMC18","breast",12.825,0,1
"180","HMCB","skin",13.13,0,1
"181","HOS","bone",10.183,1,0
"182","HPAC","pancreas",9.2481,1,0
"183","HPAFII","pancreas",13.381,0,1
"184","HS294T","skin",10.305,0,0
"185","HS683","central_nervous_system",11.165,0,0
"186","HS688AT","skin",14.426,0,1
"187","HS729","soft_tissue",9.208,1,0
"188","HS746T","stomach",10.954,0,0
"189","HS766T","pancreas",11.032,0,0
"190","HS822T","bone",13.728,0,1
"191","HS839T","skin",14.471,0,1
"192","HS852T","skin",10.224,1,0
"193","HS888T","bone",13.749,0,1
"194","HS895T","skin",14.196,0,1
"195","HS936T","skin",12.274,0,0
"196","HS940T","skin",15,0,1
"197","HSC2","upper_aerodigestive_tract",6.78,1,0
"198","HSC3","upper_aerodigestive_tract",10.023,1,0
"199","HT1080","soft_tissue",11.557,0,0
"200","HT115","large_intestine",11.11,0,0
"201","HT1197","urinary_tract",14.552,0,1
"202","HT1376","urinary_tract",14.304,0,1
"203","HT144","skin",11.792,0,0
"204","HT29","large_intestine",15.028,0,1
"205","HT55","large_intestine",13.572,0,1
"206","HUCCT1","biliary_tract",11.407,0,0
"207","HUG1N","stomach",13.55,0,1
"208","HUH1","liver",9.755,1,0
"209","HUH28","biliary_tract",12.425,0,0
"210","HUPT3","pancreas",12.007,0,0
"211","IALM","lung",11.97,0,0
"212","IGR1","skin",10.63,0,0
"213","IGR37","skin",9.4572,1,0
"214","IGR39","skin",11.155,0,0
"215","IGROV1","ovary",10.275,1,0
"216","IGROV1","ovary",10.952,0,0
"217","IMR32","autonomic_ganglia",3.2732,1,0
"218","IPC298","skin",12.914,0,1
"219","ISHIKAWAHERAKLIO02ER","endometrium",13.424,0,1
"220","ISTMES1","pleura",12.473,0,0
"221","J82","urinary_tract",8.1109,1,0
"222","JHH1","liver",12.557,0,0
