"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"1",683667,"PFSK-1","nervous_system","medulloblastoma",-4.14604297,1
"2",684052,"A673","soft_tissue","rhabdomyosarcoma",-7.18897722,0
"3",684055,"ES3","bone","ewings_sarcoma",-6.84091847,0
"4",684057,"ES5","bone","ewings_sarcoma",-4.86360351,1
"5",684059,"ES7","bone","ewings_sarcoma",-7.62744788,0
"6",684062,"EW-11","bone","ewings_sarcoma",-1.42455348,1
"7",684072,"SK-ES-1","bone","ewings_sarcoma",-6.59198811,0
"8",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",-4.31210089,1
"9",687448,"COLO-829","skin","melanoma",-1.62751741,1
"10",687452,"5637","urogenital_system","Bladder",-5.82944361,1
"11",687455,"RT4","urogenital_system","Bladder",-4.67635655,1
"12",687457,"SW780","urogenital_system","Bladder",-4.8143489,1
"13",687459,"TCCSUP","urogenital_system","Bladder",-3.63245359,1
"14",687505,"C-33-A","urogenital_system","cervix",-6.65784758,0
"15",687506,"C-4-I","urogenital_system","cervix",-4.7399317,1
"16",687514,"ME-180","urogenital_system","cervix",-6.27411431,1
"17",687561,"42-MG-BA","nervous_system","glioma",-5.58301106,1
"18",687562,"8-MG-BA","nervous_system","glioma",-6.24307493,1
"19",687563,"A172","nervous_system","glioma",-4.30178102,1
"20",687568,"GB-1","nervous_system","glioma",-5.55247634,1
"21",687586,"T98G","nervous_system","glioma",-4.58593407,1
"22",687588,"U-118-MG","nervous_system","glioma",-5.34455255,1
"23",687590,"U-87-MG","nervous_system","glioma",-6.94648038,0
"24",687592,"YKG-1","nervous_system","glioma",-4.27373391,1
"25",687596,"ChaGo-K-1","lung_NSCLC","lung_NSCLC_not specified",-2.26727089,1
"26",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",-0.5508017,1
"27",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",-4.74356303,1
"28",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",-5.0623202,1
"29",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-4.33137677,1
"30",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",-6.13952297,1
"31",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.79753509,1
"32",687800,"NCI-H1650","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.68131481,1
"33",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",-4.56342061,1
"34",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",-2.39993965,1
"35",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.95652895,1
"36",687812,"NCI-H2085","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.63870167,1
"37",687815,"NCI-H2170","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-4.21971048,1
"38",687816,"NCI-H2228","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.40707405,1
"39",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.90566473,1
"40",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.53396713,1
"41",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",-4.54315203,1
"42",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",-4.1542845,1
"43",687983,"DMS-114","lung_SCLC","lung_small_cell_carcinoma",-3.52370864,1
"44",687985,"DMS-273","lung_SCLC","lung_small_cell_carcinoma",-5.13071334,1
"45",687995,"NCI-H1048","lung_SCLC","lung_small_cell_carcinoma",-7.45346222,0
"46",687997,"NCI-H1092","lung_SCLC","lung_small_cell_carcinoma",-2.55689065,1
"47",688001,"NCI-H1417","lung_SCLC","lung_small_cell_carcinoma",-7.53510142,0
"48",688006,"NCI-H1694","lung_SCLC","lung_small_cell_carcinoma",-4.23873122,1
"49",688007,"NCI-H187","lung_SCLC","lung_small_cell_carcinoma",-4.12740895,1
"50",688011,"NCI-H2029","lung_SCLC","lung_small_cell_carcinoma",-2.83729686,1
"51",688013,"NCI-H209","lung_SCLC","lung_small_cell_carcinoma",-7.40554354,0
