"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",15.718,0,1
"2","2313287","stomach",15,0,0
"3","253J","urinary_tract",14.995,0,0
"4","253JBV","urinary_tract",14.736,0,0
"5","42MGBA","central_nervous_system",14.59,1,0
"6","5637","urinary_tract",14.407,1,0
"7","639V","urinary_tract",15,0,0
"8","647V","urinary_tract",13.795,1,0
"9","769P","kidney",15.001,0,0
"10","786O","kidney",15.392,0,0
"11","8305C","thyroid",15.309,0,0
"12","8505C","thyroid",15.277,0,0
"13","8MGBA","central_nervous_system",14.818,0,0
"14","A101D","skin",16.174,0,1
"15","A172","central_nervous_system",14.714,0,0
"16","A204","soft_tissue",14.584,1,0
"17","A2058","skin",16.565,0,1
"18","A253","salivary_gland",15.149,0,0
"19","A2780","ovary",14.665,1,0
"20","A375","skin",15,0,0
"22","A498","kidney",16.922,0,1
"23","A549","lung",15.0733333333333,0,0
"26","A673","bone",15.286,0,0
"27","ACCMESO1","pleura",15,0,0
"28","ACHN","kidney",15.303,0,0
"29","AGS","stomach",15.312,0,0
"30","AN3CA","endometrium",15.247,0,0
"31","ASPC1","pancreas",14.9775,0,0
"33","AU565","breast",15,0,0
"34","BC3C","urinary_tract",13.867,1,0
"35","BCPAP","thyroid",14.784,0,0
"36","BECKER","central_nervous_system",14.903,0,0
"37","BEN","lung",14.657,1,0
"38","BFTC905","urinary_tract",15,0,0
"39","BFTC909","kidney",16.452,0,1
"40","BHT101","thyroid",14.952,0,0
"41","BHY","upper_aerodigestive_tract",15.111,0,0
"42","BICR16","upper_aerodigestive_tract",13.546,1,0
"43","BICR18","upper_aerodigestive_tract",14.923,0,0
"44","BICR22","upper_aerodigestive_tract",14.724,0,0
"45","BICR31","upper_aerodigestive_tract",15.137,0,0
"46","BICR56","upper_aerodigestive_tract",14.796,0,0
"47","BICR6","upper_aerodigestive_tract",15,0,0
"48","BT20","breast",14.976,0,0
"49","BT474","breast",15,0,0
"50","BT549","breast",15.248,0,0
"51","BXPC3","pancreas",15.266,0,0
"52","C2BBE1","large_intestine",14.459,1,0
"53","C32","skin",14.797,0,0
"54","CAKI1","kidney",15.141,0,0
"55","CAKI2","kidney",15,0,0
"56","CAL120","breast",15,0,0
"57","CAL12T","lung",14.521,1,0
"58","CAL148","breast",15.598,0,1
"59","CAL27","upper_aerodigestive_tract",15,0,0
"60","CAL33","upper_aerodigestive_tract",14.765,0,0
"61","CAL51","breast",15.5475,0,1
"63","CAL54","kidney",15.445,0,1
"64","CAL62","thyroid",15.024,0,0
"65","CAL78","bone",14.845,0,0
"66","CAL851","breast",13.979,1,0
"67","CALU1","lung",14.409,1,0
"68","CALU3","lung",13.89,1,0
"69","CALU6","lung",15.454,0,1
"70","CAMA1","breast",14.115,1,0
"71","CAOV3","ovary",16.587,0,1
"72","CAPAN1","pancreas",15,0,0
"73","CAPAN2","pancreas",14.751,0,0
"74","CAS1","central_nervous_system",14.113,1,0
"75","CCFSTTG1","central_nervous_system",15.174,0,0
"77","CCK81","large_intestine",15.794,0,1
"78","CFPAC1","pancreas",15.612,0,1
"79","CGTHW1","thyroid",14.876,0,0
"80","CHAGOK1","lung",13.011,1,0
"81","CHP126","autonomic_ganglia",16.182,0,1
"82","CHP212","autonomic_ganglia",13.48,1,0
"83","CJM","skin",14.354,1,0
"84","CL11","large_intestine",14.898,0,0
"85","COLO201","large_intestine",14.744,0,0
"86","COLO205","large_intestine",15.254,0,0
"87","COLO320","large_intestine",15.127,0,0
"88","COLO678","large_intestine",14.186,1,0
"89","COLO680N","oesophagus",15,0,0
"90","COLO684","endometrium",13.795,1,0
"91","COLO792","skin",15.005,0,0
"92","COLO800","skin",15.394,0,0
"93","COLO829","skin",14.652,1,0
"94","CORL105","lung",15.132,0,0
"95","CORL279","lung",15.041,0,0
"96","CORL88","lung",14.826,0,0
"97","CORL95","lung",15.087,0,0
"98","COV362","ovary",14.989,0,0
"99","COV434","ovary",14.285,1,0
"100","COV644","ovary",14.787,0,0
"101","CW2","large_intestine",17.766,0,1
"102","D283MED","central_nervous_system",15.261,0,0
"103","DANG","pancreas",15.043,0,0
"104","DAOY","central_nervous_system",14.855,0,0
"105","DBTRG05MG","central_nervous_system",15.591,0,1
"106","DETROIT562","upper_aerodigestive_tract",14.72,0,0
"107","DKMG","central_nervous_system",15.522,0,1
"108","DLD1","large_intestine",13.775,1,0
"109","DMS114","lung",14.489,1,0
"110","DMS273","lung",14.724,0,0
"111","DMS454","lung",13.685,1,0
"112","DMS53","lung",13.021,1,0
"113","DMS79","lung",15.45,0,1
"114","DU145","prostate",15.328,0,0
"116","DU4475","breast",15.248,0,0
"117","DV90","lung",14.073,1,0
"118","EBC1","lung",15,0,0
"119","ECC10","stomach",15,0,0
"120","ECC12","stomach",15,0,0
"121","ECGI10","oesophagus",12.307,1,0
"122","EFE184","endometrium",15,0,0
"123","EFM192A","breast",15.23,0,0
"124","EFO21","ovary",14.228,1,0
"125","EFO27","ovary",14.429,1,0
"126","EN","endometrium",14.822,0,0
"127","EPLC272H","lung",14.956,0,0
"128","ES2","ovary",14.905,0,0
"129","ESS1","endometrium",15.044,0,0
"130","FADU","upper_aerodigestive_tract",14.938,0,0
"131","FTC133","thyroid",15,0,0
"132","FTC238","thyroid",15,0,0
"133","FU97","stomach",15.554,0,1
"134","FUOV1","ovary",14.947,0,0
"135","G292CLONEA141B1","bone",14.762,0,0
"136","G361","skin",15.656,0,1
"137","G401","soft_tissue",14.81,0,0
"138","G402","soft_tissue",15.018,0,0
"139","GAMG","central_nervous_system",15.239,0,0
"140","GB1","central_nervous_system",14.979,0,0
"141","GCT","soft_tissue",14.154,1,0
"142","GI1","central_nervous_system",15.519,0,1
"143","GMS10","central_nervous_system",15.132,0,0
"144","GOS3","central_nervous_system",15.001,0,0
"145","GP2D","large_intestine",14.931,0,0
"146","GSS","stomach",14.868,0,0
"147","GSU","stomach",15,0,0
"148","H292","lung",14.919,0,0
"149","HARA","lung",15,0,0
"150","HCC1143","breast",17.163,0,1
"151","HCC1171","lung",15.828,0,1
"152","HCC1195","lung",16.392,0,1
"153","HCC1395","breast",15.418,0,0
"154","HCC1419","breast",14.711,1,0
"155","HCC1428","breast",15.466,0,1
"156","HCC1438","lung",14.569,1,0
"157","HCC15","lung",15,0,0
"158","HCC1500","breast",15.21,0,0
"159","HCC1588","lung",15.273,0,0
"160","HCC1806","breast",15,0,0
"161","HCC1833","lung",15,0,0
"162","HCC1937","breast",15.237,0,0
"163","HCC1954","breast",15.812,0,1
"164","HCC202","breast",14.299,1,0
"165","HCC2108","lung",14.884,0,0
"166","HCC2218","breast",15.901,0,1
"167","HCC2279","lung",15,0,0
"168","HCC2935","lung",14.392,1,0
"169","HCC366","lung",15,0,0
"170","HCC38","breast",15.339,0,0
"171","HCC4006","lung",14.927,0,0
"172","HCC44","lung",15.931,0,1
"173","HCC56","large_intestine",14.711,1,0
"174","HCC78","lung",15,0,0
"175","HCC827","lung",16.208,0,1
"176","HCC95","lung",16.806,0,1
"177","HCT116","large_intestine",14.619,1,0
"178","HCT15","large_intestine",14.961,0,0
"179","HCT8","large_intestine",16.44,0,1
"180","HEC108","endometrium",15,0,0
"181","HEC151","endometrium",15,0,0
"182","HEC1A","endometrium",14.25,1,0
"183","HEC1B","endometrium",15.345,0,0
"184","HEC251","endometrium",15,0,0
"185","HEC265","endometrium",16.529,0,1
"186","HEC50B","endometrium",14.767,0,0
"187","HEC59","endometrium",15.477,0,1
"188","HEC6","endometrium",15,0,0
"189","HEP3B217","liver",14.661,1,0
"190","HEPG2","liver",15.217,0,0
"191","HEYA8","ovary",14.71,1,0
"192","HGC27","stomach",14.661,1,0
"193","HLF","liver",15.125,0,0
"194","HMC18","breast",14.977,0,0
"195","HMCB","skin",15.188,0,0
"196","HOS","bone",15,0,0
"197","HPAC","pancreas",14.444,1,0
"198","HPAFII","pancreas",15.42,0,0
"199","HS294T","skin",14.746,0,0
"200","HS578T","breast",13.619,1,0
"201","HS683","central_nervous_system",14.898,0,0
"202","HS688AT","skin",13.438,1,0
"203","HS729","soft_tissue",14.923,0,0
"204","HS746T","stomach",14.231,1,0
"205","HS766T","pancreas",15.297,0,0
"206","HS822T","bone",14.665,1,0
"207","HS839T","skin",15.099,0,0
"208","HS852T","skin",15.099,0,0
"209","HS888T","bone",12.906,1,0
"210","HS895T","skin",16.146,0,1
"211","HS934T","skin",15.173,0,0
"212","HS936T","skin",15.465,0,1
"213","HS940T","skin",15.299,0,0
"214","HS944T","skin",14.827,0,0
"215","HSC2","upper_aerodigestive_tract",15.204,0,0
"216","HSC3","upper_aerodigestive_tract",12.63,1,0
"217","HSC4","upper_aerodigestive_tract",15.724,0,1
"218","HT1080","soft_tissue",15.273,0,0
"219","HT115","large_intestine",16.407,0,1
"220","HT1197","urinary_tract",15.268,0,0
"221","HT1376","urinary_tract",15.753,0,1
"222","HT144","skin",15.673,0,1
"223","HT29","large_intestine",15.192,0,0
"224","HT55","large_intestine",14.939,0,0
"225","HUG1N","stomach",12.985,1,0
"226","HUH1","liver",16.544,0,1
"227","HUH28","biliary_tract",15.528,0,1
"228","HUH6","liver",15,0,0
"229","HUPT3","pancreas",14.803,0,0
"230","HUPT4","pancreas",16.04,0,1
"231","IALM","lung",15.619,0,1
"232","IGR1","skin",15.553,0,1
"233","IGR37","skin",15.112,0,0
"234","IGR39","skin",15.939,0,1
"235","IGROV1","ovary",15.317,0,0
"237","IM95","stomach",15.406,0,0
"238","IMR32","autonomic_ganglia",15.747,0,1
"239","IPC298","skin",15.486,0,1
"240","ISHIKAWAHERAKLIO02ER","endometrium",14.674,1,0
"241","ISTMES1","pleura",14.494,1,0
"242","J82","urinary_tract",14.837,0,0
"243","JHH1","liver",15.535,0,1
"244","JHH2","liver",14.898,0,0
"245","JHH4","liver",14.896,0,0
"246","JHH5","liver",15.241,0,0
"247","JHH6","liver",15.713,0,1
"248","JHOC5","ovary",15.131,0,0
"249","JHOM1","ovary",15.314,0,0
"250","JHOS2","ovary",15.042,0,0
"251","JHUEM1","endometrium",15.062,0,0
"252","JHUEM2","endometrium",14.981,0,0
"253","JHUEM3","endometrium",13.758,1,0
"254","JIMT1","breast",15.285,0,0
"255","JL1","pleura",15,0,0
"256","JMSU1","urinary_tract",15.298,0,0
"257","K029AX","skin",15.121,0,0
"258","KALS1","central_nervous_system",14.811,0,0
"259","KATOIII","stomach",16.21,0,1
"260","KE39","stomach",15.198,0,0
"262","KELLY","autonomic_ganglia",15.606,0,1
"263","KG1C","central_nervous_system",15.815,0,1
"264","KLE","endometrium",16.33,0,1
"265","KM12","large_intestine",15.19,0,0
"266","KMBC2","urinary_tract",14.805,0,0
"267","KMRC1","kidney",15.552,0,1
"268","KMRC2","kidney",15,0,0
"269","KMRC20","kidney",14.804,0,0
"270","KMRC3","kidney",14.836,0,0
"271","KNS42","central_nervous_system",15,0,0
"272","KNS60","central_nervous_system",15.889,0,1
"273","KNS62","lung",15,0,0
"274","KNS81","central_nervous_system",16.473,0,1
"275","KP2","pancreas",15.111,0,0
"276","KP3","pancreas",15.409,0,0
"277","KP4","pancreas",15,0,0
"278","KPL1","breast",15.838,0,1
"279","KPNSI9S","autonomic_ganglia",14.995,0,0
"280","KPNYN","autonomic_ganglia",13.487,1,0
"281","KU1919","urinary_tract",14.731,0,0
"282","KURAMOCHI","ovary",15,0,0
"283","KYM1","soft_tissue",14.979,0,0
"284","KYSE140","oesophagus",15,0,0
"285","KYSE150","oesophagus",15.354,0,0
"286","KYSE180","oesophagus",15,0,0
"287","KYSE30","oesophagus",14.852,0,0
"288","KYSE410","oesophagus",15.003,0,0
"289","KYSE450","oesophagus",15.084,0,0
"290","KYSE510","oesophagus",14.857,0,0
"291","KYSE520","oesophagus",14.926,0,0
"292","KYSE70","oesophagus",15.617,0,1
"293","L33","pancreas",15.258,0,0
"294","LC1F","lung",9.1601,1,0
"295","LC1SQSF","lung",15,0,0
"296","LCLC103H","lung",14.447,1,0
"297","LCLC97TM1","lung",14.639,1,0
"298","LI7","liver",15,0,0
"299","LK2","lung",14.366,1,0
"300","LMSU","stomach",14.505,1,0
"301","LN18","central_nervous_system",15.164,0,0
"302","LN229","central_nervous_system",15.244,0,0
"303","LOUNH91","lung",14.789,0,0
"304","LOVO","large_intestine",15,0,0
"305","LOXIMVI","skin",15.569,0,1
"307","LS1034","large_intestine",14.686,1,0
"308","LS123","large_intestine",15,0,0
"309","LS180","large_intestine",15.06,0,0
"310","LS411N","large_intestine",15.673,0,1
"311","LS513","large_intestine",15,0,0
"312","LU65","lung",14.924,0,0
"313","LU99","lung",15,0,0
"314","LUDLU1","lung",13.878,1,0
"315","LXF289","lung",16.746,0,1
"316","M059K","central_nervous_system",14.71,1,0
"317","MALME3M","skin",12.995,1,0
"318","MCAS","ovary",14.862,0,0
"319","MCF7","breast",16.183,0,1
"320","MDAMB157","breast",14.001,1,0
"321","MDAMB231","breast",15.875,0,1
"322","MDAMB361","breast",14.593,1,0
"323","MDAMB415","breast",14.824,0,0
"324","MDAMB435S","skin",15,0,0
"325","MDAMB453","breast",14.289,1,0
"326","MDAMB468","breast",15.178,0,0
"327","MDST8","large_intestine",15,0,0
"328","MELHO","skin",15,0,0
"329","MELJUSO","skin",14.829,0,0
"330","MESSA","soft_tissue",15,0,0
"331","MEWO","skin",15.43,0,0
"332","MFE296","endometrium",15.034,0,0
"333","MFE319","endometrium",15.488,0,1
"334","MG63","bone",14.832,0,0
"335","MHHES1","bone",15.565,0,1
"336","MHHNB11","autonomic_ganglia",15,0,0
"337","MIAPACA2","pancreas",14.995,0,0
"338","MKN1","stomach",15.774,0,1
"339","MKN45","stomach",12.369,1,0
"340","MKN7","stomach",14.68,1,0
"341","MKN74","stomach",15,0,0
"342","ML1","thyroid",14.824,0,0
"343","MORCPR","lung",15,0,0
"344","MPP89","pleura",15.398,0,0
"345","MSTO211H","pleura",14.728,0,0
"346","NB1","autonomic_ganglia",14.996,0,0
"347","NCIH1092","lung",15,0,0
"348","NCIH1105","lung",13.853,1,0
"349","NCIH1155","lung",15,0,0
"350","NCIH1184","lung",12.475,1,0
"351","NCIH1299","lung",15,0,0
"353","NCIH1339","lung",14.929,0,0
"354","NCIH1341","lung",14.778,0,0
"355","NCIH1355","lung",15.178,0,0
"356","NCIH1373","lung",15.098,0,0
"357","NCIH1395","lung",14.555,1,0
"358","NCIH1435","lung",16.15,0,1
"359","NCIH1563","lung",14.77,0,0
