"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","most_sensitive","least_sensitive"
"1",684052,"A673","soft_tissue","rhabdomyosarcoma",5.60444744,0,0
"2",684055,"ES3","bone","ewings_sarcoma",5.59562787,0,0
"3",684057,"ES5","bone","ewings_sarcoma",5.90401203,0,0
"4",684059,"ES7","bone","ewings_sarcoma",5.77400118,0,0
"5",684062,"EW-11","bone","ewings_sarcoma",6.39253548,0,1
"6",684072,"SK-ES-1","bone","ewings_sarcoma",5.51017601,1,0
"7",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.28810673,0,1
"8",687448,"COLO-829","skin","melanoma",6.54034248,0,1
"9",687452,"5637","urogenital_system","Bladder",4.99843092,1,0
"10",687455,"RT4","urogenital_system","Bladder",6.11955312,0,1
"11",687457,"SW780","urogenital_system","Bladder",4.24367417,1,0
"12",687459,"TCCSUP","urogenital_system","Bladder",5.04762529,1,0
"13",687505,"C-33-A","urogenital_system","cervix",5.51356168,1,0
"14",687514,"ME-180","urogenital_system","cervix",5.70020652,0,0
"15",687561,"42-MG-BA","nervous_system","glioma",4.90842672,1,0
"16",687562,"8-MG-BA","nervous_system","glioma",3.89309629,1,0
"17",687563,"A172","nervous_system","glioma",4.95491028,1,0
"18",687568,"GB-1","nervous_system","glioma",5.06380984,1,0
"19",687586,"T98G","nervous_system","glioma",5.4153209,1,0
"20",687588,"U-118-MG","nervous_system","glioma",6.25810272,0,1
"21",687590,"U-87-MG","nervous_system","glioma",6.3769432,0,1
"22",687592,"YKG-1","nervous_system","glioma",5.89721649,0,0
"23",687596,"ChaGo-K-1","lung_NSCLC","lung_NSCLC_not specified",6.25714558,0,1
"24",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",5.87785996,0,0
"25",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.11541396,0,1
"26",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",4.51351573,1,0
"27",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",3.69818874,1,0
"28",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.54466641,0,1
"29",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.99007895,0,0
"30",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.52379025,0,1
"31",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",5.19728155,1,0
"32",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.40402911,0,1
"33",687812,"NCI-H2085","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.14919937,0,1
"34",687815,"NCI-H2170","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",5.82397822,0,0
"35",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.97829867,0,0
"36",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.33541172,0,1
