"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",6.6009,1,0
"2","2313287","stomach",7.8711,0,0
"3","253JBV","urinary_tract",9.5469,0,0
"4","42MGBA","central_nervous_system",7.7189,0,0
"5","5637","urinary_tract",7.1643,1,0
"6","639V","urinary_tract",7.5191,1,0
"7","647V","urinary_tract",5.1046,1,0
"8","769P","kidney",9.7996,0,0
"9","786O","kidney",9.2353,0,0
"10","8305C","thyroid",9.9913,0,0
"11","8505C","thyroid",7.5699,0,0
"12","8MGBA","central_nervous_system",7.6938,0,0
"13","A101D","skin",10.4,0,0
"14","A172","central_nervous_system",10.658,0,0
"15","A204","soft_tissue",6.1429,1,0
"16","A2058","skin",9.4526,0,0
"17","A253","salivary_gland",6.8815,1,0
"18","A2780","ovary",6.9409,1,0
"19","A375","skin",8.91915,0,0
"21","A498","kidney",12.219,0,1
"22","A549","lung",10.1623333333333,0,0
"25","A673","bone",5.0731,1,0
"26","ACCMESO1","pleura",13.907,0,1
"27","ACHN","kidney",9.4865,0,0
"28","AGS","stomach",10.476,0,0
"29","AN3CA","endometrium",11.728,0,1
"30","ASPC1","pancreas",11.307,0,0
"32","AU565","breast",8.9994,0,0
"33","BC3C","urinary_tract",11.519,0,1
"34","BCPAP","thyroid",8.9078,0,0
"35","BECKER","central_nervous_system",9.2579,0,0
"36","BEN","lung",14.959,0,1
"37","BFTC905","urinary_tract",7.7716,0,0
"38","BFTC909","kidney",9.604,0,0
"39","BHT101","thyroid",9.7171,0,0
"40","BHY","upper_aerodigestive_tract",9.0487,0,0
"41","BICR16","upper_aerodigestive_tract",10.964,0,0
"42","BICR18","upper_aerodigestive_tract",11.24,0,0
"43","BICR22","upper_aerodigestive_tract",8.2773,0,0
"44","BICR31","upper_aerodigestive_tract",10.826,0,0
"45","BICR56","upper_aerodigestive_tract",7.9168,0,0
"46","BICR6","upper_aerodigestive_tract",8.4255,0,0
"47","BT20","breast",10.404,0,0
"48","BT474","breast",14.082,0,1
"49","BT549","breast",8.3269,0,0
"50","BXPC3","pancreas",8.3983,0,0
"51","C2BBE1","large_intestine",10.542,0,0
"52","C32","skin",5.2356,1,0
"53","CADOES1","bone",4.0491,1,0
"54","CAKI1","kidney",9.801,0,0
"55","CAKI2","kidney",14.158,0,1
"56","CAL120","breast",13.037,0,1
"57","CAL12T","lung",12.48,0,1
"58","CAL148","breast",4.487,1,0
"59","CAL27","upper_aerodigestive_tract",7.5252,1,0
"60","CAL29","urinary_tract",6.8834,1,0
"61","CAL33","upper_aerodigestive_tract",6.8947,1,0
"62","CAL51","breast",8.0923,0,0
"64","CAL54","kidney",7.4394,1,0
"65","CAL62","thyroid",6.1617,1,0
"66","CAL78","bone",9.6151,0,0
"67","CAL851","breast",8.1049,0,0
"68","CALU1","lung",11.898,0,1
"69","CALU3","lung",7.4771,1,0
"70","CALU6","lung",11.734,0,1
"71","CAMA1","breast",10.822,0,0
"72","CAOV3","ovary",8.2481,0,0
"73","CAPAN1","pancreas",8.2995,0,0
"74","CAPAN2","pancreas",11.459,0,1
"75","CAS1","central_nervous_system",9.4952,0,0
"76","CCFSTTG1","central_nervous_system",13.511,0,1
"78","CCK81","large_intestine",7.9492,0,0
"79","CFPAC1","pancreas",9.9706,0,0
"80","CGTHW1","thyroid",7.3542,1,0
"81","CHAGOK1","lung",9.2174,0,0
"82","CHP126","autonomic_ganglia",4.4539,1,0
"83","CHP212","autonomic_ganglia",6.9504,1,0
"84","CJM","skin",8.9069,0,0
"85","CL11","large_intestine",8.7853,0,0
"86","CL34","large_intestine",4.2853,1,0
"87","COLO201","large_intestine",10.949,0,0
"88","COLO205","large_intestine",11.321,0,1
"89","COLO320","large_intestine",10.803,0,0
"90","COLO668","lung",4.0253,1,0
"91","COLO678","large_intestine",9.1777,0,0
"92","COLO680N","oesophagus",10.894,0,0
"93","COLO684","endometrium",6.9091,1,0
"94","COLO741","skin",11.366,0,1
"95","COLO792","skin",11.764,0,1
"96","COLO800","skin",8.2714,0,0
