"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"1","22RV1","prostate",4.9409,1,0
"2","2313287","stomach",4.8413,1,0
"3","253J","urinary_tract",7.88,0,0
"4","253JBV","urinary_tract",8.642,0,0
"5","42MGBA","central_nervous_system",8.2146,0,0
"6","5637","urinary_tract",6.5478,0,0
"7","639V","urinary_tract",10.17,0,0
"8","647V","urinary_tract",5.575,1,0
"9","769P","kidney",10.355,0,0
"10","786O","kidney",9.0902,0,0
"11","8305C","thyroid",6.4312,0,0
"12","8505C","thyroid",8.2194,0,0
"13","8MGBA","central_nervous_system",11.185,0,1
"14","A101D","skin",10.986,0,0
"15","A172","central_nervous_system",3.5772,1,0
"16","A204","soft_tissue",6.4091,0,0
"17","A2058","skin",4.7863,1,0
"18","A253","salivary_gland",8.7681,0,0
"19","A2780","ovary",2.4142,1,0
"20","A375","skin",8.91145,0,0
"22","A498","kidney",13.178,0,1
"23","A549","lung",9.43463333333333,0,0
"26","A673","bone",0.508,1,0
"27","ACCMESO1","pleura",13.02,0,1
"28","ACHN","kidney",11.103,0,0
"29","AGS","stomach",12.71,0,1
"30","AM38","central_nervous_system",2.583,1,0
"31","AN3CA","endometrium",5.5852,0,0
"32","ASPC1","pancreas",11.08,0,0
"34","AU565","breast",6.1342,0,0
"35","BC3C","urinary_tract",8.7388,0,0
"36","BCPAP","thyroid",5.9487,0,0
"37","BECKER","central_nervous_system",4.2462,1,0
"38","BEN","lung",14.685,0,1
"39","BFTC905","urinary_tract",8.1837,0,0
"40","BFTC909","kidney",7.1504,0,0
"41","BHT101","thyroid",8.6561,0,0
"42","BHY","upper_aerodigestive_tract",10.062,0,0
"43","BICR16","upper_aerodigestive_tract",6.9929,0,0
"44","BICR18","upper_aerodigestive_tract",7.8263,0,0
"45","BICR22","upper_aerodigestive_tract",7.1094,0,0
"46","BICR31","upper_aerodigestive_tract",9.809,0,0
"47","BICR56","upper_aerodigestive_tract",9.5101,0,0
"48","BICR6","upper_aerodigestive_tract",5.4336,1,0
"49","BT20","breast",10.241,0,0
"50","BT474","breast",10.365,0,0
"51","BT549","breast",9.5835,0,0
"52","BXPC3","pancreas",5.7496,0,0
"53","C2BBE1","large_intestine",9.7834,0,0
"54","C32","skin",11.167,0,0
"55","CADOES1","bone",7.7685,0,0
"56","CAKI1","kidney",12.334,0,1
"57","CAKI2","kidney",10.727,0,0
"58","CAL120","breast",13.329,0,1
"59","CAL12T","lung",10.001,0,0
"60","CAL148","breast",4.8901,1,0
"61","CAL27","upper_aerodigestive_tract",4.734,1,0
"62","CAL29","urinary_tract",7.0165,0,0
"63","CAL33","upper_aerodigestive_tract",4.6459,1,0
"64","CAL51","breast",5.7216,0,0
"66","CAL54","kidney",8.7275,0,0
"67","CAL62","thyroid",6.2047,0,0
"68","CAL78","bone",7.4031,0,0
"69","CALU1","lung",12.102,0,1
"70","CALU3","lung",8.3607,0,0
"71","CALU6","lung",9.613,0,0
"72","CAMA1","breast",10.788,0,0
"73","CAOV3","ovary",7.7841,0,0
"74","CAPAN1","pancreas",10.689,0,0
"75","CAPAN2","pancreas",11.648,0,1
"76","CAS1","central_nervous_system",9.5178,0,0
"77","CCFSTTG1","central_nervous_system",12.858,0,1
"79","CCK81","large_intestine",8.1886,0,0
"80","CFPAC1","pancreas",14.151,0,1
"81","CGTHW1","thyroid",9.9516,0,0
"82","CHAGOK1","lung",8.3358,0,0
"83","CHP126","autonomic_ganglia",3.1722,1,0
"84","CHP212","autonomic_ganglia",4.8802,1,0
"85","CJM","skin",4.6711,1,0
"86","CL11","large_intestine",9.1837,0,0
"87","COLO201","large_intestine",12.009,0,1
"88","COLO205","large_intestine",8.738,0,0
"89","COLO320","large_intestine",10.209,0,0
"90","COLO668","lung",6.5195,0,0
"91","COLO678","large_intestine",12.653,0,1
"92","COLO680N","oesophagus",12.087,0,1
"93","COLO684","endometrium",4.2887,1,0
"94","COLO741","skin",6.9874,0,0
"95","COLO792","skin",10.309,0,0
"96","COLO800","skin",8.7649,0,0
"97","COLO829","skin",8.9567,0,0
"98","CORL105","lung",10.521,0,0
"99","CORL279","lung",2.6091,1,0
"100","CORL47","lung",6.4488,0,0
"101","CORL51","lung",2.406,1,0
"102","CORL88","lung",5.0655,1,0
"103","CORL95","lung",7.0868,0,0
"104","COV362","ovary",8.4467,0,0
"105","COV434","ovary",5.8017,0,0
"106","COV644","ovary",6.5704,0,0
"107","CW2","large_intestine",8.232,0,0
"108","D283MED","central_nervous_system",4.7491,1,0
"109","DANG","pancreas",9.7164,0,0
"110","DAOY","central_nervous_system",4.7161,1,0
"111","DBTRG05MG","central_nervous_system",11.769,0,1
"112","DETROIT562","upper_aerodigestive_tract",8.9142,0,0
"113","DKMG","central_nervous_system",6.1392,0,0
"114","DLD1","large_intestine",10.816,0,0
"115","DMS114","lung",4.3716,1,0
"116","DMS273","lung",3.5123,1,0
"117","DMS454","lung",6.0191,0,0
"118","DMS53","lung",6.9275,0,0
"119","DMS79","lung",9.7465,0,0
"120","DU145","prostate",9.12615,0,0
"122","DU4475","breast",2.6531,1,0
"123","DV90","lung",2.2583,1,0
"124","EBC1","lung",8.9042,0,0
"125","ECC10","stomach",3.0191,1,0
"126","ECC12","stomach",5.766,0,0
"127","ECGI10","oesophagus",5.6831,0,0
"128","EFE184","endometrium",10.873,0,0
"129","EFM192A","breast",10.756,0,0
"130","EFO21","ovary",8.3716,0,0
"131","EFO27","ovary",11.07,0,0
"132","EN","endometrium",10.646,0,0
"133","ES2","ovary",9.1866,0,0
"134","ESS1","endometrium",5.3727,1,0
"135","FADU","upper_aerodigestive_tract",11.507,0,1
"136","FTC133","thyroid",10.353,0,0
"137","FTC238","thyroid",4.8874,1,0
"138","FU97","stomach",5.6291,0,0
"139","FUOV1","ovary",16.13,0,1
"140","G292CLONEA141B1","bone",5.8401,0,0
"141","G361","skin",6.7478,0,0
"142","G401","soft_tissue",5.2571,1,0
"143","G402","soft_tissue",5.1388,1,0
"144","GAMG","central_nervous_system",5.6625,0,0
"145","GB1","central_nervous_system",10.957,0,0
"146","GCT","soft_tissue",3.9107,1,0
"147","GI1","central_nervous_system",4.3991,1,0
"148","GMS10","central_nervous_system",12.145,0,1
"149","GOS3","central_nervous_system",9.4393,0,0
"150","GP2D","large_intestine",5.8747,0,0
"151","GSS","stomach",3.5634,1,0
"152","GSU","stomach",10.8,0,0
"153","H292","lung",8.6392,0,0
"154","HARA","lung",4.6465,1,0
"155","HCC1143","breast",12.854,0,1
"156","HCC1171","lung",12.533,0,1
"157","HCC1195","lung",10.229,0,0
"158","HCC1395","breast",8.0548,0,0
"159","HCC1419","breast",10.935,0,0
"160","HCC1428","breast",11.853,0,1
"161","HCC1438","lung",5.0869,1,0
"162","HCC15","lung",10.582,0,0
"163","HCC1500","breast",4.6409,1,0
"164","HCC1569","breast",7.5809,0,0
"165","HCC1588","lung",7.5689,0,0
"166","HCC1806","breast",6.3055,0,0
"167","HCC1833","lung",9.8585,0,0
"168","HCC1937","breast",14.164,0,1
"169","HCC1954","breast",6.7233,0,0
"170","HCC202","breast",10.326,0,0
"171","HCC2108","lung",10.303,0,0
"172","HCC2218","breast",9.5559,0,0
"173","HCC2279","lung",7.0854,0,0
"174","HCC2935","lung",10.273,0,0
"175","HCC366","lung",7.3259,0,0
"176","HCC38","breast",7.018,0,0
"177","HCC4006","lung",6.8557,0,0
"178","HCC44","lung",4.7024,1,0
"179","HCC56","large_intestine",8.8131,0,0
"180","HCC78","lung",10.854,0,0
"181","HCC827","lung",9.029,0,0
"182","HCC95","lung",8.2766,0,0
"183","HCT116","large_intestine",11.786,0,1
"184","HCT15","large_intestine",8.2181,0,0
"185","HCT8","large_intestine",12.044,0,1
"186","HDQP1","breast",11.794,0,1
"187","HEC108","endometrium",8.911,0,0
"188","HEC151","endometrium",3.2245,1,0
"189","HEC1A","endometrium",7.843,0,0
"190","HEC1B","endometrium",13.148,0,1
"191","HEC251","endometrium",8.3845,0,0
"192","HEC265","endometrium",7.6372,0,0
"193","HEC50B","endometrium",7.8432,0,0
"194","HEC59","endometrium",10.403,0,0
"195","HEC6","endometrium",10.849,0,0
"196","HEP3B217","liver",13.608,0,1
"197","HEPG2","liver",13.272,0,1
"198","HEYA8","ovary",12.414,0,1
"199","HGC27","stomach",5.6578,0,0
"200","HLF","liver",6.7487,0,0
"201","HMC18","breast",6.3434,0,0
"202","HMCB","skin",5.4077,1,0
"203","HOS","bone",5.3633,1,0
"204","HPAC","pancreas",13.333,0,1
"205","HPAFII","pancreas",12.813,0,1
"206","HS294T","skin",4.9085,1,0
"207","HS578T","breast",4.5286,1,0
"208","HS683","central_nervous_system",4.4711,1,0
"209","HS688AT","skin",13.624,0,1
"210","HS729","soft_tissue",6.8133,0,0
"211","HS746T","stomach",9.3627,0,0
"212","HS766T","pancreas",10.309,0,0
"213","HS822T","bone",9.9569,0,0
"214","HS839T","skin",11.728,0,1
"215","HS852T","skin",7.7037,0,0
"216","HS888T","bone",8.4144,0,0
"217","HS895T","skin",11.853,0,1
"218","HS934T","skin",10.499,0,0
"219","HS936T","skin",8.7155,0,0
"220","HS940T","skin",14.703,0,1
"221","HS944T","skin",6.5352,0,0
"222","HSC2","upper_aerodigestive_tract",3.6125,1,0
"223","HSC3","upper_aerodigestive_tract",9.7105,0,0
"224","HSC4","upper_aerodigestive_tract",12.138,0,1
"225","HT1080","soft_tissue",3.0278,1,0
"226","HT115","large_intestine",6.3708,0,0
"227","HT1197","urinary_tract",10.294,0,0
"228","HT1376","urinary_tract",10.961,0,0
"229","HT144","skin",7.9036,0,0
"230","HT29","large_intestine",13.911,0,1
"231","HT55","large_intestine",11.3,0,1
"232","HUCCT1","biliary_tract",10.194,0,0
"233","HUG1N","stomach",7.387,0,0
"234","HUH1","liver",10.115,0,0
"235","HUH28","biliary_tract",11.172,0,0
"236","HUH6","liver",5.5846,0,0
"237","HUPT3","pancreas",10.366,0,0
"238","HUPT4","pancreas",7.6963,0,0
"239","IALM","lung",13.404,0,1
"240","IGR1","skin",5.7189,0,0
"241","IGR37","skin",3.6995,1,0
"242","IGR39","skin",11.757,0,1
"243","IGROV1","ovary",6.93035,0,0
"245","IM95","stomach",2.9249,1,0
"246","IMR32","autonomic_ganglia",4.2514,1,0
"247","IPC298","skin",12.057,0,1
"248","ISHIKAWAHERAKLIO02ER","endometrium",6.6244,0,0
"249","ISTMES1","pleura",9.4216,0,0
"250","J82","urinary_tract",11.361,0,1
"251","JHH1","liver",6.8633,0,0
"252","JHH2","liver",8.0442,0,0
"253","JHH4","liver",7.796,0,0
"254","JHH5","liver",6.2733,0,0
"255","JHH6","liver",14.932,0,1
"256","JHOC5","ovary",10.848,0,0
"257","JHOM1","ovary",8.3643,0,0
"258","JHOS2","ovary",12.824,0,1
"259","JHUEM1","endometrium",4.4396,1,0
"260","JHUEM2","endometrium",6.7767,0,0
"261","JHUEM3","endometrium",7.1826,0,0
"262","JIMT1","breast",7.443,0,0
"263","JL1","pleura",8.461,0,0
"264","JMSU1","urinary_tract",6.2514,0,0
"265","K029AX","skin",9.2185,0,0
"266","KALS1","central_nervous_system",6.5507,0,0
"267","KATOIII","stomach",8.9455,0,0
"268","KE39","stomach",12.702,0,1
"270","KELLY","autonomic_ganglia",5.2895,1,0
"271","KG1C","central_nervous_system",11.575,0,1
"272","KLE","endometrium",9.3403,0,0
"273","KM12","large_intestine",6.7653,0,0
"274","KMBC2","urinary_tract",11.563,0,1
"275","KMRC1","kidney",8.3017,0,0
"276","KMRC2","kidney",13.751,0,1
"277","KMRC20","kidney",12.701,0,1
"278","KMRC3","kidney",7.499,0,0
"279","KNS42","central_nervous_system",9.7504,0,0
