initial_alias,converted_alias,name,description,namespace
ENSG00000139926,ENSG00000139926,FRMD6,FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839],"ARRAYEXPRESS,ENSG"
ENSG00000153391,ENSG00000153391,INO80C,INO80 complex subunit C [Source:HGNC Symbol;Acc:HGNC:26994],"ARRAYEXPRESS,ENSG"
ENSG00000138400,ENSG00000138400,MDH1B,malate dehydrogenase 1B [Source:HGNC Symbol;Acc:HGNC:17836],"ARRAYEXPRESS,ENSG"
ENSG00000174721,ENSG00000174721,FGFBP3,fibroblast growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:23428],"ARRAYEXPRESS,ENSG"
ENSG00000168944,ENSG00000168944,CEP120,centrosomal protein 120 [Source:HGNC Symbol;Acc:HGNC:26690],"ARRAYEXPRESS,ENSG"
ENSG00000170017,ENSG00000170017,ALCAM,activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400],"ARRAYEXPRESS,ENSG"
ENSG00000166582,ENSG00000166582,CENPV,centromere protein V [Source:HGNC Symbol;Acc:HGNC:29920],"ARRAYEXPRESS,ENSG"
ENSG00000116016,ENSG00000116016,EPAS1,endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374],"ARRAYEXPRESS,ENSG"
ENSG00000161405,ENSG00000161405,IKZF3,IKAROS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13178],"ARRAYEXPRESS,ENSG"
ENSG00000106012,ENSG00000106012,IQCE,IQ motif containing E [Source:HGNC Symbol;Acc:HGNC:29171],"ARRAYEXPRESS,ENSG"
ENSG00000156650,ENSG00000156650,KAT6B,lysine acetyltransferase 6B [Source:HGNC Symbol;Acc:HGNC:17582],"ARRAYEXPRESS,ENSG"
ENSG00000160211,ENSG00000160211,G6PD,glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057],"ARRAYEXPRESS,ENSG"
ENSG00000122711,ENSG00000122711,SPINK4,"serine peptidase inhibitor, Kazal type 4 [Source:HGNC Symbol;Acc:HGNC:16646]","ARRAYEXPRESS,ENSG"
ENSG00000167771,ENSG00000167771,RCOR2,REST corepressor 2 [Source:HGNC Symbol;Acc:HGNC:27455],"ARRAYEXPRESS,ENSG"
ENSG00000196591,ENSG00000196591,HDAC2,histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853],"ARRAYEXPRESS,ENSG"
ENSG00000188895,ENSG00000188895,MSL1,male specific lethal 1 homolog [Source:HGNC Symbol;Acc:HGNC:27905],"ARRAYEXPRESS,ENSG"
ENSG00000146674,ENSG00000146674,IGFBP3,insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472],"ARRAYEXPRESS,ENSG"
ENSG00000196083,ENSG00000196083,IL1RAP,interleukin 1 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5995],"ARRAYEXPRESS,ENSG"
ENSG00000082781,ENSG00000082781,ITGB5,integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160],"ARRAYEXPRESS,ENSG"
ENSG00000182324,ENSG00000182324,KCNJ14,potassium voltage-gated channel subfamily J member 14 [Source:HGNC Symbol;Acc:HGNC:6260],"ARRAYEXPRESS,ENSG"
ENSG00000225968,ENSG00000225968,ELFN1,extracellular leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33154],"ARRAYEXPRESS,ENSG"
ENSG00000115963,ENSG00000115963,RND3,Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671],"ARRAYEXPRESS,ENSG"
