initial_alias,converted_alias,name,description,namespace
ENSG00000003147,ENSG00000003147,ICA1,islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343],"ARRAYEXPRESS,ENSG"
ENSG00000006530,ENSG00000006530,AGK,acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869],"ARRAYEXPRESS,ENSG"
ENSG00000017483,ENSG00000017483,SLC38A5,solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070],"ARRAYEXPRESS,ENSG"
ENSG00000020256,ENSG00000020256,ZFP64,ZFP64 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:15940],"ARRAYEXPRESS,ENSG"
ENSG00000020633,ENSG00000020633,RUNX3,runt related transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473],"ARRAYEXPRESS,ENSG"
ENSG00000021645,ENSG00000021645,NRXN3,neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010],"ARRAYEXPRESS,ENSG"
ENSG00000049249,ENSG00000049249,TNFRSF9,TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924],"ARRAYEXPRESS,ENSG"
ENSG00000057149,ENSG00000057149,SERPINB3,serpin family B member 3 [Source:HGNC Symbol;Acc:HGNC:10569],"ARRAYEXPRESS,ENSG"
ENSG00000063322,ENSG00000063322,MED29,mediator complex subunit 29 [Source:HGNC Symbol;Acc:HGNC:23074],"ARRAYEXPRESS,ENSG"
ENSG00000069764,ENSG00000069764,PLA2G10,phospholipase A2 group X [Source:HGNC Symbol;Acc:HGNC:9029],"ARRAYEXPRESS,ENSG"
ENSG00000072694,ENSG00000072694,FCGR2B,Fc fragment of IgG receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618],"ARRAYEXPRESS,ENSG"
ENSG00000088756,ENSG00000088756,ARHGAP28,Rho GTPase activating protein 28 [Source:HGNC Symbol;Acc:HGNC:25509],"ARRAYEXPRESS,ENSG"
ENSG00000096092,ENSG00000096092,TMEM14A,transmembrane protein 14A [Source:HGNC Symbol;Acc:HGNC:21076],"ARRAYEXPRESS,ENSG"
ENSG00000100321,ENSG00000100321,SYNGR1,synaptogyrin 1 [Source:HGNC Symbol;Acc:HGNC:11498],"ARRAYEXPRESS,ENSG"
ENSG00000100385,ENSG00000100385,IL2RB,interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009],"ARRAYEXPRESS,ENSG"
ENSG00000101115,ENSG00000101115,SALL4,spalt like transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:15924],"ARRAYEXPRESS,ENSG"
ENSG00000101197,ENSG00000101197,BIRC7,baculoviral IAP repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:13702],"ARRAYEXPRESS,ENSG"
ENSG00000102882,ENSG00000102882,MAPK3,mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877],"ARRAYEXPRESS,ENSG"
ENSG00000104613,ENSG00000104613,INTS10,integrator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:25548],"ARRAYEXPRESS,ENSG"
ENSG00000106780,ENSG00000106780,MEGF9,multiple EGF like domains 9 [Source:HGNC Symbol;Acc:HGNC:3234],"ARRAYEXPRESS,ENSG"
ENSG00000107625,ENSG00000107625,DDX50,DExD-box helicase 50 [Source:HGNC Symbol;Acc:HGNC:17906],"ARRAYEXPRESS,ENSG"
ENSG00000108187,ENSG00000108187,PBLD,phenazine biosynthesis like protein domain containing [Source:HGNC Symbol;Acc:HGNC:23301],"ARRAYEXPRESS,ENSG"
ENSG00000110442,ENSG00000110442,COMMD9,COMM domain containing 9 [Source:HGNC Symbol;Acc:HGNC:25014],"ARRAYEXPRESS,ENSG"
ENSG00000114698,ENSG00000114698,PLSCR4,phospholipid scramblase 4 [Source:HGNC Symbol;Acc:HGNC:16497],"ARRAYEXPRESS,ENSG"
ENSG00000115685,ENSG00000115685,PPP1R7,protein phosphatase 1 regulatory subunit 7 [Source:HGNC Symbol;Acc:HGNC:9295],"ARRAYEXPRESS,ENSG"
ENSG00000115806,ENSG00000115806,GORASP2,golgi reassembly stacking protein 2 [Source:HGNC Symbol;Acc:HGNC:17500],"ARRAYEXPRESS,ENSG"
ENSG00000115902,ENSG00000115902,SLC1A4,solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942],"ARRAYEXPRESS,ENSG"
