initial_alias,converted_alias,name,description,namespace
ENSG00000185043,ENSG00000185043,CIB1,calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920],"ARRAYEXPRESS,ENSG"
ENSG00000144645,ENSG00000144645,OSBPL10,oxysterol binding protein like 10 [Source:HGNC Symbol;Acc:HGNC:16395],"ARRAYEXPRESS,ENSG"
ENSG00000122824,ENSG00000122824,NUDT10,nudix hydrolase 10 [Source:HGNC Symbol;Acc:HGNC:17621],"ARRAYEXPRESS,ENSG"
ENSG00000206052,ENSG00000206052,DOK6,docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301],"ARRAYEXPRESS,ENSG"
ENSG00000001036,ENSG00000001036,FUCA2,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008],"ARRAYEXPRESS,ENSG"
ENSG00000117697,ENSG00000117697,NSL1,"NSL1, MIS12 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:24548]","ARRAYEXPRESS,ENSG"
ENSG00000142864,ENSG00000142864,SERBP1,SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17860],"ARRAYEXPRESS,ENSG"
ENSG00000196591,ENSG00000196591,HDAC2,histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853],"ARRAYEXPRESS,ENSG"
ENSG00000096746,ENSG00000096746,HNRNPH3,heterogeneous nuclear ribonucleoprotein H3 [Source:HGNC Symbol;Acc:HGNC:5043],"ARRAYEXPRESS,ENSG"
ENSG00000120693,ENSG00000120693,SMAD9,SMAD family member 9 [Source:HGNC Symbol;Acc:HGNC:6774],"ARRAYEXPRESS,ENSG"
ENSG00000132780,ENSG00000132780,NASP,nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644],"ARRAYEXPRESS,ENSG"
ENSG00000183337,ENSG00000183337,BCOR,BCL6 corepressor [Source:HGNC Symbol;Acc:HGNC:20893],"ARRAYEXPRESS,ENSG"
ENSG00000088298,ENSG00000088298,EDEM2,ER degradation enhancing alpha-mannosidase like protein 2 [Source:HGNC Symbol;Acc:HGNC:15877],"ARRAYEXPRESS,ENSG"
ENSG00000198700,ENSG00000198700,IPO9,importin 9 [Source:HGNC Symbol;Acc:HGNC:19425],"ARRAYEXPRESS,ENSG"
ENSG00000144959,ENSG00000144959,NCEH1,neutral cholesterol ester hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29260],"ARRAYEXPRESS,ENSG"
