initial_alias,converted_alias,name,description,namespace
ENSG00000006534,ENSG00000006534,ALDH3B1,aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410],"ARRAYEXPRESS,ENSG"
ENSG00000025293,ENSG00000025293,PHF20,PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098],"ARRAYEXPRESS,ENSG"
ENSG00000042813,ENSG00000042813,ZPBP,zona pellucida binding protein [Source:HGNC Symbol;Acc:HGNC:15662],"ARRAYEXPRESS,ENSG"
ENSG00000054690,ENSG00000054690,PLEKHH1,"pleckstrin homology, MyTH4 and FERM domain containing H1 [Source:HGNC Symbol;Acc:HGNC:17733]","ARRAYEXPRESS,ENSG"
ENSG00000058799,ENSG00000058799,YIPF1,Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231],"ARRAYEXPRESS,ENSG"
ENSG00000068097,ENSG00000068097,HEATR6,HEAT repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:24076],"ARRAYEXPRESS,ENSG"
ENSG00000075292,ENSG00000075292,ZNF638,zinc finger protein 638 [Source:HGNC Symbol;Acc:HGNC:17894],"ARRAYEXPRESS,ENSG"
ENSG00000075643,ENSG00000075643,MOCOS,molybdenum cofactor sulfurase [Source:HGNC Symbol;Acc:HGNC:18234],"ARRAYEXPRESS,ENSG"
ENSG00000082641,ENSG00000082641,NFE2L1,"nuclear factor, erythroid 2 like 1 [Source:HGNC Symbol;Acc:HGNC:7781]","ARRAYEXPRESS,ENSG"
ENSG00000099998,ENSG00000099998,GGT5,gamma-glutamyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4260],"ARRAYEXPRESS,ENSG"
ENSG00000102882,ENSG00000102882,MAPK3,mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877],"ARRAYEXPRESS,ENSG"
ENSG00000104998,ENSG00000104998,IL27RA,interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290],"ARRAYEXPRESS,ENSG"
ENSG00000106631,ENSG00000106631,MYL7,myosin light chain 7 [Source:HGNC Symbol;Acc:HGNC:21719],"ARRAYEXPRESS,ENSG"
ENSG00000107789,ENSG00000107789,MINPP1,multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102],"ARRAYEXPRESS,ENSG"
ENSG00000110917,ENSG00000110917,MLEC,malectin [Source:HGNC Symbol;Acc:HGNC:28973],"ARRAYEXPRESS,ENSG"
ENSG00000112303,ENSG00000112303,VNN2,vanin 2 [Source:HGNC Symbol;Acc:HGNC:12706],"ARRAYEXPRESS,ENSG"
ENSG00000112701,ENSG00000112701,SENP6,SUMO specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:20944],"ARRAYEXPRESS,ENSG"
ENSG00000120088,ENSG00000120088,CRHR1,corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:2357],"ARRAYEXPRESS,ENSG"
ENSG00000120235,ENSG00000120235,IFNA6,interferon alpha 6 [Source:HGNC Symbol;Acc:HGNC:5427],"ARRAYEXPRESS,ENSG"
ENSG00000122692,ENSG00000122692,SMU1,"SMU1, DNA replication regulator and spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:18247]","ARRAYEXPRESS,ENSG"
ENSG00000124164,ENSG00000124164,VAPB,VAMP associated protein B and C [Source:HGNC Symbol;Acc:HGNC:12649],"ARRAYEXPRESS,ENSG"
ENSG00000124787,ENSG00000124787,RPP40,ribonuclease P/MRP subunit p40 [Source:HGNC Symbol;Acc:HGNC:20992],"ARRAYEXPRESS,ENSG"
ENSG00000127948,ENSG00000127948,POR,cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208],"ARRAYEXPRESS,ENSG"
ENSG00000128965,ENSG00000128965,CHAC1,ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680],"ARRAYEXPRESS,ENSG"
ENSG00000129197,ENSG00000129197,RPAIN,RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641],"ARRAYEXPRESS,ENSG"
ENSG00000134717,ENSG00000134717,BTF3L4,basic transcription factor 3 like 4 [Source:HGNC Symbol;Acc:HGNC:30547],"ARRAYEXPRESS,ENSG"
ENSG00000135069,ENSG00000135069,PSAT1,phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129],"ARRAYEXPRESS,ENSG"
