initial_alias,converted_alias,name,description,namespace
ENSG00000125462,ENSG00000125462,C1orf61,chromosome 1 open reading frame 61 [Source:HGNC Symbol;Acc:HGNC:30780],"ARRAYEXPRESS,ENSG"
ENSG00000102879,ENSG00000102879,CORO1A,coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252],"ARRAYEXPRESS,ENSG"
ENSG00000138400,ENSG00000138400,MDH1B,malate dehydrogenase 1B [Source:HGNC Symbol;Acc:HGNC:17836],"ARRAYEXPRESS,ENSG"
ENSG00000151948,ENSG00000151948,GLT1D1,glycosyltransferase 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26483],"ARRAYEXPRESS,ENSG"
ENSG00000001036,ENSG00000001036,FUCA2,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008],"ARRAYEXPRESS,ENSG"
ENSG00000142864,ENSG00000142864,SERBP1,SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17860],"ARRAYEXPRESS,ENSG"
ENSG00000005884,ENSG00000005884,ITGA3,integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139],"ARRAYEXPRESS,ENSG"
ENSG00000132780,ENSG00000132780,NASP,nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644],"ARRAYEXPRESS,ENSG"
ENSG00000144959,ENSG00000144959,NCEH1,neutral cholesterol ester hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29260],"ARRAYEXPRESS,ENSG"
ENSG00000171791,ENSG00000171791,BCL2,"BCL2, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]","ARRAYEXPRESS,ENSG"
ENSG00000171552,ENSG00000171552,BCL2L1,BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992],"ARRAYEXPRESS,ENSG"
ENSG00000130402,ENSG00000130402,ACTN4,actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166],"ARRAYEXPRESS,ENSG"
ENSG00000101294,ENSG00000101294,HM13,histocompatibility minor 13 [Source:HGNC Symbol;Acc:HGNC:16435],"ARRAYEXPRESS,ENSG"
ENSG00000172716,ENSG00000172716,SLFN11,schlafen family member 11 [Source:HGNC Symbol;Acc:HGNC:26633],"ARRAYEXPRESS,ENSG"
ENSG00000177697,ENSG00000177697,CD151,CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630],"ARRAYEXPRESS,ENSG"
ENSG00000075856,ENSG00000075856,SART3,squamous cell carcinoma antigen recognized by T cells 3 [Source:HGNC Symbol;Acc:HGNC:16860],"ARRAYEXPRESS,ENSG"
