initial_alias,converted_alias,name,description,namespace
ENSG00000104998,ENSG00000104998,IL27RA,interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290],"ARRAYEXPRESS,ENSG"
ENSG00000106077,ENSG00000106077,ABHD11,abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407],"ARRAYEXPRESS,ENSG"
ENSG00000120088,ENSG00000120088,CRHR1,corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:2357],"ARRAYEXPRESS,ENSG"
ENSG00000140830,ENSG00000140830,TXNL4B,thioredoxin like 4B [Source:HGNC Symbol;Acc:HGNC:26041],"ARRAYEXPRESS,ENSG"
ENSG00000142676,ENSG00000142676,RPL11,ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301],"ARRAYEXPRESS,ENSG"
ENSG00000172716,ENSG00000172716,SLFN11,schlafen family member 11 [Source:HGNC Symbol;Acc:HGNC:26633],"ARRAYEXPRESS,ENSG"
ENSG00000187109,ENSG00000187109,NAP1L1,nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637],"ARRAYEXPRESS,ENSG"
ENSG00000198513,ENSG00000198513,ATL1,atlastin GTPase 1 [Source:HGNC Symbol;Acc:HGNC:11231],"ARRAYEXPRESS,ENSG"
ENSG00000006534,ENSG00000006534,ALDH3B1,aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410],"ARRAYEXPRESS,ENSG"
ENSG00000069667,ENSG00000069667,RORA,RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258],"ARRAYEXPRESS,ENSG"
ENSG00000070770,ENSG00000070770,CSNK2A2,casein kinase 2 alpha 2 [Source:HGNC Symbol;Acc:HGNC:2459],"ARRAYEXPRESS,ENSG"
ENSG00000080854,ENSG00000080854,IGSF9B,immunoglobulin superfamily member 9B [Source:HGNC Symbol;Acc:HGNC:32326],"ARRAYEXPRESS,ENSG"
ENSG00000086189,ENSG00000086189,DIMT1,DIM1 dimethyladenosine transferase 1 homolog [Source:HGNC Symbol;Acc:HGNC:30217],"ARRAYEXPRESS,ENSG"
ENSG00000087116,ENSG00000087116,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218],"ARRAYEXPRESS,ENSG"
ENSG00000089006,ENSG00000089006,SNX5,sorting nexin 5 [Source:HGNC Symbol;Acc:HGNC:14969],"ARRAYEXPRESS,ENSG"
ENSG00000096092,ENSG00000096092,TMEM14A,transmembrane protein 14A [Source:HGNC Symbol;Acc:HGNC:21076],"ARRAYEXPRESS,ENSG"
ENSG00000104371,ENSG00000104371,DKK4,dickkopf WNT signaling pathway inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:2894],"ARRAYEXPRESS,ENSG"
ENSG00000105202,ENSG00000105202,FBL,fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599],"ARRAYEXPRESS,ENSG"
ENSG00000110660,ENSG00000110660,SLC35F2,solute carrier family 35 member F2 [Source:HGNC Symbol;Acc:HGNC:23615],"ARRAYEXPRESS,ENSG"
ENSG00000112237,ENSG00000112237,CCNC,cyclin C [Source:HGNC Symbol;Acc:HGNC:1581],"ARRAYEXPRESS,ENSG"
ENSG00000117691,ENSG00000117691,NENF,neudesin neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:30384],"ARRAYEXPRESS,ENSG"
ENSG00000120158,ENSG00000120158,RCL1,RNA terminal phosphate cyclase like 1 [Source:HGNC Symbol;Acc:HGNC:17687],"ARRAYEXPRESS,ENSG"
ENSG00000120675,ENSG00000120675,DNAJC15,DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325],"ARRAYEXPRESS,ENSG"
ENSG00000120889,ENSG00000120889,TNFRSF10B,TNF receptor superfamily member 10b [Source:HGNC Symbol;Acc:HGNC:11905],"ARRAYEXPRESS,ENSG"
ENSG00000122042,ENSG00000122042,UBL3,ubiquitin like 3 [Source:HGNC Symbol;Acc:HGNC:12504],"ARRAYEXPRESS,ENSG"
ENSG00000125977,ENSG00000125977,EIF2S2,eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266],"ARRAYEXPRESS,ENSG"
ENSG00000131203,ENSG00000131203,IDO1,"indoleamine 2,3-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:6059]","ARRAYEXPRESS,ENSG"
ENSG00000131370,ENSG00000131370,SH3BP5,SH3 domain binding protein 5 [Source:HGNC Symbol;Acc:HGNC:10827],"ARRAYEXPRESS,ENSG"
ENSG00000133641,ENSG00000133641,C12orf29,chromosome 12 open reading frame 29 [Source:HGNC Symbol;Acc:HGNC:25322],"ARRAYEXPRESS,ENSG"
ENSG00000134318,ENSG00000134318,ROCK2,Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252],"ARRAYEXPRESS,ENSG"
ENSG00000135956,ENSG00000135956,TMEM127,transmembrane protein 127 [Source:HGNC Symbol;Acc:HGNC:26038],"ARRAYEXPRESS,ENSG"
ENSG00000136938,ENSG00000136938,ANP32B,acidic nuclear phosphoprotein 32 family member B [Source:HGNC Symbol;Acc:HGNC:16677],"ARRAYEXPRESS,ENSG"
ENSG00000137876,ENSG00000137876,RSL24D1,ribosomal L24 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18479],"ARRAYEXPRESS,ENSG"
ENSG00000146731,ENSG00000146731,CCT6A,chaperonin containing TCP1 subunit 6A [Source:HGNC Symbol;Acc:HGNC:1620],"ARRAYEXPRESS,ENSG"
ENSG00000148204,ENSG00000148204,CRB2,"crumbs 2, cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:18688]","ARRAYEXPRESS,ENSG"
ENSG00000158445,ENSG00000158445,KCNB1,potassium voltage-gated channel subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:6231],"ARRAYEXPRESS,ENSG"
ENSG00000159216,ENSG00000159216,RUNX1,runt related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471],"ARRAYEXPRESS,ENSG"
ENSG00000163618,ENSG00000163618,CADPS,calcium dependent secretion activator [Source:HGNC Symbol;Acc:HGNC:1426],"ARRAYEXPRESS,ENSG"
ENSG00000164070,ENSG00000164070,HSPA4L,heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041],"ARRAYEXPRESS,ENSG"
ENSG00000166233,ENSG00000166233,ARIH1,ariadne RBR E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:689],"ARRAYEXPRESS,ENSG"
ENSG00000169231,ENSG00000169231,THBS3,thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787],"ARRAYEXPRESS,ENSG"
ENSG00000171763,ENSG00000171763,SPATA5L1,spermatogenesis associated 5 like 1 [Source:HGNC Symbol;Acc:HGNC:28762],"ARRAYEXPRESS,ENSG"
ENSG00000182612,ENSG00000182612,TSPAN10,tetraspanin 10 [Source:HGNC Symbol;Acc:HGNC:29942],"ARRAYEXPRESS,ENSG"
ENSG00000182944,ENSG00000182944,EWSR1,EWS RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3508],"ARRAYEXPRESS,ENSG"
ENSG00000198015,ENSG00000198015,MRPL42,mitochondrial ribosomal protein L42 [Source:HGNC Symbol;Acc:HGNC:14493],"ARRAYEXPRESS,ENSG"
ENSG00000198216,ENSG00000198216,CACNA1E,calcium voltage-gated channel subunit alpha1 E [Source:HGNC Symbol;Acc:HGNC:1392],"ARRAYEXPRESS,ENSG"
ENSG00000255717,ENSG00000255717,SNHG1,small nucleolar RNA host gene 1 [Source:HGNC Symbol;Acc:HGNC:32688],"ARRAYEXPRESS,ENSG"
