initial_alias,converted_alias,name,description,namespace
ENSG00000116752,ENSG00000116752,BCAS2,"BCAS2, pre-mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:975]","ARRAYEXPRESS,ENSG"
ENSG00000174842,ENSG00000174842,GLMN,"glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]","ARRAYEXPRESS,ENSG"
ENSG00000159217,ENSG00000159217,IGF2BP1,insulin like growth factor 2 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:28866],"ARRAYEXPRESS,ENSG"
ENSG00000176571,ENSG00000176571,CNBD1,cyclic nucleotide binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26663],"ARRAYEXPRESS,ENSG"
ENSG00000174953,ENSG00000174953,DHX36,DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410],"ARRAYEXPRESS,ENSG"
ENSG00000104140,ENSG00000104140,RHOV,ras homolog family member V [Source:HGNC Symbol;Acc:HGNC:18313],"ARRAYEXPRESS,ENSG"
ENSG00000151491,ENSG00000151491,EPS8,epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420],"ARRAYEXPRESS,ENSG"
ENSG00000101596,ENSG00000101596,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090],"ARRAYEXPRESS,ENSG"
ENSG00000024862,ENSG00000024862,CCDC28A,coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:HGNC:21098],"ARRAYEXPRESS,ENSG"
ENSG00000183979,ENSG00000183979,NPB,neuropeptide B [Source:HGNC Symbol;Acc:HGNC:30099],"ARRAYEXPRESS,ENSG"
ENSG00000248905,ENSG00000248905,FMN1,formin 1 [Source:HGNC Symbol;Acc:HGNC:3768],"ARRAYEXPRESS,ENSG"
ENSG00000214711,ENSG00000214711,CAPN14,calpain 14 [Source:HGNC Symbol;Acc:HGNC:16664],"ARRAYEXPRESS,ENSG"
ENSG00000009844,ENSG00000009844,VTA1,vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954],"ARRAYEXPRESS,ENSG"
ENSG00000099284,ENSG00000099284,H2AFY2,H2A histone family member Y2 [Source:HGNC Symbol;Acc:HGNC:14453],"ARRAYEXPRESS,ENSG"
ENSG00000145088,ENSG00000145088,EAF2,ELL associated factor 2 [Source:HGNC Symbol;Acc:HGNC:23115],"ARRAYEXPRESS,ENSG"
ENSG00000186280,ENSG00000186280,KDM4D,lysine demethylase 4D [Source:HGNC Symbol;Acc:HGNC:25498],"ARRAYEXPRESS,ENSG"
ENSG00000065675,ENSG00000065675,PRKCQ,protein kinase C theta [Source:HGNC Symbol;Acc:HGNC:9410],"ARRAYEXPRESS,ENSG"
ENSG00000100949,ENSG00000100949,RABGGTA,Rab geranylgeranyltransferase subunit alpha [Source:HGNC Symbol;Acc:HGNC:9795],"ARRAYEXPRESS,ENSG"
ENSG00000123329,ENSG00000123329,ARHGAP9,Rho GTPase activating protein 9 [Source:HGNC Symbol;Acc:HGNC:14130],"ARRAYEXPRESS,ENSG"
ENSG00000169594,ENSG00000169594,BNC1,basonuclin 1 [Source:HGNC Symbol;Acc:HGNC:1081],"ARRAYEXPRESS,ENSG"
ENSG00000163159,ENSG00000163159,VPS72,vacuolar protein sorting 72 homolog [Source:HGNC Symbol;Acc:HGNC:11644],"ARRAYEXPRESS,ENSG"
ENSG00000122912,ENSG00000122912,SLC25A16,solute carrier family 25 member 16 [Source:HGNC Symbol;Acc:HGNC:10986],"ARRAYEXPRESS,ENSG"
ENSG00000134253,ENSG00000134253,TRIM45,tripartite motif containing 45 [Source:HGNC Symbol;Acc:HGNC:19018],"ARRAYEXPRESS,ENSG"
ENSG00000143452,ENSG00000143452,HORMAD1,HORMA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25245],"ARRAYEXPRESS,ENSG"
ENSG00000167549,ENSG00000167549,CORO6,coronin 6 [Source:HGNC Symbol;Acc:HGNC:21356],"ARRAYEXPRESS,ENSG"
ENSG00000184897,ENSG00000184897,H1FX,H1 histone family member X [Source:HGNC Symbol;Acc:HGNC:4722],"ARRAYEXPRESS,ENSG"
ENSG00000132950,ENSG00000132950,ZMYM5,zinc finger MYM-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13029],"ARRAYEXPRESS,ENSG"
ENSG00000168004,ENSG00000168004,HRASLS5,HRAS like suppressor family member 5 [Source:HGNC Symbol;Acc:HGNC:24978],"ARRAYEXPRESS,ENSG"
ENSG00000112039,ENSG00000112039,FANCE,FA complementation group E [Source:HGNC Symbol;Acc:HGNC:3586],"ARRAYEXPRESS,ENSG"
ENSG00000130713,ENSG00000130713,EXOSC2,exosome component 2 [Source:HGNC Symbol;Acc:HGNC:17097],"ARRAYEXPRESS,ENSG"
ENSG00000132661,ENSG00000132661,NXT1,nuclear transport factor 2 like export factor 1 [Source:HGNC Symbol;Acc:HGNC:15913],"ARRAYEXPRESS,ENSG"
ENSG00000066379,ENSG00000066379,ZNRD1,zinc ribbon domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13182],"ARRAYEXPRESS,ENSG"
ENSG00000106459,ENSG00000106459,NRF1,nuclear respiratory factor 1 [Source:HGNC Symbol;Acc:HGNC:7996],"ARRAYEXPRESS,ENSG"
ENSG00000116213,ENSG00000116213,WRAP73,"WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]","ARRAYEXPRESS,ENSG"
ENSG00000122042,ENSG00000122042,UBL3,ubiquitin like 3 [Source:HGNC Symbol;Acc:HGNC:12504],"ARRAYEXPRESS,ENSG"
ENSG00000133103,ENSG00000133103,COG6,component of oligomeric golgi complex 6 [Source:HGNC Symbol;Acc:HGNC:18621],"ARRAYEXPRESS,ENSG"
ENSG00000106688,ENSG00000106688,SLC1A1,solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939],"ARRAYEXPRESS,ENSG"
ENSG00000167088,ENSG00000167088,SNRPD1,small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158],"ARRAYEXPRESS,ENSG"
ENSG00000148835,ENSG00000148835,TAF5,TATA-box binding protein associated factor 5 [Source:HGNC Symbol;Acc:HGNC:11539],"ARRAYEXPRESS,ENSG"
ENSG00000147852,ENSG00000147852,VLDLR,very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698],"ARRAYEXPRESS,ENSG"
ENSG00000105519,ENSG00000105519,CAPS,calcyphosine [Source:HGNC Symbol;Acc:HGNC:1487],"ARRAYEXPRESS,ENSG"
ENSG00000124784,ENSG00000124784,RIOK1,RIO kinase 1 [Source:HGNC Symbol;Acc:HGNC:18656],"ARRAYEXPRESS,ENSG"
ENSG00000175792,ENSG00000175792,RUVBL1,RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474],"ARRAYEXPRESS,ENSG"
ENSG00000147434,ENSG00000147434,CHRNA6,cholinergic receptor nicotinic alpha 6 subunit [Source:HGNC Symbol;Acc:HGNC:15963],"ARRAYEXPRESS,ENSG"
ENSG00000204519,ENSG00000204519,ZNF551,zinc finger protein 551 [Source:HGNC Symbol;Acc:HGNC:25108],"ARRAYEXPRESS,ENSG"
